ID,Absatz
9.786,"3) der Relation nach muß sie nicht tautologisch, d. i. die Merkmale des Definitums müssen, als Erkenntnißgründe desselben, von ihm selbst verschieden sein, und endlich"
8.252,"Erster Abschnitt. Über die objective Realität derjenigen Begriffe, denen keine correspondirende sinnliche Anschauung gegeben werden kann, nach Herrn Eberhard."
7.538,"§ 59. Das Genie scheint auch nach der Verschiedenheit des Nationalschlages und des Bodens, dem es angeboren ist, verschiedene ursprüngliche Keime in sich zu haben und sie verschiedentlich zu entwickeln. Es schlägt bei den Deutschen mehr in die Wurzel, bei den Italiänern in die Krone, bei den Franzosen in die Blüthe und bei den Engländern in die Frucht."
2.38,"Anhang einer kurzen Betrachtung über die Frage: Ob die Westwinde in unseren Gegenden darum feucht seien, weil sie über ein großes Meer streichen."
9.243,"3) der Satz des ausschließenden Dritten ( principium exclusi medii inter duo contradictoria ), worauf sich die (logische) Nothwendigkeit eines Erkenntnisses gründet - daß nothwendig so und nicht anders geurtheilt werden müsse, d. i. daß das Gegentheil falsch sei - für apodiktische Urtheile."
9.345,"Der Überzeugung steht die Überredung entgegen, ein Fürwahrhalten aus unzureichenden Gründen, von denen man nicht weiß, ob sie bloß subjectiv oder auch objectiv sind."
8.536,Der einzige Artikel dieser Art ist in dem Satze enthalten: Die Maximen der Philosophen über die Bedingungen der Möglichkeit des öffentlichen Friedens sollen von den zum Kriege gerüsteten Staaten zu Rathe gezogen werden.
9.576,"In den Verstandesschlüssen per judicia subalternata sind die beiden Urtheile der Quantität nach unterschieden, und es wird hier das besondre Urtheil aus dem allgemeinen abgeleitet, dem Grundsatze zufolge: Vom Allgemeinen gilt der Schluß auf das Besondere ( ab universali ad particulare valet consequentia )."
,freier Wille
9.2127,Ceylon
8.30,1784
1.1,1747
9.2070,Tunquin
4.1088,1786
8.158,1786
4.585,1783
8.23,1783
8.1,1782
5.1,1788
,"Grund für das Handeln, Willensbegrenzung"
9.1800,"Der Meermensch, Meerjungfer"
9.1659,3. Das surinamische Hirschchen
2.45,Neue Begriffe der Bewegung und Ruhe.
7.521,Von den Talenten im Erkenntnißvermögen.
9.1840,Sechstes Hauptstück. Einige merkwürdige Insekten und darunter:
7.57,Zweiter Abschnitt. Begriff und Eintheilung der untern Facultät.
1.386,I . Erläuterung zum 25ten §.
9.2180,Das Vorgebirge der guten Hoffnung.
9.1836,g . Der Nautilus
9.1760,a . Die Flußotter
,Gibt es einen Grund für das Handeln?
4.1066,Wie ist ein kategorischer Imperativ möglich?
9.271,Ein jedes Merkmal läßt sich von zwei Seiten betrachten:
4.71,Schlüsse aus diesen Begriffen.
6.844,IX. Was ist Tugendpflicht?
4.634,Ist überall Metaphysik möglich? § 4.
4.647,Wie sind synthetische Sätze a priori möglich?
6.812,"IV. Welche sind die Zwecke, die zugleich Pflichten sind?"
8.187,Was heißt: Sich im Denken orientiren?
9.2068,"Waaren, die ausgeführt werden."
8.458,Ausgleichung dieses Widerstreits.
,Linguistik
1.619,1755
6.270,1797
8.645,1797
2.785,1771
4.1,1781
6.913,Sie enthält:
2.577,1765
2.153,1763
8.65,1785
4.920,1785
,"analytische Philosophie, Metakritik des Purismus der Vernunft, Formalismus"
4.631,§ 3. Anmerkung zur allgemeinen Eintheilung der Urtheile in analytische und synthetische.
4.937,2. Zweiter Abschnitt: Übergang von der populären Moralphilosophie zur Metaphysik der Sitten.
8.679,Vorrede zu Reinhold Bernhard Jachmanns Prüfung der Kantischen Religionsphilosophie.
9.470,§. 15. Bedingungen der Entstehung höherer und niederer Begriffe: Logische Abstraction und logische Determination.
6.875,XIII. Allgemeine Grundsätze der Metaphysik der Sitten in Behandlung einer reinen Tugendlehre.
4.960,Zweiter Abschnitt. Übergang von der populären sittlichen Weltweisheit zur Metaphysik der Sitten.
5.81,Praktische materiale Bestimmungsgründe im Princip der Sittlichkeit sind
4.936,1. Erster Abschnitt: Übergang von der gemeinen sittlichen Vernunfterkenntniß zur philosophischen.
9.829,§. 118. 4. Syllogistische - Tabellarische Methode.
9.434,"§. 6. Logische Actus der Comparation, Reflexion und Abstraction."
,Welcher Sprachlichkeit oder Sprachbedingtheit unterliegt das Denken?
6.812,"IV. Welche sind die Zwecke, die zugleich Pflichten sind?"
4.647,Wie sind synthetische Sätze a priori möglich?
8.629,"Was ist Philosophie, als Lehre, die unter allen Wissenschaften das größte Bedürfniß der Menschen ausmacht?"
7.181,10. in welcher Ordnung allein kann der Fortschritt zum Besseren erwartet werden?
6.461,§ 11. Was ist ein Sachenrecht?
9.1010,Die berühmtesten Straßen oder Meerengen nun sind:
4.1066,Wie ist ein kategorischer Imperativ möglich?
8.187,Was heißt: Sich im Denken orientiren?
7.178,9. Welchen Ertrag wird der Fortschritt zum Besseren dem Menschengeschlecht abwerfen?
6.844,IX. Was ist Tugendpflicht?
,Sprachlichkeit
8.336,1791
8.377,1793
6.1,1793
8.445,1794
2.85,1760
8.578,1796
2.686,1770
9.2241,Portugal
8.678,1800
9.2243,Schweden
,"Unterschiede in der Sprache, Wortbedeutung, Aussage"
4.631,§ 3. Anmerkung zur allgemeinen Eintheilung der Urtheile in analytische und synthetische.
5.81,Praktische materiale Bestimmungsgründe im Princip der Sittlichkeit sind
6.385,Eintheilung der Metaphysik der Sitten überhaupt.
7.123,Friedens=Abschluß und Beilegung des Streits der Facultäten.
4.368,Der Transscendentalen Doctrin der Urtheilskraft (Analytik der Grundsätze)
6.900,XVII. Vorbegriffe zur Eintheilung der Tugendlehre.
9.470,§. 15. Bedingungen der Entstehung höherer und niederer Begriffe: Logische Abstraction und logische Determination.
9.494,"§. 22. Qualität der Urtheile: Bejahende, Verneinende, Unendliche."
6.456,Eintheilung der Erwerbung des äußeren Mein und Dein.
6.287,Einleitung in die Metaphysik der Sitten.
,Welchen Einfluß hat die Sprache auf die Gedanken?
7.178,9. Welchen Ertrag wird der Fortschritt zum Besseren dem Menschengeschlecht abwerfen?
6.461,§ 11. Was ist ein Sachenrecht?
5.576,§ 37. Was wird eigentlich in einem Geschmacksurtheile von einem Gegenstande a priori behauptet?
4.647,Wie sind synthetische Sätze a priori möglich?
4.1066,Wie ist ein kategorischer Imperativ möglich?
6.812,"IV. Welche sind die Zwecke, die zugleich Pflichten sind?"
4.765,§ 36. Wie ist Natur selbst möglich?
8.187,Was heißt: Sich im Denken orientiren?
8.54,Beantwortung der Frage: Was ist Aufklärung?
4.644,Prolegomena. Allgemeine Frage: Wie ist Erkenntniß aus reiner Vernunft möglich?
,ratio cognoscendi
9.1797,g . Der Seeteufel
9.1659,3. Das surinamische Hirschchen
1.958,DEFINITIO.
9.1995,1. Naphtha
9.1842,a . Cochenille.
9.1836,g . Der Nautilus
1.1035,II. Principium coexsistentiae.
1.920,PROP. XI.
1.994,Additamenta problematis IX.
1.939,RATIO INSTITUTI.
,"Autonomie, Dualismus von Natur und Freiheit"
9.1659,3. Das surinamische Hirschchen
9.1800,"Der Meermensch, Meerjungfer"
9.2120,Die Inseln Nicobar und Andaman
9.1760,a . Die Flußotter
7.521,Von den Talenten im Erkenntnißvermögen.
9.1326,"4. Ratten und Mäuse, wie auch"
9.1675,D. Vierklauichte Thiere.
9.672,§. 72. Regel der dritten Figur.
9.1840,Sechstes Hauptstück. Einige merkwürdige Insekten und darunter:
2.45,Neue Begriffe der Bewegung und Ruhe.
,Die Moral ist ein allgemeingültiges Gesetz und daher ein formales Prinzip.
8.119,Nun ist das Recht zum Verlage ein persönliches bejahendes Recht.
9.772,"Die Beschreibung ist die Exposition eines Begriffs, sofern sie nicht präcis ist."
9.559,"Ein Wahrnehmungsurtheil ist bloß subjectiv, ein objectives Urtheil aus Wahrnehmungen ist ein Erfahrungsurtheil."
9.1932,"Der Nägeleinbaum ist einem Birnbaume ähnlich, das Nägelein ist seine Frucht."
5.568,§ 35. Das Princip des Geschmacks ist das subjective Princip der Urtheilskraft überhaupt.
6.471,§ 14. Der rechtliche Act dieser Erwerbung ist Bemächtigung ( occupatio ).
5.442,"§ 20. Die Bedingung der Nothwendigkeit, die ein Geschmacksurtheil vorgiebt, ist die Idee eines Gemeinsinnes."
9.419,"Die Idee ist ein Vernunftbegriff, deren Gegenstand gar nicht in der Erfahrung kann angetroffen werden."
9.358,Von den vorläufigen Urtheilen müssen die Vorurtheile unterschieden werden.
9.610,Ein Vernunftschluß ist das Erkenntniß der Nothwendigkeit eines Satzes durch die Subsumtion seiner Bedingung unter eine gegebene allgemeine Regel.
,Handeln
9.2243,Schweden
8.678,1800
9.2241,Portugal
8.578,1796
8.245,1790
5.264,1790
2.85,1760
2.686,1770
8.377,1793
6.1,1793
,"Wollen, Absicht, Handlung"
4.890,"Nur zwei Dinge muß ich im Fall, daß die Ausforderung angenommen wird, verbitten: erstlich das Spielwerk von Wahrscheinlichkeit und Muthmaßung, welches der Metaphysik eben so schlecht ansteht als der Geometrie; zweitens die Entscheidung vermittelst der Wünschelruthe des so genannten gesunden Menschenverstandes, die nicht jedermann schlägt, sondern sich nach persönlichen Eigenschaften richtet."
9.2320,"Sie besteht demnach 1) aus der scholastisch-mechanischen Bildung in Ansehung der Geschicklichkeit, ist also didaktisch (Informator), 2) aus der pragmatischen in Ansehung der Klugheit (Hofmeister), 3) aus der moralischen in Ansehung der Sittlichkeit."
5.74,"Die Maxime der Selbstliebe (Klugheit) räth blos an; das Gesetz der Sittlichkeit gebietet. Es ist aber doch ein großer Unterschied zwischen dem, wozu man uns anräthig ist, und dem, wozu wir verbindlich sind."
2.146,§ 6. Schlußbetrachtung.
3.638,"Die Fragen, welche bei einer solchen Dialektik der reinen Vernunft sich natürlich darbieten, sind also: 1. Bei welchen Sätzen denn eigentlich die reine Vernunft einer Antinomie unausbleiblich unterworfen sei. 2. Auf welchen Ursachen diese Antinomie beruhe. 3. Ob und auf welche Art dennoch der Vernunft unter diesem Widerspruch ein Weg zur Gewißheit offen bleibe."
9.353,"Die Zurückhaltung des Urtheils kann in zwiefacher Absicht geschehen: entweder, um die Gründe des bestimmenden Urtheils aufzusuchen, oder um niemals zu urtheilen. Im erstern Falle heißt die Aufschiebung des Urtheils eine kritische ( suspensio judicii indagatoria ), im letztern eine skeptische ( suspensio judicii sceptica ). Denn der Skeptiker thut auf alles Urtheilen Verzicht, der wahre Philosoph dagegen suspendirt bloß sein Urtheil, wofern er noch nicht genugsame Gründe hat, etwas für wahr zu halten."
4.989,"Der kategorische Imperativ ist also nur ein einziger und zwar dieser: handle nur nach derjenigen Maxime, durch die du zugleich wollen kannst, daß sie ein allgemeines Gesetz werde."
9.649,"4) Die Conclusion richtet sich allemal nach dem schwächern Theile des Schlusses; d. h. nach dem verneinenden und besondern Satze in den Prämissen, als welcher der schwächere Theil des kategorischen Vernunftschlusses genannt wird ( conclusio sequitur partem debiliorem ). Ist daher"
1.942,SECTIO I. De principio contradictionis.
9.2299,"2) Muß der Mensch cultivirt werden. Cultur begreift unter sich die Belehrung und die Unterweisung. Sie ist die Verschaffung der Geschicklichkeit. Diese ist der Besitz eines Vermögens, welches zu allen beliebigen Zwecken zureichend ist. Sie bestimmt also gar keine Zwecke, sondern überläßt das nachher den Umständen."
,Der Wille in der Welt existiert.
2.200,3. Das nothwendige Wesen ist einig.
8.463,Das Ende aller Dinge.
6.922,§ 2. Es giebt doch Pflichten des Menschen gegen sich selbst.
2.198,2. Es existirt ein schlechterdings nothwendiges Wesen.
4.1260,Allgemeiner Zusatz zur Dynamik.
2.203,4. Das nothwendige Wesen ist einfach.
2.213,1. Das nothwendige Wesen ist ein Geist.
2.643,"Der zweite Theil, welcher historisch ist."
5.342,§ 1. Das Geschmacksurtheil ist ästhetisch.
8.687,Nachschrift eines Freundes.
,Künstliche Intelligenz
9.2104,3. Kaschmir
9.1997,2. Petroleum
9.1995,1. Naphtha
9.1999,3. Bergtheer
9.1992,6. Arsenik
6.688,Des öffentlichen Rechts
6.722,Des öffentlichen Rechts
6.618,Des öffentlichen Rechts
9.2102,2. Bengala
9.2001,4. Der Bernstein
,"KI, Machinenlernen, Tiefe neuronale Netze, Worteinbettung"
9.470,§. 15. Bedingungen der Entstehung höherer und niederer Begriffe: Logische Abstraction und logische Determination.
9.494,"§. 22. Qualität der Urtheile: Bejahende, Verneinende, Unendliche."
9.523,"§. 30. Modalität der Urtheile: Problematische, assertorische, apodiktische."
9.485,"§. 20. Logische Formen der Urtheile: Quantität, Qualität, Relation und Modalität."
4.368,Der Transscendentalen Doctrin der Urtheilskraft (Analytik der Grundsätze)
4.1046,Dritter Abschnitt. Übergang von der Metaphysik der Sitten zur Kritik der reinen praktischen Vernunft.
3.273,Der Transscendentalen Doctrin der Urtheilskraft (oder Analytik der Grundsätze)
3.295,Der Transscendentalen Doctrin der Urtheilskraft (oder Analytik der Grundsätze)
4.245,Der Transscendentalen Doctrin der Urtheilskraft (oder Analytik der Grundsätze)
4.224,Der Transscendentalen Doctrin der Urtheilskraft (oder Analytik der Grundsätze)
,Wobei handelt es sich bei Künstlicher Intelligenz? Wird sie ein Segen für die Menschheit sein und intelligente Lösungen komplexer Probleme liefern?
2.178,"3. Kann ich wohl sagen, daß im Dasein mehr als in der bloßen Möglichkeit sei?"
9.302,"Da es, wie wir bemerkt haben, das Geschäft der Logik ist, klare Begriffe deutlich zu machen, so frägt es sich nun: Auf welche Art sie dieselben deutlich mache?"
9.221,"Es frägt sich nämlich hier: Ob und in wie fern es ein sicheres, allgemeines und in der Anwendung brauchbares Kriterium der Wahrheit gebe? Denn das soll die Frage: Was ist Wahrheit? bedeuten."
1.14,"Nach so großen Bemühungen, die sich die größten Männer um die Freiheit des menschlichen Verstandes gegeben haben, sollte man da wohl Ursache haben zu befürchten, daß ihnen der Erfolg derselben mißfallen werde?"
9.223,"1) Giebt es ein allgemeines materiales, und 2) Giebt es ein allgemeines formales Kriterium der Wahrheit?"
3.957,"Der Schritt zu der absoluten Totalität ist durch den empirischen Weg ganz und gar unmöglich. Nun thut man ihn doch aber im physischtheologischen Beweise. Welches Mittels bedient man sich also wohl, über eine so weite Kluft zu kommen?"
3.19,"Woran liegt es nun, daß hier noch kein sicherer Weg der Wissenschaft hat gefunden werden können? Ist er etwa unmöglich? Woher hat denn die Natur unsere Vernunft mit der rastlosen Bestrebung heimgesucht, ihm als einer ihrer wichtigsten Angelegenheiten nachzuspüren? Noch mehr, wie wenig haben wir Ursache, Vertrauen in unsere Vernunft zu setzen, wenn sie uns in einem der wichtigsten Stücke unserer Wißbegierde nicht bloß verläßt, sondern durch Vorspiegelungen hinhält und am Ende betrügt! Oder ist er bisher nur verfehlt, welche Anzeige können wir benutzen, um bei erneuertem Nachsuchen zu hoffen, daß wir glücklicher sein werden, als andere vor uns gewesen sind?"
6.960,"Der Zweck der Natur ist in der Beiwohnung der Geschlechter die Fortpflanzung, d. i. die Erhaltung der Art; jenem Zwecke darf also wenigstens nicht zuwider gehandelt werden. Ist es aber erlaubt, auch ohne auf diesen Rücksicht zu nehmen, sich (selbst wenn es in der Ehe geschähe) jenes Gebrauchs anzumaßen?"
7.556,"Also muß vor jedem Vergnügen der Schmerz vorhergehen; der Schmerz ist immer das erste. Denn was würde aus einer continuirlichen Beförderung der Lebenskraft, die über einen gewissen Grad sich doch nicht steigern läßt, anders folgen als ein schneller Tod vor Freude?"
9.735,"Unter einer petitio principii versteht man die Annehmung eines Satzes zum Beweisgrunde als eines unmittelbar gewissen Satzes, obgleich er noch eines Beweises bedarf. Und einen Cirkel im Beweisen begeht man, wenn man denjenigen Satz, den man hat beweisen wollen, seinem eigenen Beweise zum Grunde legt."
,Bundeskanzler
9.2241,Portugal
9.2243,Schweden
8.678,1800
8.578,1796
2.85,1760
8.245,1790
5.264,1790
2.686,1770
8.377,1793
6.1,1793
,"Bundeskanzler, Wahl, Bundesregierung, Bundestag"
9.1800,"Der Meermensch, Meerjungfer"
9.1760,a . Die Flußotter
9.1791,d . Der Hammerfisch
9.1881,e . Gold=Hühner
9.1793,e . Der Mantelfisch
9.1879,d . Der Paradiesvogel
9.1848,Bienen. - Seidenwürmer.
9.1836,g . Der Nautilus
9.1948,d . Vanille
2.45,Neue Begriffe der Bewegung und Ruhe.
,Welche Aufgaben hat der Bundeskanzler aktuell außer Deutschland zu repräsentieren?
8.293,Was soll man hier an Herrn Eberhard bezweifeln: die Einsicht oder die Aufrichtigkeit?
7.143,1. Was will man hier wissen?
4.644,Prolegomena. Allgemeine Frage: Wie ist Erkenntniß aus reiner Vernunft möglich?
6.1180,"1. L. Was ist dein größtes, ja dein ganzes Verlangen im Leben? S. 0. - L. Daß es dir Alles und immer nach Wunsch und Willen gehe."
5.883,"Nun fragt sich: Welche Stelle gebührt der Teleologie? Gehört sie zur (eigentlich sogenannten) Naturwissenschaft, oder zur Theologie? Eins von beiden muß sein; denn zum Übergange aus einer in die andere kann gar keine Wissenschaft gehören, weil dieser nur die Articulation oder Organisation des Systems und keinen Platz in demselben bedeutet."
7.178,9. Welchen Ertrag wird der Fortschritt zum Besseren dem Menschengeschlecht abwerfen?
4.765,§ 36. Wie ist Natur selbst möglich?
6.133,"Der Wunsch aller Wohlgesinnten ist also: ""daß das Reich Gottes komme, daß sein Wille auf Erden geschehe""; aber was haben sie nun zu veranstalten, damit dieses mit ihnen geschehe?"
3.1160,1. Was kann ich wissen? 2. Was soll ich thun? 3. Was darf ich hoffen?
3.224,§ 18. Was objective Einheit des Selbstbewußtseins sei.
