ID,Absatz,Wobei handelt es sich bei Künstlicher Intelligenz? Wird sie ein Segen für die Menschheit sein und intelligente Lösungen komplexer Probleme liefern?
9.717,3. Die gedachten Schlüsse der Urtheilskraft sind nützlich und unentbehrlich zum Behuf der Erweiterung unsers Erfahrungserkenntnisses. Da sie aber nur empirische Gewißheit geben: so müssen wir uns ihrer mit Behutsamkeit und Vorsicht bedienen.,0
8.16,"In vielen Fällen nahm die Krankheit gegen das Ende das Ansehen eines intermittirenden Fiebers an; die Fieberrinde hat es aber nicht allezeit heben können. Die Symptomen, wie es sich oft bei gallichten Krankheiten ereignet, wurden zuweilen durch diese Arzneimittel noch übler. Einige Dosen von irgend einem gelinden Abführungsmittel haben es aber gemeinhin gänzlich gehoben.",0
7.801,"Die eheliche Liebe aber ist ihrer Natur nach intolerant. Frauen spotten darüber zuweilen, aber, wie bereits oben bemerkt worden, im Scherz; denn bei dem Eingriffe Fremder in diese Rechte duldend und nachsichtlich zu sein, müßte Verachtung des weiblichen Theils und hiemit auch Haß gegen einen solchen Ehemann zur Folge haben.",0
4.497,"Ich denke ist also der alleinige Text der rationalen Psychologie, aus welchem sie ihre ganze Weisheit auswickeln soll. Man sieht leicht, daß dieser Gedanke, wenn er auf einen Gegenstand (mich selbst) bezogen werden soll, nichts anders als transscendentale Prädicate desselben enthalten könne, weil das mindeste empirische Prädicat die rationale Reinigkeit und Unabhängigkeit der Wissenschaft von aller Erfahrung verderben würde.",0
8.497,"Wenn aber nach aufgeklärten Begriffen der Staatsklugheit in beständiger Vergrößerung der Macht, durch welche Mittel es auch sei, die wahre Ehre des Staats gesetzt wird, so fällt freilich jenes Urtheil als schulmäßig und pedantisch in die Augen.",0
6.982,"Kann eine Unwahrheit aus bloßer Höflichkeit (z. B. das ganz gehorsamster Diener am Ende eines Briefes) für Lüge gehalten werden? Niemand wird ja dadurch betrogen. - Ein Autor frägt einen seiner Leser: wie gefällt Ihnen mein Werk? Die Antwort könnte nun zwar illusorisch gegeben werden, da man über die Verfänglichkeit einer solchen Frage spöttelte; aber wer hat den Witz immer bei der Hand? Das geringste Zögern mit der Antwort ist schon Kränkung des Verfassers; darf er diesem also zum Munde reden?",0
9.133,"Unter die größten und verdienstvollsten Reformatoren der Philosophie zu unsern Zeiten ist aber Leibniz und Locke zu rechnen. Der letztere suchte den menschlichen Verstand zu zergliedern und zu zeigen, welche Seelenkräfte und welche Operationen derselben zu dieser oder jener Erkenntniß gehörten. Aber er hat das Werk seiner Untersuchung nicht vollendet, auch ist sein Verfahren dogmatisch, wiewohl er den Nutzen stiftete, daß man anfing, die Natur der Seele besser und gründlicher zu studiren.",0
4.517,"Nun ist es aber auch unmöglich, diese nothwendige Einheit des Subjects als die Bedingung der Möglichkeit eines jeden Gedankens aus der Erfahrung abzuleiten. Denn diese giebt keine Nothwendigkeit zu erkennen, geschweige daß der Begriff der absoluten Einheit weit über ihre Sphäre ist. Woher nehmen wir denn diesen Satz, worauf sich der ganze psychologische Vernunftschluß stützt?",4
3.579,"Ich denke, ist also der alleinige Text der rationalen Psychologie, aus welchem sie ihre ganze Weisheit auswickeln soll. Man sieht leicht, daß dieser Gedanke, wenn er auf einen Gegenstand (mich selbst) bezogen werden soll, nichts anders als transscendentale Prädicate desselben enthalten könne: weil das mindeste empirische Prädicat die rationale Reinigkeit und Unabhängigkeit der Wissenschaft von aller Erfahrung verderben würde.",0
9.2301,"3) Muß man darauf sehen, daß der Mensch auch klug werde, in die menschliche Gesellschaft passe, daß er beliebt sei und Einfluß habe. Hiezu gehört eine gewisse Art von Cultur, die man Civilisirung nennt. Zu derselben sind Manieren, Artigkeit und eine gewisse Klugheit erforderlich, der zufolge man alle Menschen zu seinen Endzwecken gebrauchen kann. Sie richtet sich nach dem wandelbaren Geschmacke jedes Zeitalters. So liebte man noch vor wenigen Jahrzehenden Ceremonieen im Umgange.",0
9.26,"Als eine Wissenschaft, die auf alles Denken überhaupt geht, unangesehen der Objecte als der Materie des Denkens ist die Logik",0
7.732,"Wenn ein Temperament die Beigesellung eines andern sein soll wie das gemeiniglich geglaubt wird -, z. B.",0
9.397,"Und etwas muß doch auch in jeder Hypothese apodiktisch gewiß sein, nämlich",0
9.640,"Das Princip, worauf die Möglichkeit und Gültigkeit aller kategorischen Vernunftschlüsse beruht, ist dieses:",6
9.91,Das Feld der Philosophie in dieser weltbürgerlichen Bedeutung läßt sich auf folgende Fragen bringen:,0
5.81,Praktische materiale Bestimmungsgründe im Princip der Sittlichkeit sind,0
9.221,"Es frägt sich nämlich hier: Ob und in wie fern es ein sicheres, allgemeines und in der Anwendung brauchbares Kriterium der Wahrheit gebe? Denn das soll die Frage: Was ist Wahrheit? bedeuten.",0
4.263,"Auf solche Weise sind synthetische Urtheile a priori möglich, wenn wir die formale Bedingungen der Anschauung a priori, die Synthesis der Einbildungskraft und die nothwendige Einheit derselben in einer transscendentalen Apperception, auf ein mögliches Erfahrungserkenntniß überhaupt beziehen und sagen: die Bedingungen der Möglichkeit der Erfahrung überhaupt sind zugleich Bedingungen der Möglichkeit der Gegenstände der Erfahrung und haben darum objective Gültigkeit in einem synthetischen Urtheile a priori.",6
3.316,"Auf solche Weise sind synthetische Urtheile a priori möglich, wenn wir die formalen Bedingungen der Anschauung a priori, die Synthesis der Einbildungskraft und die nothwendige Einheit derselben in einer transscendentalen Apperception, auf ein mögliches Erfahrungserkenntniß überhaupt beziehen und sagen: die Bedingungen der Möglichkeit der Erfahrung überhaupt sind zugleich Bedingungen der Möglichkeit der Gegenstände der Erfahrung und haben darum objective Gültigkeit in einem synthetischen Urtheile a priori.",6
5.476,"Hier ist nun merkwürdig: daß, wenn wir gleich am Objecte gar kein Interesse haben, d. i. die Existenz desselben uns gleichgültig ist, doch die bloße Größe desselben, selbst wenn es als formlos betrachtet wird, ein Wohlgefallen bei sich führen könne, das allgemein mittheilbar ist, mithin Bewußtsein einer subjectiven Zweckmäßigkeit im Gebrauche unsrer Erkenntnißvermögen enthält; aber nicht etwa ein Wohlgefallen am Objecte, wie beim Schönen (weil es formlos sein kann), wo die reflectirende Urtheilskraft sich in Beziehung auf das Erkenntniß überhaupt zweckmäßig gestimmt findet, sondern an der Erweiterung der Einbildungskraft an sich selbst.",0
2.178,"3. Kann ich wohl sagen, daß im Dasein mehr als in der bloßen Möglichkeit sei?",0
9.302,"Da es, wie wir bemerkt haben, das Geschäft der Logik ist, klare Begriffe deutlich zu machen, so frägt es sich nun: Auf welche Art sie dieselben deutlich mache?",0
1.14,"Nach so großen Bemühungen, die sich die größten Männer um die Freiheit des menschlichen Verstandes gegeben haben, sollte man da wohl Ursache haben zu befürchten, daß ihnen der Erfolg derselben mißfallen werde?",6
9.223,"1) Giebt es ein allgemeines materiales, und 2) Giebt es ein allgemeines formales Kriterium der Wahrheit?",0
3.957,"Der Schritt zu der absoluten Totalität ist durch den empirischen Weg ganz und gar unmöglich. Nun thut man ihn doch aber im physischtheologischen Beweise. Welches Mittels bedient man sich also wohl, über eine so weite Kluft zu kommen?",0
3.19,"Woran liegt es nun, daß hier noch kein sicherer Weg der Wissenschaft hat gefunden werden können? Ist er etwa unmöglich? Woher hat denn die Natur unsere Vernunft mit der rastlosen Bestrebung heimgesucht, ihm als einer ihrer wichtigsten Angelegenheiten nachzuspüren? Noch mehr, wie wenig haben wir Ursache, Vertrauen in unsere Vernunft zu setzen, wenn sie uns in einem der wichtigsten Stücke unserer Wißbegierde nicht bloß verläßt, sondern durch Vorspiegelungen hinhält und am Ende betrügt! Oder ist er bisher nur verfehlt, welche Anzeige können wir benutzen, um bei erneuertem Nachsuchen zu hoffen, daß wir glücklicher sein werden, als andere vor uns gewesen sind?",0
6.960,"Der Zweck der Natur ist in der Beiwohnung der Geschlechter die Fortpflanzung, d. i. die Erhaltung der Art; jenem Zwecke darf also wenigstens nicht zuwider gehandelt werden. Ist es aber erlaubt, auch ohne auf diesen Rücksicht zu nehmen, sich (selbst wenn es in der Ehe geschähe) jenes Gebrauchs anzumaßen?",0
7.556,"Also muß vor jedem Vergnügen der Schmerz vorhergehen; der Schmerz ist immer das erste. Denn was würde aus einer continuirlichen Beförderung der Lebenskraft, die über einen gewissen Grad sich doch nicht steigern läßt, anders folgen als ein schneller Tod vor Freude?",0
9.735,"Unter einer petitio principii versteht man die Annehmung eines Satzes zum Beweisgrunde als eines unmittelbar gewissen Satzes, obgleich er noch eines Beweises bedarf. Und einen Cirkel im Beweisen begeht man, wenn man denjenigen Satz, den man hat beweisen wollen, seinem eigenen Beweise zum Grunde legt.",0
5.915,"Wir haben im vorigen gezeigt, daß wir den Menschen nicht bloß wie alle organisirte Wesen als Naturzweck, sondern auch hier auf Erden als den letzten Zweck der Natur, in Beziehung auf welchen alle übrige Naturdinge ein System von Zwecken ausmachen, nach Grundsätzen der Vernunft zwar nicht für die bestimmende, doch für die reflectirende Urtheilskraft zu beurtheilen hinreichende Ursache haben. Wenn nun dasjenige im Menschen selbst angetroffen werden muß, was als Zweck durch seine Verknüpfung mit der Natur befördert werden soll: so muß entweder der Zweck von der Art sein, daß er selbst durch die Natur in ihrer Wohlthätigkeit befriedigt werden kann; oder es ist die Tauglichkeit und Geschicklichkeit zu allerlei Zwecken, wozu die Natur (äußerlich und innerlich) von ihm gebraucht werden könne. Der erste Zweck der Natur würde die Glückseligkeit, der zweite die Cultur des Menschen sein.",0
9.2295,"Eltern sorgen für das Haus, Fürsten für den Staat. Beide haben nicht das Weltbeste und die Vollkommenheit, dazu die Menschheit bestimmt ist, und wozu sie auch die Anlage hat, zum Endzwecke. Die Anlage zu einem Erziehungsplane muß aber kosmopolitisch gemacht werden. Und ist dann das Weltbeste eine Idee, die uns in unserm Privatbesten kann schädlich sein? Niemals! denn wenn es gleich scheint, daß man bei ihr etwas aufopfern müsse: so befördert man doch nichts desto weniger durch sie immer auch das Beste seines gegenwärtigen Zustandes. Und dann, welche herrliche Folgen begleiten sie! Gute Erziehung gerade ist das, woraus alles Gute in der Welt entspringt. Die Keime, die im Menschen liegen, müssen nur immer mehr entwickelt werden. Denn die Gründe zum Bösen findet man nicht in den Naturanlagen des Menschen. Das nur ist die Ursache des Bösen, daß die Natur nicht unter Regeln gebracht wird. Im Menschen liegen nur Keime zum Guten. *)",0
9.96,"Zu einem Philosophen gehören hauptsächlich zwei Dinge: 1) Cultur des Talents und der Geschicklichkeit, um sie zu allerlei Zwecken zu gebrauchen. 2) Fertigkeit im Gebrauch aller Mittel zu beliebigen Zwecken. Beides muß vereinigt sein; denn ohne Kenntnisse wird man nie ein Philosoph werden, aber nie werden auch Kenntnisse allein den Philosophen ausmachen, wofern nicht eine zweckmäßige Verbindung aller Erkenntnisse und Geschicklichkeiten zur Einheit hinzukommt und eine Einsicht in die Übereinstimmung derselben mit den höchsten Zwecken der menschlichen Vernunft.",0
3.1150,"Ich will das Glück, welches die reine Vernunft in speculativer Absicht macht, jetzt bei Seite setzen und frage nur nach den Aufgaben, deren Auflösung ihren letzten Zweck ausmacht, sie mag diesen nun erreichen oder nicht, und in Ansehung dessen alle andere bloß den Werth der Mittel haben. Diese höchste Zwecke werden nach der Natur der Vernunft wiederum Einheit haben müssen, um dasjenige Interesse der Menschheit, welches keinem höheren untergeordnet ist, vereinigt zu befördern.",6
7.238,"Alle Fortschritte in der Cultur, wodurch der Mensch seine Schule macht, haben das Ziel, diese erworbenen Kenntnisse und Geschicklichkeiten zum Gebrauch für die Welt anzuwenden; aber der wichtigste Gegenstand in derselben, auf den er jene verwenden kann, ist der Mensch: weil er sein eigener letzter Zweck ist. - Ihn also seiner Species nach als mit Vernunft begabtes Erdwesen zu erkennen, verdient besonders Weltkenntniß genannt zu werden, ob er gleich nur einen Theil der Erdgeschöpfe ausmacht.",4
7.786,"Man kann nur dadurch, daß man, nicht was wir uns zum Zweck machen, sondern was Zweck der Natur bei Einrichtung der Weiblichkeit war, als Princip braucht, zu der Charakteristik dieses Geschlechts gelangen, und da dieser Zweck selbst vermittelst der Thorheit der Menschen doch der Naturabsicht nach Weisheit sein muß: so werden diese ihre muthmaßlichen Zwecke auch das Princip derselben anzugeben dienen können, welches nicht von unserer Wahl, sondern von einer höheren Absicht mit dem menschlichen Geschlecht abhängt. Sie sind 1. Die Erhaltung der Art, 2. Die Cultur der Gesellschaft und Verfeinerung derselben durch die Weiblichkeit.",0
9.2319,"Die Pädagogik oder Erziehungslehre ist entweder physisch oder praktisch. Die physische Erziehung ist diejenige, die der Mensch mit den Thieren gemein hat, oder die Verpflegung. Die praktische oder moralische ist diejenige, durch die der Mensch soll gebildet werden, damit er wie ein freihandelndes Wesen leben könne. (Praktisch nennt man alles dasjenige, was Beziehung auf Freiheit hat.) Sie ist Erziehung zur Persönlichkeit, Erziehung eines frei handelnden Wesens, das sich selbst erhalten und in der Gesellschaft ein Glied ausmachen, für sich selbst aber einen innern Werth haben kann.",0
