ID,Absatz,Handeln
5.920,"Was die Disciplin der Neigungen betrifft, zu denen die Naturanlage in Absicht auf unsere Bestimmung als einer Thiergattung ganz zweckmäßig ist, die aber die Entwickelung der Menschheit sehr erschweren: so zeigt sich doch auch in Ansehung dieses zweiten Erfordernisses zur Cultur ein zweckmäßiges Streben der Natur zu einer Ausbildung, welche uns höherer Zwecke, als die Natur selbst liefern kann, empfänglich macht. Das Übergewicht der Übel, welche die Verfeinerung des Geschmacks bis zur Idealisirung desselben und selbst der Luxus in Wissenschaften, als einer Nahrung für die Eitelkeit, durch die unzubefriedigende Menge der dadurch erzeugten Neigungen über uns ausschüttet, ist nicht zu bestreiten: dagegen aber der Zweck der Natur auch nicht zu verkennen, der Rohigkeit und dem Ungestüm derjenigen Neigungen, welche mehr der Thierheit in uns angehören und der Ausbildung zu unserer höheren Bestimmung am meisten entgegen sind (der Neigungen des Genusses), immer mehr abzugewinnen und der Entwickelung der Menschheit Platz zu machen. Schöne Kunst und Wissenschaften, die durch eine Lust, die sich allgemein mittheilen läßt, und durch Geschliffenheit und Verfeinerung für die Gesellschaft, wenn gleich den Menschen nicht sittlich besser, doch gesittet machen, gewinnen der Tyrannei des Sinnenhanges sehr viel ab und bereiten dadurch den Menschen zu einer Herrschaft vor, in welcher die Vernunft allein Gewalt haben soll: indeß die Übel, womit uns theils die Natur, theils die unvertragsame Selbstsucht der Menschen heimsucht, zugleich die Kräfte der Seele aufbieten, steigern und stählen, um jenen nicht zu unterliegen, und uns so eine Tauglichkeit zu höheren Zwecken, die in uns verborgen liegt, fühlen lassen. *)",6
9.323,"Zwischen Meinen, Glauben und Wissen findet demnach ein wesentlicher Unterschied statt, den wir hier noch genauer und ausführlicher auseinandersetzen wollen.",0
7.543,1) Selbst denken.,0
6.1032,Der Pflichten gegen sich selbst,0
6.860,a. Das moralische Gefühl.,0
7.256,Vom Egoism.,0
6.1094,C. Theilnehmende Empfindung ist überhaupt Pflicht.,0
2.213,1. Das nothwendige Wesen ist ein Geist.,0
5.524,"Erhaben ist das, was durch seinen Widerstand gegen das Interesse der Sinne unmittelbar gefällt.",0
7.545,3) Jederzeit mit sich selbst einstimmig zu denken.,0
9.2066,Ehen.,0
1.1040,USUS.,0
1.1029,USUS.,0
5.260,Beschluß.,0
9.1662,Das Elendthier (oder richtiger Elenthier).,0
4.1051,Freiheit muß als Eigenschaft des Willens aller vernünftigen Wesen vorausgesetzt werden.,6
8.492,Zum ewigen Frieden.,0
2.132,Alle Menschen sind Sünder; Alle Menschen sind vernünftig; Also einige Vernünftige sind Sünder.,0
2.109,1. Ein Geist sein ist Merkmal des Vernünftigen;,0
7.694,Von dem höchsten moralisch=physischen Gut.,0
6.937,"Die, wenn gleich nicht vornehmste, doch erste Pflicht des Menschen gegen sich selbst in der Qualität seiner Thierheit ist die Selbsterhaltung in seiner animalischen Natur.",6
3.694,"Es ist keine Freiheit, sondern alles in der Welt geschieht lediglich nach Gesetzen der Natur.",6
9.2085,Die Unempfindlichkeit ist bei ihnen die größte Glückseligkeit. Ihre Leichen werden verbrannt.,0
4.1053,"Von dem Interesse, welches den Ideen der Sittlichkeit anhängt.",0
7.269,Von dem Beobachten seiner selbst.,0
9.2412,"lernen will. Man muß abschlägige Antworten, Widerstand u.s.w. gewohnt werden.",0
9.2055,Essen und Trinken.,0
5.353,§ 4. Das Wohlgefallen am Guten ist mit Interesse verbunden.,0
1.1213,Bestätigung aus der Erfahrung.,0
4.1178,Beweis.,0
4.1190,Beweis.,0
4.1327,Beweis.,0
4.312,Beweis.,0
3.334,Beweis.,0
3.431,Beweis.,0
1.676,Beschluß.,0
6.1196,Beschluß.,0
6.729,Beschluß.,0
1.859,Beschluß.,0
6.552,I. Was ist Geld?,0
9.696,Das Princip der disjunctiven Vernunftschlüsse ist der Grundsatz des ausschließenden Dritten:,0
8.556,"Zur Auflösung des ersten, nämlich des Staats-Klugheitsproblems, wird viel Kenntniß der Natur erfordert, um ihren Mechanism zu dem gedachten Zweck zu benutzen, und doch ist alle diese ungewiß in Ansehung ihres Resultats, den ewigen Frieden betreffend; man mag nun die eine oder die andere der drei Abtheilungen des öffentlichen Rechts nehmen. Ob das Volk im Gehorsam und zugleich im Flor besser durch Strenge, oder Lockspeise der Eitelkeit, ob durch Obergewalt eines Einzigen, oder durch Vereinigung mehrerer Häupter, vielleicht auch bloß durch einen Dienstadel, oder durch Volksgewalt im Innern und zwar auf lange Zeit gehalten werden könne, ist ungewiß. Man hat von allen Regierungsarten (die einzige ächt-republikanische, die aber nur einem moralischen Politiker in den Sinn kommen kann, ausgenommen) Beispiele des Gegentheils in der Geschichte. - Noch ungewisser ist ein auf Statute nach Ministerialplanen vorgeblich errichtetes Völkerrecht, welches in der That nur ein Wort ohne Sache ist und auf Verträgen beruht, die in demselben Act ihrer Beschließung zugleich den geheimen Vorbehalt ihrer Übertretung enthalten. - Dagegen dringt sich die Auflösung des zweiten, nämlich des Staatsweisheitsproblems, so zu sagen von selbst auf, ist jedermann einleuchtend und macht alle Künstelei zu Schanden, führt dabei gerade zum Zweck; doch mit der Erinnerung der Klugheit, ihn nicht übereilterweise mit Gewalt herbei zu ziehen, sondern sich ihm nach Beschaffenheit der günstigen Umstände unablässig zu nähern.",0
7.159,4. Durch Erfahrung unmittelbar ist die Aufgabe des Fortschreitens nicht aufzulösen.,0
7.324,Von dem erlaubten moralischen Schein.,0
9.616,Zu einem jeden Vernunftschlusse gehören folgende wesentlichen drei Stücke:,0
6.882,2) Tugend ist die Beobachtung der Mittelstraße zwischen entgegengesetzten Lastern.,0
2.577,1765,0
2.675,1768,0
2.592,1766,0
8.445,1794,0
8.691,1764,0
2.430,1764,0
9.2247,Rußland.,0
9.2227,Griechenland.,0
9.2049,China.,0
9.2229,Ungarn.,0
9.2215,Ägypten.,0
9.2064,Religion.,0
4.1206,Beweis.,0
4.1215,Beweis.,0
4.1221,Beweis.,0
4.1233,Beweis.,0
4.1245,Beweis.,0
4.1168,Beweis.,0
4.1280,Beweis.,0
4.1289,Beweis.,0
1.1242,Beschluß.,0
5.60,Anmerkung.,0
1.231,§ 64.,0
1.261,§ 75.,0
1.353,§ 105.,0
6.708,§ 58.,0
1.215,§ 58.,0
4.867,§ 58.,0
1.156,§ 35.,0
4.762,§ 35.,0
6.1099,§ 35.,0
1.286,§ 84.,0
