ID,Absatz,Sprachlichkeit
9.2261,Amerikanische Inseln.,0
7.78,Resultat.,0
8.634,Resultat.,0
7.338,Vom Gehör.,6
9.2318,Abhandlung.,0
2.155,Vorrede.,0
2.370,Vorrede.,0
2.8,Abhandlung.,0
5.62,Folgerung.,0
7.237,Vorrede.,0
4.1133,Grundsatz.,0
6.913,Sie enthält:,0
8.175,Schluß=Anmerkung.,0
7.229,Nachschrift.,0
2.575,Nachschrift.,0
4.1315,Erklärung.,0
4.1276,Erklärung 2.,0
4.1117,Erklärung 2.,0
4.1172,Erklärung 2.,0
3.647,Beweis.,0
8.336,1791,0
8.377,1793,0
6.1,1793,0
8.445,1794,0
2.85,1760,0
8.578,1796,0
2.686,1770,0
9.2241,Portugal,0
8.678,1800,0
9.2243,Schweden,0
7.298,Apologie für die Sinnlichkeit.,0
5.81,Praktische materiale Bestimmungsgründe im Princip der Sittlichkeit sind,0
7.398,A. Von dem sinnlichen Dichtungsvermögen der Bildung.,4
3.427,Widerlegung des Idealismus.,0
7.404,C. Das sinnliche Dichtungsvermögen der Verwandtschaft.,4
7.267,Von dem willkürlichen Bewußtsein seiner Vorstellungen.,0
1.958,DEFINITIO.,0
4.530,"Dritter Paralogism, der Personalität.",0
7.551,Von der sinnlichen Lust.,0
7.401,B. Von dem sinnlichen Dichtungsvermögen der Beigesellung.,4
7.305,Rechtfertigung der Sinnlichkeit wider die Dritte Anklage.,0
3.70,"Auf welche Art und durch welche Mittel sich auch immer eine Erkenntniß auf Gegenstände beziehen mag, so ist doch diejenige, wodurch sie sich auf dieselbe unmittelbar bezieht, und worauf alles Denken als Mittel abzweckt, die Anschauung. Diese findet aber nur statt, sofern uns der Gegenstand gegeben wird; dieses aber ist wiederum uns Menschen wenigstens nur dadurch möglich, daß er das Gemüth auf gewisse Weise afficire. Die Fähigkeit (Receptivität), Vorstellungen durch die Art, wie wir von Gegenständen afficirt werden, zu bekommen, heißt Sinnlichkeit. Vermittelst der Sinnlichkeit also werden uns Gegenstände gegeben, und sie allein liefert uns Anschauungen; durch den Verstand aber werden sie gedacht, und von ihm entspringen Begriffe. Alles Denken aber muß sich, es sei geradezu ( directe ), oder im Umschweife ( indirecte ), vermittelst gewisser Merkmale zuletzt auf Anschauungen, mithin bei uns auf Sinnlichkeit beziehen, weil uns auf andere Weise kein Gegenstand gegeben werden kann. Die Wirkung eines Gegenstandes auf die Vorstellungsfähigkeit, sofern wir von demselben afficirt werden, ist Empfindung. Diejenige Anschauung, welche sich auf den Gegenstand durch Empfindung bezieht, heißt empirisch. Der unbestimmte Gegenstand einer empirischen Anschauung heißt Erscheinung.",6
4.48,"Auf welche Art und durch welche Mittel sich auch immer eine Erkenntniß auf Gegenstände beziehen mag, so ist doch diejenige, wodurch sie sich auf dieselbe unmittelbar bezieht, und worauf alles Denken als Mittel abzweckt, die Anschauung. Diese findet aber nur statt, so fern uns der Gegenstand gegeben wird; dieses aber ist wiederum nur dadurch möglich, daß er das Gemüth auf gewisse Weise afficire. Die Fähigkeit (Receptivität), Vorstellungen durch die Art, wie wir von Gegenständen afficirt werden, zu bekommen, heißt Sinnlichkeit. Vermittelst der Sinnlichkeit also werden uns Gegenstände gegeben, und sie allein liefert uns Anschauungen; durch den Verstand aber werden sie gedacht, und von ihm entspringen Begriffe. Alles Denken aber muß sich, es sei gerade zu ( directe ) oder im Umschweife ( indirecte ), zuletzt auf Anschauungen, mithin bei uns auf Sinnlichkeit beziehen, weil uns auf andere Weise kein Gegenstand gegeben werden kann.",6
7.307,"Ein Tadel, den die Logik der Sinnlichkeit entgegen wirft, ist der: daß man dem Erkenntniß, so wie es durch sie befördert wird, Seichtigkeit (Individualität, Einschränkung aufs Einzelne) vorwirft, da hingegen den Verstand, der aufs Allgemeine geht, eben darum aber zu Abstractionen sich bequemen muß, der Vorwurf der Trockenheit trifft. Die ästhetische Behandlung, deren erste Forderung Popularität ist, schlägt aber einen Weg ein, auf dem beiden Fehlern ausgebeugt werden kann.",0
7.303,Rechtfertigung der Sinnlichkeit gegen die zweite Anklage.,0
3.979,"Die Vernunft bezieht sich niemals geradezu auf einen Gegenstand, sondern lediglich auf den Verstand und vermittelst desselben auf ihren eigenen empirischen Gebrauch, schafft also keine Begriffe (von Objecten), sondern ordnet sie nur und giebt ihnen diejenige Einheit, welche sie in ihrer größtmöglichen Ausbreitung haben können, d. i. in Beziehung auf die Totalität der Reihen, als auf welche der Verstand gar nicht sieht, sondern nur auf diejenige Verknüpfung, dadurch allerwärts Reihen der Bedingungen nach Begriffen zu Stande kommen. Die Vernunft hat also eigentlich nur den Verstand und dessen zweckmäßige Anstellung zum Gegenstande; und wie dieser das Mannigfaltige im Object durch Begriffe vereinigt, so vereinigt jene ihrerseits das Mannigfaltige der Begriffe durch Ideen, indem sie eine gewisse collective Einheit zum Ziele der Verstandeshandlungen setzt, welche sonst nur mit der distributiven Einheit beschäftigt sind.",6
7.292,"Vorstellungen, in Ansehung deren sich das Gemüth leidend verhält, durch welche also das Subject afficirt wird (dieses mag sich nun selbst afficiren oder von einem Object afficirt werden), gehören zum sinnlichen; diejenigen aber, welche ein bloßes Thun (das Denken) enthalten, zum intellectuellen Erkenntnißvermögen. Jenes wird auch das untere, dieses aber das obere Erkenntnißvermögen genannt. *) Jenes hat den Charakter der Passivität des inneren Sinnes der Empfindungen, dieses der Spontaneität der Apperception, d. i. des reinen Bewußtseins der Handlung, welche das Denken ausmacht und zur Logik (einem System der Regeln des Verstandes), so wie jener zur Psychologie (einem Inbegriff aller innern Wahrnehmungen unter Naturgesetzen) gehört und innere Erfahrung begründet.",0
7.300,Rechtfertigung der Sinnlichkeit gegen die erste Anklage.,0
4.373,"Daß dieses aber auch der Fall mit allen Kategorien und den daraus gesponnenen Grundsätzen sei, erhellt auch daraus, daß wir sogar keine einzige derselben definiren können, ohne uns sofort zu Bedingungen der Sinnlichkeit, mithin der Form der Erscheinungen herabzulassen, als auf welche als ihre einzige Gegenstände sie folglich eingeschränkt sein müssen, weil, wenn man diese Bedingung wegnimmt, alle Bedeutung, d. i. Beziehung aufs Object, wegfällt, und man durch kein Beispiel sich selbst faßlich machen kann, was unter dergleichen Begriffe denn eigentlich für ein Ding gemeint sei. Oben bei Darstellung der Tafel der Kategorien überhoben wir uns der Definition einer jeden derselben dadurch: daß unsere Absicht, die lediglich auf den synthetischen Gebrauch derselben geht, sie nicht nöthig mache, und man sich mit unnöthigen Unternehmungen keiner Verantwortung aussetzen müsse, deren man überhoben sein kann. Das war keine Ausrede, sondern eine nicht unerhebliche Klugheitsregel, sich nicht sofort ans Definiren zu wagen und Vollständigkeit oder Präcision in der Bestimmung des Begriffs zu versuchen oder vorzugeben, wenn man mit irgend einem oder andern Merkmale desselben auslangen kann, ohne eben dazu eine vollständige Herzählung aller derselben, die den ganzen Begriff ausmachen, zu bedürfen. Jetzt aber zeigt sich, daß der Grund dieser Vorsicht noch tiefer liege, nämlich daß wir sie nicht definiren konnten, wenn wir auch wollten *) , sondern, wenn man alle Bedingungen der Sinnlichkeit wegschafft, die sie als Begriffe eines möglichen empirischen Gebrauchs auszeichnen, und sie für Begriffe von Dingen überhaupt (mithin vom transscendentalen Gebrauch) nimmt, bei ihnen gar nichts weiter zu thun sei, als die logische Function in Urtheilen, als die Bedingung der Möglichkeit der Sachen selbst anzusehen, ohne doch im mindesten anzeigen zu können, wo sie denn ihre Anwendung und ihr Object, mithin wie sie im reinen Verstande ohne Sinnlichkeit irgend eine Bedeutung und objective Gültigkeit haben können. Den Begriff der Größe überhaupt kann niemand erklären, als etwa so, daß sie die Bestimmung eines Dinges sei, dadurch, wie vielmal Eines in ihm gesetzt ist, gedacht werden kann. Allein dieses Wievielmal gründet sich auf die successive Wiederholung, mithin auf die Zeit und die Synthesis (des Gleichartigen) in derselben. Realität kann man im Gegensatze mit der Negation nur alsdann erklären, wenn man sich eine Zeit (als den Inbegriff von allem Sein) gedenkt, die entweder womit erfüllt oder leer ist. Lasse ich die Beharrlichkeit (welche ein Dasein zu aller Zeit ist) weg, so bleibt mir zum Begriffe der Substanz nichts übrig, als die logische Vorstellung vom Subject, welche ich dadurch zu realisiren vermeine, daß ich mir Etwas vorstelle, welches blos als Subject (ohne wovon ein Prädicat zu sein) statt finden kann. Aber nicht allein daß ich gar keine Bedingungen weiß, unter welchen denn dieser logische Vorzug irgend einem Dinge eigen sein werde, so ist auch gar nichts weiter daraus zu machen und nicht die mindeste Folgerung zu ziehen, weil dadurch gar kein Object des Gebrauchs dieses Begriffs bestimmt wird, und man also gar nicht weiß, ob dieser überall irgend etwas bedeute. Vom Begriffe der Ursache würde ich (wenn ich die Zeit weglasse, in der etwas auf etwas anderes nach einer Regel folgt) in der reinen Kategorie nichts weiter finden, als daß es so etwas sei, woraus sich auf das Dasein eines andern schließen läßt; und es würde dadurch nicht allein Ursache und Wirkung gar nicht von einander unterschieden werden können, sondern weil dieses Schließenkönnen doch bald Bedingungen erfordert, von denen ich nichts weiß, so würde der Begriff gar keine Bestimmung haben, wie er auf irgend ein Object passe. Der vermeinte Grundsatz: alles Zufällige hat eine Ursache, tritt zwar ziemlich gravitätisch auf, als habe er seine eigene Würde in sich selbst. Allein frage ich: was versteht ihr unter zufällig? und ihr antwortet: dessen Nichtsein möglich ist, so möchte ich gern wissen, woran ihr diese Möglichkeit des Nichtsein erkennen wollt, wenn ihr euch nicht in der Reihe der Erscheinungen eine Succession und in dieser ein Dasein, welches auf das Nichtsein folgt (oder umgekehrt), mithin einen Wechsel vorstellt; denn daß das Nichtsein eines Dinges sich selbst nicht widerspreche, ist eine lahme Berufung auf eine logische Bedingung, die zwar zum Begriffe nothwendig, aber zur realen Möglichkeit bei weitem nicht hinreichend ist; wie ich denn eine jede existirende Substanz in Gedanken aufheben kann, ohne mir selbst zu widersprechen, daraus aber auf die objective Zufälligkeit derselben in ihrem Dasein, d. i. die Möglichkeit ihres Nichtseins an sich selbst, gar nicht schließen kann. Was den Begriff der Gemeinschaft betrifft, so ist leicht zu ermessen, daß, da die reine Kategorien der Substanz sowohl als Causalität keine das Object bestimmende Erklärung zulassen, die wechselseitige Causalität in der Beziehung der Substanzen auf einander ( commercium ) eben so wenig derselben fähig sei. Möglichkeit, Dasein und Nothwendigkeit hat noch niemand anders als durch offenbare Tautologie erklären können, wenn man ihre Definition lediglich aus dem reinen Verstande schöpfen wollte. Denn das Blendwerk, die logische Möglichkeit des Begriffs (da er sich selbst nicht widerspricht) der transscendentalen Möglichkeit der Dinge (da dem Begriff ein Gegenstand correspondirt) zu unterschieben, kann nur Unversuchte hintergehen und zufrieden stellen.",4
4.527,"So ist demnach das einfache Bewußtsein keine Kenntniß der einfachen Natur unseres Subjects, in so fern als dieses dadurch von der Materie als einem zusammengesetzten Wesen unterschieden werden soll.",0
7.265,Über die Förmlichkeit der egoistischen Sprache.,3
3.348,3. Analogien der Erfahrung.,0
5.692,Der Kritik der ästhetischen Urtheilskraft,0
9.568,I. Verstandesschlüsse.,0
7.761,A. Von der Gesichtsbildung.,0
4.288,3. Die Analogien der Erfahrung.,0
9.2158,Religion.,0
9.2064,Religion.,0
9.2146,Religion.,0
9.1986,3. Wismuth,0
9.40,Die Logik wird eingetheilt,0
6.1166,Der ethischen Methodenlehre,0
6.316,Folgende Begriffe sind der Metaphysik der Sitten in ihren beiden Theilen gemein.,0
6.385,Eintheilung der Metaphysik der Sitten überhaupt.,0
9.156,"Diese wesentliche ästhetische Vollkommenheit ist es auch, welche unter allen mit der logischen Vollkommenheit sich verträgt und am besten mit ihr verbinden läßt.",0
5.63,"Reine Vernunft ist für sich allein praktisch und giebt (dem Menschen) ein allgemeines Gesetz, welches wir das Sittengesetz nennen.",0
9.2051,Sitten und Charakter der Nation.,0
7.330,Von den fünf Sinnen.,0
7.524,Von dem specifischen Unterschiede des vergleichenden und des vernünftelnden Witzes.,4
2.813,Stammgattung.,0
9.2143,Naturbeschaffenheit.,0
6.840,"2. Fremde Glückseligkeit als Zweck, der zugleich Pflicht ist.",0
6.1094,C. Theilnehmende Empfindung ist überhaupt Pflicht.,0
4.1220,Durch bloße Anziehungskraft ohne Zurückstoßung ist keine Materie möglich.,0
8.458,Ausgleichung dieses Widerstreits.,5
6.820,B. Fremde Glückseligkeit.,0
2.45,Neue Begriffe der Bewegung und Ruhe.,6
1.1100,"Von den Zwischenzeiten, die binnen einigen auf einander folgenden Erdbeben verlaufen.",0
8.629,"Was ist Philosophie, als Lehre, die unter allen Wissenschaften das größte Bedürfniß der Menschen ausmacht?",0
9.2247,Rußland.,0
4.1232,Die aller Materie wesentliche Anziehung ist eine unmittelbare Wirkung derselben auf andere durch den leeren Raum.,0
6.882,2) Tugend ist die Beobachtung der Mittelstraße zwischen entgegengesetzten Lastern.,0
9.2085,Die Unempfindlichkeit ist bei ihnen die größte Glückseligkeit. Ihre Leichen werden verbrannt.,0
5.621,"Schöne Kunst dagegen ist eine Vorstellungsart, die für sich selbst zweckmäßig ist und, obgleich ohne Zweck, dennoch die Cultur der Gemüthskräfte zur geselligen Mittheilung befördert.",0
5.37,Folgerung.,0
8.416,Folgerung.,0
3.417,Erläuterung.,0
4.353,Erläuterung.,0
4.78,Erläuterung.,0
7.283,Von der Deutlichkeit und Undeutlichkeit im Bewußtsein seiner Vorstellungen.,0
9.149,Die Deutlichkeit selbst kann eine zwiefache sein:,0
9.2061,"Von den Wissenschaften, der Sprache und den Gesetzen.",2
7.604,"Woher schreibt sich die poetische Freiheit, die doch dem Redner nicht zusteht, dann und wann wider die Sprachgesetze zu verstoßen? Vermuthlich davon, daß er durch das Gesetz der Form nicht gar zu sehr beengt werde, einen großen Gedanken auszudrücken.",2
4.458,"Bei dem großen Reichthum unserer Sprachen findet sich doch oft der denkende Kopf wegen des Ausdrucks verlegen, der seinem Begriffe genau anpaßt, und in dessen Ermangelung er weder andern, noch sogar sich selbst recht verständlich werden kann. Neue Wörter zu schmieden, ist eine Anmaßung zum Gesetzgeben in Sprachen, die selten gelingt, und ehe man zu diesem verzweifelten Mittel schreitet, ist es rathsam, sich in einer todten und gelehrten Sprache umzusehen, ob sich daselbst nicht dieser Begriff sammt seinem angemessenen Ausdrucke vorfinde; und wenn der alte Gebrauch desselben durch Unbehutsamkeit seiner Urheber auch etwas schwankend geworden wäre, so ist es doch besser, die Bedeutung, die ihm vorzüglich eigen war, zu befestigen (sollte es auch zweifelhaft bleiben, ob man damals genau eben dieselbe im Sinne gehabt habe), als sein Geschäfte nur dadurch zu verderben, daß man sich unverständlich machte.",2
3.540,"Bei dem großen Reichthum unserer Sprachen findet sich doch oft der denkende Kopf wegen des Ausdrucks verlegen, der seinem Begriffe genau anpaßt, und in dessen Ermangelung er weder andern, noch sogar sich selbst recht verständlich werden kann. Neue Wörter zu schmieden, ist eine Anmaßung zum Gesetzgeben in Sprachen, die selten gelingt, und ehe man zu diesem verzweifelten Mittel schreitet, ist es rathsam, sich in einer todten und gelehrten Sprache umzusehen, ob sich daselbst nicht dieser Begriff sammt seinem angemessenen Ausdrucke vorfinde; und wenn der alte Gebrauch desselben durch Unbehutsamkeit seiner Urheber auch etwas schwankend geworden wäre, so ist es doch besser, die Bedeutung, die ihm vorzüglich eigen war, zu befestigen (sollte es auch zweifelhaft bleiben, ob man damals genau eben dieselbe im Sinne gehabt habe), als sein Geschäfte nur dadurch zu verderben, daß man sich unverständlich machte.",2
3.975,Anhang zur transscendentalen Dialektik.,0
9.435,"Die logischen Verstandes-Actus, wodurch Begriffe ihrer Form nach erzeugt werden, sind:",0
4.1142,Lehrsatz.,0
3.429,Lehrsatz.,0
4.1174,Zusatz.,0
4.1282,Zusatz.,0
4.1223,Zusatz.,0
4.1241,Zusatz.,0
4.25,Inhalt.,0
9.2070,Tunquin,0
2.102,1762,0
9.2127,Ceylon,0
6.919,Einleitung.,0
3.26,Einleitung.,0
3.507,Einleitung.,0
4.426,Einleitung.,0
2.522,Einleitung.,0
9.17,Einleitung.,0
7.35,Einleitung.,0
7.663,Eintheilung der Leidenschaften.,0
2.54,Von der Trägheitskraft.,0
7.379,Von der Einbildungskraft.,0
6.370,Eintheilung der Rechtslehre.,0
7.608,Von der Üppigkeit.,0
9.1789,c . Der Hai oder Seewolf.,0
4.922,Vorrede.,0
4.8,Vorrede.,0
1.8,Vorrede.,0
1.626,Vorrede.,0
4.1090,Vorrede.,0
9.2,Vorrede.,0
7.4,Vorrede.,0
5.3,Vorrede.,0
9.981,Abhandlung der physischen Geographie.,0
9.1840,Sechstes Hauptstück. Einige merkwürdige Insekten und darunter:,0
4.513,Kritik des zweiten Paralogisms der transscendentalen Psychologie.,0
7.690,Von dem höchsten physischen Gut.,0
4.532,Kritik des dritten Paralogisms der transscendentalen Psychologie.,0
4.156,Übergang zur transscendentalen Deduction der Kategorien.,0
4.542,Kritik des vierten Paralogisms der transscendentalen Psychologie.,0
6.917,Der ethischen Elementarlehre,0
6.1051,Der ethischen Elementarlehre,0
1.865,INSTITUTI RATIO.,0
