ID,Absatz,Welche Aufgaben hat der Bundeskanzler aktuell außer Deutschland zu repräsentieren?
2.24,"Siebentes Hauptstück. Geschichte der großen Veränderungen, die die Erde ehedem erlitten hat.",0
9.983,Wir gehen jetzt zur Abhandlung der physischen Geographie selbst über und theilen sie ab:,0
6.1113,Zweiter Abschnitt. Von den Tugendpflichten gegen andere Menschen aus der ihnen gebührenden Achtung.,0
9.2440,"Der Begriff von Gott dürfte am besten zuerst analogisch mit dem des Vaters, unter dessen Pflege wir sind, deutlich gemacht werden, wobei sich dann sehr vorteilhaft auf die Einigkeit der Menschen als in einer Familie hinweisen läßt.",0
9.612,"Das allgemeine Princip, worauf die Gültigkeit alles Schließens durch die Vernunft beruht, läßt sich in folgender Formel bestimmt ausdrücken:",0
9.1514,"dem festen Lande. Ja seit vierzig Jahren hat sich das Meer eine halbe Meile weit von der Stadt Rosette zurückgezogen. Nun kann man deutlich sehen, daß alles Land von Unterägypten ein Geschöpf des Nils sei.",0
9.661,"Unter Figuren sind diejenigen vier Arten zu schließen zu verstehen, deren Unterschied durch die besondre Stellung der Prämissen und ihrer Begriffe bestimmt wird.",0
2.231,"Zweite Abtheilung von dem weitläuftigen Nutzen, der dieser Beweisart besonders eigen ist.",0
9.2175,"Von dem Versuche, aus dem nordischen Eismeere eine Durchfahrt nach Indien zu suchen.",0
9.819,"Was nun insbesondre noch die Methode selbst bei Bearbeitung und Behandlung wissenschaftlicher Erkenntnisse betrifft: so giebt es verschiedene Hauptarten derselben, die wir nach folgender Eintheilung hier angeben können.",0
5.81,Praktische materiale Bestimmungsgründe im Princip der Sittlichkeit sind,0
8.515,Zweiter Definitivartikel zum ewigen Frieden. Das Völkerrecht soll auf einen Föderalism freier Staaten gegründet sein.,6
9.1246,Bei der natürlichen Anlage des festen Landes sind drei Stücke vornehmlich zu merken:,0
7.795,Das weibliche Geschlecht muß sich im Praktischen selbst ausbilden und discipliniren; das männliche versteht sich darauf nicht. Der junge Ehemann herrscht über seine ältere Ehefrau. Dieses,0
8.510,Erster Definitivartikel zum ewigen Frieden. Die bürgerliche Verfassung in jedem Staate soll republikanisch sein.,6
8.522,"Dritter Definitivartikel zum ewigen Frieden. ""Das Weltbürgerrecht soll auf Bedingungen der allgemeinen Hospitalität eingeschränkt sein.""",0
9.696,Das Princip der disjunctiven Vernunftschlüsse ist der Grundsatz des ausschließenden Dritten:,0
2.348,"Dritte Abtheilung, Worin dargethan wird: daß außer dem ausgeführten Beweisgrunde kein anderer zu einer Demonstration vom Dasein Gottes möglich sei.",0
9.2298,"Bei der Erziehung muß der Mensch also 1) disciplinirt werden. Discipliniren heißt suchen zu verhüten, daß die Thierheit nicht der Menschheit in dem einzelnen sowohl als gesellschaftlichen Menschen zum Schaden gereiche. Disciplin ist also blos Bezähmung der Wildheit.",0
6.380,Das angeborne Mein und Dein kann auch das innere ( meum vel tuum internum ) genannt werden; denn das äußere muß jederzeit erworben werden.,0
8.293,Was soll man hier an Herrn Eberhard bezweifeln: die Einsicht oder die Aufrichtigkeit?,0
7.143,1. Was will man hier wissen?,0
4.644,Prolegomena. Allgemeine Frage: Wie ist Erkenntniß aus reiner Vernunft möglich?,0
6.1180,"1. L. Was ist dein größtes, ja dein ganzes Verlangen im Leben? S. 0. - L. Daß es dir Alles und immer nach Wunsch und Willen gehe.",0
5.883,"Nun fragt sich: Welche Stelle gebührt der Teleologie? Gehört sie zur (eigentlich sogenannten) Naturwissenschaft, oder zur Theologie? Eins von beiden muß sein; denn zum Übergange aus einer in die andere kann gar keine Wissenschaft gehören, weil dieser nur die Articulation oder Organisation des Systems und keinen Platz in demselben bedeutet.",0
7.178,9. Welchen Ertrag wird der Fortschritt zum Besseren dem Menschengeschlecht abwerfen?,0
4.765,§ 36. Wie ist Natur selbst möglich?,0
6.133,"Der Wunsch aller Wohlgesinnten ist also: ""daß das Reich Gottes komme, daß sein Wille auf Erden geschehe""; aber was haben sie nun zu veranstalten, damit dieses mit ihnen geschehe?",0
3.1160,1. Was kann ich wissen? 2. Was soll ich thun? 3. Was darf ich hoffen?,0
3.224,§ 18. Was objective Einheit des Selbstbewußtseins sei.,0
6.922,§ 2. Es giebt doch Pflichten des Menschen gegen sich selbst.,0
8.503,"5. ""Kein Staat soll sich in die Verfassung und Regierung eines andern Staats gewaltthätig einmischen.""",6
6.1006,"Erster Abschnitt. Von der Pflicht des Menschen gegen sich selbst, als den angebornen Richter über sich selbst.",0
6.1054,Erster Abschnitt. Von der Liebespflicht gegen andere Menschen.,0
7.493,"Der Klerus hält den Laiker strenge und beständig in seiner Unmündigkeit. Das Volk hat keine Stimme und kein Urtheil in Ansehung des Weges, den es zum Himmelreich zu nehmen hat. Es bedarf nicht eigener Augen des Menschen, um dahin zu gelangen; man wird ihn schon leiten, und wenn ihm gleich heilige Schriften in die Hände gegeben werden, um mit eigenen Augen zu sehen, so wird er doch zugleich von seinen Leitern gewarnt, ""nichts anders darin zu finden, als was diese darin zu finden versichern"", und überall ist mechanische Handhabung der Menschen unter dem Regiment Anderer das sicherste Mittel zu Befolgung einer gesetzlichen Ordnung.",0
6.155,"Vernunftreligion und Schriftgelehrsamkeit sind also die eigentlichen berufenen Ausleger und Depositäre einer heiligen Urkunde. Es fällt in die Augen, daß diese an öffentlichem Gebrauche ihrer Einsichten und Entdeckungen in diesem Felde vom weltlichen Arm schlechterdings nicht können gehindert und an gewisse Glaubenssätze gebunden werden: weil sonst Laien die Kleriker nöthigen würden, in ihre Meinung einzutreten, die jene doch nur von dieser ihrer Belehrung her haben. Wenn der Staat nur dafür sorgt, daß es nicht an Gelehrten und ihrer Moralität nach im guten Rufe stehenden Männern fehle, welche das Ganze des Kirchenwesens verwalten, deren Gewissen er diese Besorgung anvertraut, so hat er alles gethan, was seine Pflicht und Befugnis mit sich bringen. Diese selbst aber in die Schule zu führen und sich mit ihren Streitigkeiten zu befassen (die, wenn sie nur nicht von Kanzeln geführt werden, das Kirchenpublicum im völligen Frieden lassen), ist eine Zumuthung, die das Publicum an den Gesetzgeber nicht ohne Unbescheidenheit thun kann, weil sie unter seiner Würde ist.",0
9.2425,"Viele haben den Abschnitt der Moral, der die Lehre von den Pflichten gegen sich selbst enthält, ganz übersehen oder falsch erklärt, wie Crugott. Die Pflicht gegen sich selbst aber besteht, wie gesagt, darin, daß der Mensch die Würde der Menschheit in seiner eignen Person bewahre. Er tadelt sich, wenn er die Idee der Menschheit vor Augen hat. Er hat ein Original in seiner Idee, mit dem er sich vergleicht. Wenn die Zahl der Jahre anwächst, wenn die Neigung zum Geschlechte sich zu regen beginnt, dann ist der kritische Zeitpunkt, in dem die Würde des Menschen allein im Stande ist, den Jüngling in Schranken zu halten. Frühe muß man aber dem Jünglinge Winke geben, wie er sich vor diesem oder jenem zu bewahren habe. *)",0
7.6,"König Friedrich Wilhelm II. , ein tapferer, redlicher, menschenliebender und - von gewissen Temperamentseigenschaften abgesehen durchaus vortrefflicher Herr, der auch mich persönlich kannte und von Zeit zu Zeit Äußerungen seiner Gnade an mich gelangen ließ, hatte auf Anregung eines Geistlichen, nachmals zum Minister im geistlichen Departement erhobenen Mannes, dem man billigerweise auch keine andere, als auf seine innere Überzeugung sich gründende gut gemeinte Absichten unterzulegen Ursache hat, -im Jahr 1788 ein Religionsedict, bald nachher ein die Schriftstellerei überhaupt sehr einschränkendes, mithin auch jenes mit schärfendes Censuredict ergehen lassen. Man kann nicht in Abrede ziehen: daß gewisse Vorzeichen, die der Explosion, welche nachher erfolgte, vorhergingen, der Regierung die Nothwendigkeit einer Reform in jenem Fache anräthig machen mußten; welches auf dem stillen Wege des akademischen Unterrichts künftiger öffentlicher Volkslehrer zu erreichen war: denn diese hatten als junge Geistliche ihren Kanzelvortrag auf solchen Ton gestimmt, daß, wer Scherz versteht, sich durch solche Lehrer eben nicht wird bekehren lassen.",6
9.2237,Frankreich.,0
8.39,"Die Natur hat gewollt: daß der Mensch alles, was über die mechanische Anordnung seines thierischen Daseins geht, gänzlich aus sich selbst herausbringe und keiner anderen Glückseligkeit oder Vollkommenheit theilhaftig werde, als die er sich selbst frei von Instinct, durch eigene Vernunft, verschafft hat. Die Natur thut nämlich nichts überflüssig und ist im Gebrauche der Mittel zu ihren Zwecken nicht verschwenderisch. Da sie dem Menschen Vernunft und darauf sich gründende Freiheit des Willens gab, so war das schon eine klare Anzeige ihrer Absicht in Ansehung seiner Ausstattung. Er sollte nämlich nun nicht durch Instinct geleitet, oder durch anerschaffene Kenntniß versorgt und unterrichtet sein; er sollte vielmehr alles aus sich selbst herausbringen. Die Erfindung seiner Nahrungsmittel, seiner Bedeckung, seiner äußeren Sicherheit und Vertheidigung (wozu sie ihm weder die Hörner des Stiers, noch die Klauen des Löwen, noch das Gebiß des Hundes, sondern bloß Hände gab), alle Ergötzlichkeit, die das Leben angenehm machen kann, selbst seine Einsicht und Klugheit und sogar die Gutartigkeit seines Willens sollten gänzlich sein eigen Werk sein. Sie scheint sich hier in ihrer größten Sparsamkeit selbst gefallen zu haben und ihre thierische Ausstattung so knapp, so genau auf das höchste Bedürfniß einer anfänglichen Existenz abgemessen zu haben, als wollte sie: der Mensch sollte, wenn er sich aus der größten Rohigkeit dereinst zur größten Geschicklichkeit, innerer Vollkommenheit der Denkungsart und (so viel es auf Erden möglich ist) dadurch zur Glückseligkeit empor gearbeitet haben würde, hievon das Verdienst ganz allein haben und es sich selbst nur verdanken dürfen; gleich als habe sie es mehr auf seine vernünftige Selbstschätzung, als auf ein Wohlbefinden angelegt. Denn in diesem Gange der menschlichen Angelegenheit ist ein ganzes Heer von Mühseligkeiten, die den Menschen erwarten. Es scheint aber der Natur darum gar nicht zu thun gewesen zu sein, da er wohl lebe; sondern daß er sich so weit hervorarbeite, um sich durch sein Verhalten des Lebens und des Wohlbefindens würdig zu machen. Befremdend bleibt es immer hiebei: daß die ältern Generationen nur scheinen um der späteren Willen ihr mühseliges Geschäfte zu treiben, um nämlich diesen eine Stufe zu bereiten, von der diese das Bauwerk, welches die Natur zur Absicht hat, höher bringen könnten; und daß doch nur die spätesten das Glück haben sollen, in dem Gebäude zu wohnen, woran eine lange Reihe ihrer Vorfahren (zwar freilich ohne ihre Absicht) gearbeitet hatten, ohne doch selbst an dem Glück, das sie vorbereiteten, Antheil nehmen zu können. Allein so räthselhaft dieses auch ist, so nothwendig ist es doch zugleich, wenn man einmal annimmt: eine Thiergattung soll Vernunft haben und als Klasse vernünftiger Wesen, die insgesammt sterben, deren Gattung aber unsterblich ist, dennoch zu einer Vollständigkeit der Entwickelung ihrer Anlagen gelangen.",0
8.54,Beantwortung der Frage: Was ist Aufklärung?,0
1.7,"Königsberg, den 22. April 1747. Ew. Hochedelgebornen verpflichtetester Diener Immanuel Kant.",0
2.677,"Der berühmte Leibniz besaß viel wirkliche Einsichten, wodurch er die Wissenschaften bereicherte, aber noch viel größere Entwürfe zu solchen, deren Ausführung die Welt von ihm vergebens erwartet hat. Ob die Ursache darin zu setzen: daß ihm seine Versuche noch zu unvollendet schienen, eine Bedenklichkeit, welche verdienstvollen Männern eigen ist und die der Gelehrsamkeit jederzeit viel schätzbare Fragmente entzogen hat, oder ob es ihm gegangen ist, wie Boerhaave von großen Chemisten vermuthet, daß sie öfters Kunststücke vorgaben, als wenn sie im Besitze derselben wären, da sie eigentlich nur in der Überredung und dem Zutrauen zu ihrer Geschicklichkeit standen, daß ihnen die Ausführung derselben nicht mißlingen könnte, wenn sie einmal dieselbe übernehmen wollten, das will ich hier nicht entscheiden. Zum wenigsten hat es den Anschein, daß eine gewisse mathematische Disciplin, welche er zum voraus Analysin situs betitelte und deren Verlust unter andern Büffon bei Erwägung der Zusammenfaltungen der Natur in den Keimen bedauert hat, wohl niemals etwas mehr als ein Gedankending gewesen sei. Ich weiß nicht genau, in wie fern der Gegenstand, den ich mir hier zur Betrachtung vorsetze, demjenigen verwandt sei, den der gedachte große Mann im Sinne hatte; allein nach der Wortbedeutung zu urtheilen, suche ich hier philosophisch den ersten Grund der Möglichkeit desjenigen, wovon er die Größen mathematisch zu bestimmen vorhabens war. Denn die Lagen der Theile des Raums in Beziehung auf einander setzen die Gegend voraus, nach welcher sie in solchem Verhältniß geordnet sind, und im abgezogensten Verstande besteht die Gegend nicht in der Beziehung eines Dinges im Raume auf das andere, welches eigentlich der Begriff der Lage ist, sondern in dem Verhältnisse des Systems dieser Lagen zu dem absoluten Weltraume. Bei allem Ausgedehnten ist die Lage seiner Theile gegen einander aus ihm selbst hinreichend zu erkennen, die Gegend aber, wohin diese Ordnung der Theile gerichtet ist, bezieht sich auf den Raum außer demselben und zwar nicht auf dessen Orter, weil dieses nichts anders sein würde, als die Lage eben derselben Theile in einem äußeren Verhältniß, sondern auf den allgemeinen Raum als eine Einheit, wovon jede Ausdehnung wie ein Theil angesehen werden muß. Es ist kein Wunder, wenn der Leser diese Begriffe noch sehr unverständlich findet, die sich auch allererst im Fortgange aufklären sollen, ich setze daher nichts weiter hinzu, als daß mein Zweck in dieser Abhandlung sei, zu versuchen, ob nicht in den anschauenden Urtheilen der Ausdehnung, dergleichen die Meßkunst enthält, ein evidenter Beweis zu finden sei: daß der absolute Raum unabhängig von dem Dasein aller Materie und selbst als der erste Grund der Möglichkeit ihrer Zusammensetzung eine eigene Realität habe. Jedermann weiß, wie vergeblich die Bemühungen der Philosophen gewesen sind, diesen Punkt vermittelst der abgezogensten Urtheile der Metaphysik einmal außer allen Streit zu setzen, und ich kenne keinen Versuch dieses gleichsam a posteriori auszuführen (nämlich vermittelst anderer unleugbaren Sätze, die selbst zwar außer dem Bezirke der Metaphysik liegen, aber doch durch deren Anwendung in concreto einen Probirstein von ihrer Richtigkeit abgeben können), als die Abhandlung des berühmten Eulers des Ältern in der Historie der K. Akad. d. W. zu Berl. vom Jahr 1748, die dennoch ihren Zweck nicht völlig erreicht, weil sie nur die Schwierigkeiten zeigt, den allgemeinsten Bewegungsgesetzen eine bestimmte Bedeutung zu geben, wenn man keinen andern Begriff des Raumes annimmt als denjenigen, der aus der Abstraction von dem Verhältniß wirklicher Dinge entspringt, allein die nicht mindere Schwierigkeiten unberührt läßt, welche bei der Anwendung gedachter Gesetze übrig bleiben, wenn man sie nach dem Begriffe des absoluten Raumes in concreto vorstellen will. Der Beweis, den ich hier suche, soll nicht den Mechanikern, wie Herr Euler zur Absicht hatte, sondern selbst den Meßkünstlern einen überzeugenden Grund an die Hand geben, mit der ihnen gewöhnlichen Evidenz die Wirklichkeit ihres absoluten Raumes behaupten zu können. Ich mache dazu folgende Vorbereitung.",0
9.1219,"Da wir indessen bemerken, daß die Menschen mehr und stärker von Thieren als von Pflanzen ernährt werden, und also vornehmlich die Thiere zu ihrer Nahrung erschaffen zu sein scheinen: so wird es wahrscheinlich, daß die Rauhigkeit der Kälte (insofern diese wie die Wärme ihre Pole hat und sich um selbige herumzubewegen scheint, wodurch nach einer gewissen Zeit das Klima verändert wird, da z. B. die beiden Punkte der größten Kälte nicht auf einer Stelle bleiben) den Menschen nicht verhindert, auch diese und die verschiedenartigsten Gegenden zu bewohnen, indem er allenthalben seine Nahrung findet, wie denn die Rennthiere in den allerkältesten Gegenden, in Novajazembla und Spitzbergen, sein und leben können. Der Mensch ist folglich für die ganze Erde gemacht, und eben daraus, daß sein Leib von der Natur so gebildet ist, daß er durch die Gewohnheit eines jeden Klimas, auch bei der größten Verschiedenheit desselben, gewohnt werden kann, entsteht vielleicht zum Theil der verschiedene Nationalcharakter.",0
7.193,"Sie heißt ihm ""die Kunst das menschliche Leben zu verlängern.""",0
9.120,"Die wichtigste Epoche der griechischen Philosophie hebt endlich mit dem Sokrates an. Denn er war es, welcher dem philosophischen Geiste und allen speculativen Köpfen eine ganz neue praktische Richtung gab. Auch ist er fast unter allen Menschen der einzige gewesen, dessen Verhalten der Idee eines Weisen am nächsten kommt.",0
3.8,Königsberg den 23sten April 1787. Ew. Excellenz unterthänig-gehorsamster Diener Immanuel Kant.,0
8.672,"Zweiter Brief. An Herrn Friedrich Nicolai, den Verleger.",0
9.2078,"Sie sind auch voll von Ceremonien. Exempel, wie sie den Brief ihres Königes an den König von Frankreich nicht in der untersten Etage logiren wollten.",0
4.7,Königsberg den 29sten März 1781. Ew. Excellenz unterthänig-gehorsamster Diener Immanuel Kant.,0
6.526,Des Rechts der häuslichen Gesellschaft zweiter Titel: Das Elternrecht.,0
2.101,"Königsberg, Den 6. Jun. 1760. Ew. Gnaden gehorsamster Diener I. Kant.",0
6.199,"Viertes Stück. Vom Dienst und Afterdienst unter der Herrschaft des guten Princips, oder Von Religion und Pfaffenthum.",0
7.141,Zweiter Abschnitt. Der Streit der philosophischen Facultät mit der juristischen.,0
6.834,VIII. Exposition der Tugendpflichten als weiter Pflichten.,0
8.402,II. Vom Verhältniß der Theorie zur Praxis im Staatsrecht. (Gegen Hobbes.),6
6.1065,Von der Liebespflicht insbesondere. § 26.,0
6.918,Erster Theil. Von den Pflichten gegen sich selbst überhaupt.,0
8.508,"Zweiter Abschnitt, Welcher die Definitivartikel zum ewigen Frieden unter Staaten enthält.",6
6.674,Von dem rechtlichen Verhältnisse des Bürgers zum Vaterlande und zum Auslande.,6
6.755,6. Vom Recht der Ersitzung.,0
7.181,10. in welcher Ordnung allein kann der Fortschritt zum Besseren erwartet werden?,0
7.807,"Auf diese Weise werden die zwei civilisirtesten Völker auf Erden **) , die gegen einander im Contrast des Charakters und vielleicht hauptsächlich darum mit einander in beständiger Fehde sind, England und Frankreich, auch ihrem angebornen Charakter nach, von dem der erworbene und künstliche nur die Folge ist, vielleicht die einzigen Völker sein, von denen man einen bestimmten und, so lange sie nicht durch Kriegsgewalt vermischt werden, unveränderlichen Charakter annehmen kann. Daß die französische Sprache die allgemeine Conversations-Sprache vornehmlich der weiblichen feinen Welt, die englische aber die ausgebreiteteste Handels-Sprache *) der commercirenden geworden ist, liegt wohl in dem Unterschiede ihrer continental- und insularischen Lage. Was aber ihr Naturell, was sie jetzt wirklich haben, und dessen Ausbildung durch Sprache betrifft, so müßte dieses von dem angebornen Charakter des Urvolks ihrer Abstammung hergeleitet werden; dazu uns aber die Documente mangeln. - In einer Anthropologie in pragmatischer Hinsicht aber liegt uns nur daran: den Charakter beider, wie sie jetzt sind, in einigen Beispielen, und so weit es möglich ist, systematisch aufzustellen; welche urtheilen lassen, wessen sich das eine zu dem anderen zu versehen habe, und wie eines das andere zu seinem Vortheil benutzen könne.",6
