ID,Absatz,"Autonomie, Dualismus von Natur und Freiheit"
5.796,§ 67. Vom Princip der teleologischen Beurtheilung der Natur überhaupt als System der Zwecke.,
6.840,"2. Fremde Glückseligkeit als Zweck, der zugleich Pflicht ist.",
5.20,Einleitung. Von der Idee einer Kritik der praktischen Vernunft.,
5.820,Gegensatz: Einige Erzeugung derselben ist nach bloß mechanischen Gesetzen nicht möglich.,
8.534,Zweiter Zusatz. Geheimer Artikel zum ewigen Frieden.,
2.14,Drittes Hauptstück. Geschichte der Quellen und Brunnen.,
2.287,Sechste Betrachtung. Verbesserte Methode der Physikotheologie.,
5.632,§ 47. Erläuterung und Bestätigung obiger Erklärung vom Genie.,
7.305,Rechtfertigung der Sinnlichkeit wider die Dritte Anklage.,
2.552,Dritte Betrachtung. Von der Natur der metaphysischen Gewißheit.,
9.640,"Das Princip, worauf die Möglichkeit und Gültigkeit aller kategorischen Vernunftschlüsse beruht, ist dieses:",
9.26,"Als eine Wissenschaft, die auf alles Denken überhaupt geht, unangesehen der Objecte als der Materie des Denkens ist die Logik",
3.273,Der Transscendentalen Doctrin der Urtheilskraft (oder Analytik der Grundsätze),
3.295,Der Transscendentalen Doctrin der Urtheilskraft (oder Analytik der Grundsätze),
4.245,Der Transscendentalen Doctrin der Urtheilskraft (oder Analytik der Grundsätze),
4.224,Der Transscendentalen Doctrin der Urtheilskraft (oder Analytik der Grundsätze),
4.368,Der Transscendentalen Doctrin der Urtheilskraft (Analytik der Grundsätze),
4.721,1. Der Quantität nach Einheit (das Maß) Vielheit (die Größe) Allheit (das Ganze) 2. Der Qualität Realität Negation Einschränkung 3. Der Relation Substanz Ursache Gemeinschaft 4. Der Modalität Möglichkeit Dasein Notwendigkeit,
9.397,"Und etwas muß doch auch in jeder Hypothese apodiktisch gewiß sein, nämlich",
9.1659,3. Das surinamische Hirschchen,
9.1800,"Der Meermensch, Meerjungfer",
9.2120,Die Inseln Nicobar und Andaman,
9.1760,a . Die Flußotter,
7.521,Von den Talenten im Erkenntnißvermögen.,
9.1326,"4. Ratten und Mäuse, wie auch",
9.1675,D. Vierklauichte Thiere.,
9.672,§. 72. Regel der dritten Figur.,
9.1840,Sechstes Hauptstück. Einige merkwürdige Insekten und darunter:,
2.45,Neue Begriffe der Bewegung und Ruhe.,
8.540,I. Über die Mißhelligkeit zwischen der Moral und der Politik in Absicht auf den ewigen Frieden.,
8.522,"Dritter Definitivartikel zum ewigen Frieden. ""Das Weltbürgerrecht soll auf Bedingungen der allgemeinen Hospitalität eingeschränkt sein.""",
4.1037,Die Heteronomie des Willens als der Quell aller unächten Principien der Sittlichkeit.,
7.851,A. Gesetz und Freiheit ohne Gewalt (Anarchie). B. Gesetz und Gewalt ohne Freiheit (Despotism).,
6.1197,Die Religionslehre als Lehre der Pflichten gegen Gott liegt außerhalb der Grenzen der reinen Moralphilosophie.,
3.964,"Die natürliche Theologie schließt auf die Eigenschaften und das Dasein eines Welturhebers aus der Beschaffenheit, der Ordnung und Einheit, die in dieser Welt angetroffen wird, in welcher zweierlei Causalität und deren Regel angenommen werden muß, nämlich Natur und Freiheit. Daher steigt sie von dieser Welt zur höchsten Intelligenz auf, entweder als dem Princip aller natürlichen, oder aller sittlichen Ordnung und Vollkommenheit. Im ersteren Falle heißt sie Physikotheologie, im letzten Moraltheologie *) .",
6.835,"1. Eigene Vollkommenheit als Zweck, der zugleich Pflicht ist.",
8.561,II. Von der Einhelligkeit der Politik mit der Moral nach dem transscendentalen Begriffe des öffentlichen Rechts.,
6.390,"Da in der Lehre von den Pflichten der Mensch nach der Eigenschaft seines Freiheitsvermögens, welches ganz übersinnlich ist, also auch bloß nach seiner Menschheit, als von physischen Bestimmungen unabhängiger Persönlichkeit, ( homo noumenon ) vorgestellt werden kann und soll, zum Unterschiede von eben demselben, aber als mit jenen Bestimmungen behafteten Subject, dem Menschen ( homo phaenomenon ), so werden Recht und Zweck, wiederum in dieser zwiefachen Eigenschaft auf die Pflicht bezogen, folgende Eintheilung geben.",
2.246,Zweite Betrachtung. Unterscheidung der Abhängigkeit aller Dinge von Gott in die moralische und unmoralische.,
6.314,"Der Begriff der Freiheit ist ein reiner Vernunftbegriff, der eben darum für die theoretische Philosophie transscendent, d. i. ein solcher ist, dem kein angemessenes Beispiel in irgend einer möglichen Erfahrung gegeben werden kann, welcher also keinen Gegenstand einer uns möglichen theoretischen Erkenntniß ausmacht und schlechterdings nicht für ein constitutives, sondern lediglich als regulatives und zwar nur bloß negatives Princip der speculativen Vernunft gelten kann, im praktischen Gebrauch derselben aber seine Realität durch praktische Grundsätze beweiset, die als Gesetze eine Causalität der reinen Vernunft, unabhängig von allen empirischen Bedingungen (dem Sinnlichen überhaupt) die Willkür zu bestimmen, und einen reinen Willen in uns beweisen, in welchem die sittlichen Begriffe und Gesetze ihren Ursprung haben.",
4.1080,"Denn wir können nichts erklären, als was wir auf Gesetze zurückführen können, deren Gegenstand in irgend einer möglichen Erfahrung gegeben werden kann. Freiheit aber ist eine bloße Idee, deren objective Realität auf keine Weise nach Naturgesetzen, mithin auch nicht in irgend einer möglichen Erfahrung dargethan werden kann, die also darum, weil ihr selbst niemals nach irgend einer Analogie ein Beispiel untergelegt werden mag, niemals begriffen, oder auch nur eingesehen werden kann. Sie gilt nur als nothwendige Voraussetzung der Vernunft in einem Wesen, das sich eines Willens, d. i. eines vom bloßen Begehrungsvermögen noch verschiedenen Vermögens, (nämlich sich zum Handeln als Intelligenz, mithin nach Gesetzen der Vernunft unabhängig von Naturinstincten zu bestimmen) bewußt zu sein glaubt. Wo aber Bestimmung nach Naturgesetzen aufhört, da hört auch alle Erklärung auf, und es bleibt nichts übrig als Vertheidigung, d. i. Abtreibung der Einwürfe derer, die tiefer in das Wesen der Dinge geschaut zu haben vorgeben und darum die Freiheit dreust für unmöglich erklären. Man kann ihnen nur zeigen, daß der vermeintlich von ihnen darin entdeckte Widerspruch nirgend anders liege als darin, daß, da sie, um das Naturgesetz in Ansehung menschlicher Handlungen geltend zu machen, den Menschen nothwendig als Erscheinung betrachten mußten und nun, da man von ihnen fordert, daß sie ihn als Intelligenz auch als Ding an sich selbst denken sollten, sie ihn immer auch da noch als Erscheinung betrachten, wo denn freilich die Absonderung seiner Causalität (d. i. seines Willens) von allen Naturgesetzen der Sinnenwelt in einem und demselben Subjecte im Widerspruche stehen würde, welcher aber wegfällt, wenn sie sich besinnen und wie billig eingestehen wollten, daß hinter den Erscheinungen doch die Sachen an sich selbst (obzwar verborgen) zum Grunde liegen müssen, von deren Wirkungsgesetzen man nicht verlangen kann, daß sie mit denen einerlei sein sollten, unter denen ihre Erscheinungen stehen.",
4.1071,"Alle Menschen denken sich dem Willen nach als frei. Daher kommen alle Urtheile über Handlungen als solche, die hätten geschehen sollen, ob sie gleich nicht geschehen sind. Gleichwohl ist diese Freiheit kein Erfahrungsbegriff und kann es auch nicht sein, weil er immer bleibt, obgleich die Erfahrung das Gegentheil von denjenigen Forderungen zeigt, die unter Voraussetzung derselben als nothwendig vorgestellt werden. Auf der anderen Seite ist es eben so nothwendig, daß alles, was geschieht, nach Naturgesetzen unausbleiblich bestimmt sei, und diese Naturnothwendigkeit ist auch kein Erfahrungsbegriff, eben darum weil er den Begriff der Nothwendigkeit, mithin einer Erkenntniß a priori bei sich führt. Aber dieser Begriff von einer Natur wird durch Erfahrung bestätigt und muß selbst unvermeidlich vorausgesetzt werden, wenn Erfahrung, d. i. nach allgemeinen Gesetzen zusammenhängende Erkenntniß der Gegenstände der Sinne, möglich sein soll. Daher ist Freiheit nur eine Idee der Vernunft, deren objective Realität an sich zweifelhaft ist, Natur aber ein Verstandesbegriff, der seine Realität an Beispielen der Erfahrung beweiset und nothwendig beweisen muß.",
3.224,§ 18. Was objective Einheit des Selbstbewußtseins sei.,
5.6,"Der Begriff der Freiheit, so fern dessen Realität durch ein apodiktisches Gesetz der praktischen Vernunft bewiesen ist, macht nun den Schlußstein von dem ganzen Gebäude eines Systems der reinen, selbst der speculativen Vernunft aus, und alle andere Begriffe (die von Gott und Unsterblichkeit), welche als bloße Ideen in dieser ohne Haltung bleiben, schließen sich nun an ihn an und bekommen mit ihm und durch ihn Bestand und objective Realität, d. i. die Möglichkeit derselben wird dadurch bewiesen, daß Freiheit wirklich ist; denn diese Idee offenbart sich durchs moralische Gesetz.",
9.2051,Sitten und Charakter der Nation.,
7.666,A. Von der Freiheitsneigung als Leidenschaft.,
7.852,C. Gewalt ohne Freiheit und Gesetz (Barbarei). D. Gewalt mit Freiheit und Gesetz (Republik).,
6.890,Anmerkung. Von der Tugendlehre nach dem Princip der inneren Freiheit.,
5.790,§ 66. Vom Princip der Beurtheilung der innern Zweckmäßigkeit in organisirten Wesen.,
5.803,§ 68. Von dem Princip der Teleologie als innerem Princip der Naturwissenschaft.,
4.1039,Eintheilung aller möglichen Principien der Sittlichkeit aus dem angenommenen Grundbegriffe der Heteronomie.,
6.686,"Alle wahre Republik aber ist und kann nichts anders sein, als ein repräsentatives System des Volks, um im Namen desselben, durch alle Staatsbürger vereinigt, vermittelst ihrer Abgeordneten (deputirten) ihre Rechte zu besorgen. Sobald aber ein Staatsoberhaupt der Person nach (es mag sein König, Adelstand, oder die ganze Volkszahl, der demokratische Verein) sich auch repräsentiren läßt, so repräsentirt das vereinigte Volk nicht bloß den Souverän, sondern es ist dieser selbst; denn in ihm (dem Volk) befindet sich ursprünglich die oberste Gewalt, von der alle Rechte der Einzelnen, als bloßer Unterthanen (allenfalls als Staatsbeamten), abgeleitet werden müssen, und die nunmehr errichtete Republik hat nun nicht mehr nöthig, die Zügel der Regierung aus den Händen zu lassen und sie denen wieder zu übergeben, die sie vorher geführt hatten, und die nun alle neue Anordnungen durch absolute Willkür wieder vernichten könnten.",
8.330,"Bei der Anarchie, welche unter dem philosophirenden Volke unvermeidlicher Weise herrscht, weil es blos ein unsichtbares Ding, die Vernunft, für seinen alleinigen Oberherrn erkennt, ist es immer eine Nothhülfe gewesen, den unruhigen Haufen um irgend einen großen Mann, als den Vereinigungspunkt, zu versammlen. Allein diesen zu verstehen, war für die, welche ihren eigenen Verstand nicht mitbrachten, oder ihn zu brauchen nicht Lust hatten, oder, ob es ihnen gleich an beidem nicht mangelte, sich doch anstellten, als ob sie den ihrigen nur von einem anderen zu Lehne trügen, eine Schwierigkeit, welche eine daurende Verfassung zu erzeugen bisher verhinderte und noch eine gute Zeit wenigstens sehr erschweren wird.",
6.1050,Also sind alle Pflichten gegen sich selbst in Ansehung des Zwecks der Menschheit in unserer eigenen Person nur unvollkommene Pflichten.,
9.1705,E. Fünfzehichte Thiere.,
7.265,Über die Förmlichkeit der egoistischen Sprache.,
6.1032,Der Pflichten gegen sich selbst,
1.795,Zugabe zum siebenten Hauptstücke. Allgemeine Theorie und Geschichte der Sonne überhaupt.,
9.485,"§. 20. Logische Formen der Urtheile: Quantität, Qualität, Relation und Modalität.",
6.370,Eintheilung der Rechtslehre.,
5.661,"Zur schönen Kunst würden also Einbildungskraft, Verstand, Geist und Geschmack erforderlich sein *) .",
2.627,"Drittes Hauptstück. Antikabbala. Ein Fragment der gemeinen Philosophie, die Gemeinschaft mit der Geisterwelt aufzuheben.",
9.2431,"Begierden der ersten Art sind Ehrsucht, Herrschsucht und Habsucht; die der zweiten Genuß des Geschlechtes (Wollust), der Sache (Wohlleben), oder der Gesellschaft (Geschmack an Unterhaltung). Begierden der dritten Art endlich sind Liebe zum Leben, zur Gesundheit, zur Gemächlichkeit (in der Zukunft, Sorgenfreiheit).",
7.97,"III. Einwürfe und Beantwortung derselben, die Grundsätze der Schriftauslegung betreffend.",
6.456,Eintheilung der Erwerbung des äußeren Mein und Dein.,
1.808,"Achtes Hauptstück. Allgemeiner Beweis von der Richtigkeit einer mechanischen Lehrverfassung, der Einrichtung des Weltbaues überhaupt, insonderheit von der Gewißheit der gegenwärtigen.",
9.2224,Der dritte Welttheil. Europa.,
7.533,C. Von der Originalität des Erkenntnißvermögens oder dem Genie.,
7.30,II. Philosophische Grundsätze der Schriftauslegung zur Beilegung des Streits.,
6.19,Der Philosophischen Religionslehre Erstes Stück.,
4.1324,Dieser Lehrsatz bestimmt die Modalität der Bewegung in Ansehung der Phoronomie.,
6.228,§ 2. Das dem Religionswahne entgegengesetzte moralische Princip der Religion.,
7.86,II. Philosophische Grundsätze der Schriftauslegung zu Beilegung des Streits.,
9.1896,b . Sehr nützliche Bäume von der Palmart.,
2.212,Vierte Betrachtung. Beweisgrund zu einer Demonstration des Daseins Gottes.,
5.727,"§ 58. Vom Idealismus der Zweckmäßigkeit der Natur sowohl als Kunst, als dem alleinigen Princip der ästhetischen Urtheilskraft.",
5.82,Subjective Objective äußere innere innere äußere Der Erziehung (nach Montaigne) Der bürgerlichen Verfassung (nach Mandeville) Des physischen Gefühls (nach Epikur) Des moralischen Gefühls (nach Hutcheson) Der Vollkommenheit (nach Wolff und den Stoikern) Des Willens Gottes (nach Crusius und andern theologischen Moralisten),
5.921,"§ 84. Von dem Endzwecke des Daseins einer Welt, d. i. der Schöpfung selbst.",
4.1029,"2) eine Materie, nämlich einen Zweck, und daß sagt die Formel: da das vernünftige Wesen als Zweck seiner Natur nach, mithin als Zweck an sich selbst jeder Maxime zur einschränkenden Bedingung aller bloß relativen und willkürlichen Zwecke dienen müsse;",
6.137,"3. Das Verhältniß unter dem Princip der Freiheit; sowohl das innere Verhältniß ihrer Glieder untereinander, als auch das äußere der Kirche zur politischen Macht, beides in einem Freistaat (also weder Hierarchie, noch Illuminatism, eine Art von Demokratie durch besondere Eingebungen, die nach jedes seinem Kopfe von andrer ihrer verschieden sein können).",
6.621,"Der Inbegriff der Gesetze, die einer allgemeinen Bekanntmachung bedürfen, um einen rechtlichen Zustand hervorzubringen, ist das öffentliche Recht. - Dieses ist also ein System von Gesetzen für ein Volk, d. i. eine Menge von Menschen, oder für eine Menge von Völkern, die, im wechselseitigen Einflusse gegen einander stehend, des rechtlichen Zustandes unter einem sie vereinigenden Willen, einer Verfassung ( constitutio ), bedürfen, um dessen, was Rechtens ist, theilhaftig zu werden. - Dieser Zustand der Einzelnen im Volke in Verhältniß untereinander heißt der bürgerliche ( status civilis ) und das Ganze derselben in Beziehung auf seine eigene Glieder der Staat ( civitas ), welcher seiner Form wegen, als verbunden durch das gemeinsame Interesse Aller, im rechtlichen Zustande zu sein, das gemeine Wesen ( res publica latius sic dicta ) genannt wird, in Verhältniß aber auf andere Völker eine Macht ( potentia ) schlechthin heißt (daher das Wort Potentaten), was sich auch wegen (anmaßlich) angeerbter Vereinigung ein Stammvolk ( gens ) nennt und so unter dem allgemeinen Begriffe des öffentlichen Rechts nicht bloß das Staats-, sondern auch ein Völkerrecht ( ius gentium ) zu denken Anla giebt: welches dann, weil der Erdboden eine nicht gränzenlose, sondern sich selbst schließende Fläche ist, beides zusammen zu der Idee eines Völkerstaatsrechts ( ius gentium ) oder des Weltbürgerrechts ( ius cosmopoliticum ) unumgänglich hinleitet: so daß, wenn unter diesen drei möglichen Formen des rechtlichen Zustandes es nur einer an dem die äußere Freiheit durch Gesetze einschränkenden Princip fehlt, das Gebäude aller übrigen unvermeidlich untergraben werden und endlich einstürzen muß.",
6.642,"Also sind es drei verschiedene Gewalten ( potestas legislatoria, executoria, iudiciaria ), wodurch der Staat ( civitas ) seine Autonomie hat, d. i. sich selbst nach Freiheitsgesetzen bildet und erhält. - In ihrer Vereinigung besteht das Heil des Staats ( salus reipublicae suprema lex est ); worunter man nicht das Wohl der Staatsbürger und ihre Glückseligkeit verstehen muß; denn die kann vielleicht (wie auch Rousseau behauptet) im Naturzustande, oder auch unter einer despotischen Regierung viel behaglicher und erwünschter ausfallen: sondern den Zustand der größten Übereinstimmung der Verfassung mit Rechtsprincipien versteht, als nach welchem zu streben uns die Vernunft durch einen kategorischen Imperativ verbindlich macht.",
3.694,"Es ist keine Freiheit, sondern alles in der Welt geschieht lediglich nach Gesetzen der Natur.",
7.177,"Die Idee einer mit dem natürlichen Rechte der Menschen zusammenstimmenden Constitution: daß nämlich die dem Gesetz Gehorchenden auch zugleich, vereinigt, gesetzgebend sein sollen, liegt bei allen Staatsformen zum Grunde, und das gemeine Wesen, welches, ihr gemäß durch reine Vernunftbegriffe gedacht, ein platonisches Ideal heißt ( respublica noumenon ), ist nicht ein leeres Hirngespinnst, sondern die ewige Norm für alle bürgerliche Verfassung überhaupt und entfernt allen Krieg. Eine dieser gemäß organisirte bürgerliche Gesellschaft ist die Darstellung derselben nach Freiheitsgesetzen durch ein Beispiel in der Erfahrung ( respublica phaenomenon ) und kann nur nach mannigfaltigen Befehdungen und Kriegen mühsam erworben werden; ihre Verfassung aber, wenn sie im Großen einmal errungen worden, qualificirt sich zur besten unter allen, um den Krieg, den Zerstörer alles Guten, entfernt zu halten; mithin ist es Pflicht in eine solche einzutreten, vorläufig aber (weil jenes nicht so bald zu Stande kommt) Pflicht der Monarchen, ob sie gleich autokratisch herrschen, dennoch republicanisch (nicht demokratisch) zu regieren, d. i. das Volk nach Principien zu behandeln, die dem Geist der Freiheitsgesetze (wie ein Volk mit reifer Vernunft sie sich selbst vorschreiben würde) gemäß sind, wenn gleich dem Buchstaben nach es um seine Einwilligung nicht befragt würde.",
6.725,"Dieser Vernunftidee einer friedlichen, wenn gleich noch nicht freundschaftlichen, durchgängigen Gemeinschaft aller Völker auf Erden, die untereinander in wirksame Verhältnisse kommen können, ist nicht etwa philanthropisch (ethisch), sondern ein rechtliches Princip. Die Natur hat sie alle zusammen (vermöge der Kugelgestalt ihres Aufenthalts, als globus terraqueus ) in bestimmte Grenzen eingeschlossen; und da der Besitz des Bodens, worauf der Erdbewohner leben kann, immer nur als Besitz von einem Theil eines bestimmten Ganzen, folglich als ein solcher, auf den jeder derselben ursprünglich ein Recht hat, gedacht werden kann: so stehen alle Völker ursprünglich in einer Gemeinschaft des Bodens, nicht aber der rechtlichen Gemeinschaft des Besitzes ( communio ) und hiemit des Gebrauchs, oder des Eigenthums an demselben, sondern der physischen möglichen Wechselwirkung ( commercium ), d. i. in einem durchgängigen Verhältnisse eines zu allen Anderen, sich zum Verkehr untereinander anzubieten, und haben ein Recht, den Versuch mit demselben zu machen, ohne daß der Auswärtige ihm darum als einem Feind zu begegnen berechtigt wäre. - Dieses Recht, so fern es auf die mögliche Vereinigung aller Völker in Absicht auf gewisse allgemeine Gesetze ihres möglichen Verkehrs geht, kann das weltbürgerliche ( ius cosmopoliticum ) genannt werden.",
6.684,"Der Geschichtsurkunde dieses Mechanismus nachzuspüren, ist vergeblich, d. i. man kann zum Zeitpunkt des Anfangs der bürgerlichen Gesellschaft nicht herauslangen (denn die Wilden errichten kein Instrument ihrer Unterwerfung unter das Gesetz, und es ist auch schon aus der Natur roher Menschen abzunehmen, daß sie es mit der Gewalt angefangen haben werden). Diese Nachforschung aber in der Absicht anzustellen, um allenfalls die jetzt bestehende Verfassung mit Gewalt abzuändern, ist sträflich. Denn diese Umänderung müßte durchs Volk, welches sich dazu rottirte, also nicht durch die Gesetzgebung, geschehen; Meuterei aber in einer schon bestehenden Verfassung ist ein Umsturz aller bürgerlich-rechtlichen Verhältnisse, mithin alles Rechts, d. i. nicht Veränderung der bürgerlichen Verfassung, sondern Auflösung derselben, und dann der Übergang in die bessere nicht Metamorphose, sondern Palingenesie, welche einen neuen gesellschaftlichen Vertrag erfordert, auf den der vorige (nun aufgehobene) keinen Einfluß hat. - Es muß aber dem Souverän doch möglich sein, die bestehende Staatsverfassung zu ändern, wenn sie mit der Idee des ursprünglichen Vertrags nicht wohl vereinbar ist, und hiebei doch diejenige Form bestehen zu lassen, die dazu, daß das Volk einen Staat ausmache, wesentlich gehört. Diese Veränderung kann nun nicht darin bestehen, daß der Staat sich von einer dieser drei Formen zu einer der beiden anderen selbst constituirt, z. B. daß die Aristokraten einig werden, sich einer Autokratie zu unterwerfen, oder in eine Demokratie verschmelzen zu wollen, und so umgekehrt; gleich als ob es auf der freien Wahl und dem Belieben des Souveräns beruhe, welcher Verfassung er das Volk unterwerfen wolle. Denn selbst dann, wenn er sich zu einer Demokratie umzüandern beschlösse, würde er doch dem Volk unrecht thun können, weil es selbst diese Verfassung verabscheuen könnte und eine der zwei übrigen für sich zuträglicher fände.",
