ID,Absatz,Welchen Einfluß hat die Sprache auf die Gedanken?
8.446,Etwas über den Einfluß des Mondes auf die Witterung.,
6.674,Von dem rechtlichen Verhältnisse des Bürgers zum Vaterlande und zum Auslande.,
7.178,9. Welchen Ertrag wird der Fortschritt zum Besseren dem Menschengeschlecht abwerfen?,
7.15,"Was das Erste, nämlich die gegen mich erhobene Anklage, betrifft, so ist meine gewissenhafte Verantwortung folgende:",
9.378,"Es giebt mehrere Ursachen, durch die das Vorurtheil des Alterthums erzeugt und unterhalten wird.",
9.2370,"Wir müssen nun aber auch einen systematischen Begriff von dem ganzen Zwecke der Erziehung und der Art, wie er zu erreichen ist, geben.",
9.61,"Was endlich die Geschichte der Logik betrifft, so wollen wir hierüber nur Folgendes anführen:",
9.58,"Aus dem, was wir über das Wesen und den Zweck der Logik bisher gesagt haben, läßt sich nunmehr der Werth dieser Wissenschaft und der Nutzen ihres Studiums nach einem richtigen und bestimmten Maaßstabe schätzen.",
1.1116,Von dem Zusammenhange der Erdbeben mit den Jahreszeiten.,
8.651,"Das πρωτον ψευδοσ proton pseudos liegt hier in dem Satze: ""Die Wahrheit zu sagen ist eine Pflicht, aber nur gegen denjenigen, welcher ein Recht auf die Wahrheit hat.""",
8.629,"Was ist Philosophie, als Lehre, die unter allen Wissenschaften das größte Bedürfniß der Menschen ausmacht?",
9.84,"Man frägt doch immer am Ende, wozu dient das Philosophiren und der Endzweck desselben die Philosophie selbst als Wissenschaft nach dem Schulbegriffe betrachtet?",
5.700,Es zeigt sich also in Ansehung des Princips des Geschmacks folgende Antinomie:,
8.346,"Die Eigenschaften der höchsten Weisheit des Welturhebers, wogegen jene Zweckwidrigkeiten als Einwürfe auftreten, sind also auch drei:",
8.293,Was soll man hier an Herrn Eberhard bezweifeln: die Einsicht oder die Aufrichtigkeit?,
4.351,"2. Was mit den materialen Bedingungen der Erfahrung (der Empfindung) zusammenhängt, ist wirklich.",
3.415,"2. Was mit den materialen Bedingungen der Erfahrung (der Empfindung) zusammenhängt, ist wirklich.",
9.404,1) Imperative und in so fern den theoretischen Erkenntnissen entgegengesetzt; oder sie enthalten,
3.1159,"Alles Interesse meiner Vernunft (das speculative sowohl, als das praktische) vereinigt sich in folgenden drei Fragen:",
6.461,§ 11. Was ist ein Sachenrecht?,
5.576,§ 37. Was wird eigentlich in einem Geschmacksurtheile von einem Gegenstande a priori behauptet?,
4.647,Wie sind synthetische Sätze a priori möglich?,
4.1066,Wie ist ein kategorischer Imperativ möglich?,
6.812,"IV. Welche sind die Zwecke, die zugleich Pflichten sind?",
4.765,§ 36. Wie ist Natur selbst möglich?,
8.187,Was heißt: Sich im Denken orientiren?,
8.54,Beantwortung der Frage: Was ist Aufklärung?,
4.644,Prolegomena. Allgemeine Frage: Wie ist Erkenntniß aus reiner Vernunft möglich?,
7.590,Der Geschmack enthält eine Tendenz zur äußeren Beförderung der Moralität.,
5.684,"In der Musik geht dieses Spiel von der Empfindung des Körpers zu ästhetischen Ideen (der Objecte für Affecten), von diesen alsdann wieder zurück, aber mit vereinigter Kraft auf den Körper. Im Scherze (der eben sowohl wie jene eher zur angenehmen, als schönen Kunst gezählt zu werden verdient) hebt das Spiel von Gedanken an, die insgesammt, sofern sie sich sinnlich ausdrücken wollen, auch den Körper beschäftigen; und indem der Verstand in dieser Darstellung, worin er das Erwartete nicht findet, plötzlich nachläßt, so fühlt man die Wirkung dieser Nachlassung im Körper durch die Schwingung der Organen, welche die Herstellung ihres Gleichgewichts befördert und auf die Gesundheit einen wohlthätigen Einfluß hat.",
9.1201,"Die Entdeckung neuer Länder erweitert die Kenntniß des Menschen in Ansehung der Erde und befördert die Gemeinschaft. Der hauptsächlichste Zweck dabei aber ist die Wißbegierde der Menschen, ungeachtet der kleinern Vortheile des Genusses, zu deren Besitz man durch dergleichen Entdeckungen gelangt. Auch sind wirklich viele Reisen bloß aus Wißbegierde, nicht aber des Princips der Ökonomie wegen angestellt worden, wie z. E. die zur Bestimmung der Gestalt der Erde unternommenen Reisen.",
7.347,"§ 21. Man kann die Empfindungen der äußern Sinne in die des mechanischen und des chemischen Einflusses eintheilen. Zu den mechanisch einfließenden gehören die drei obersten, zu denen von chemischem Einfluß die zwei niedern Sinne. Jene sind Sinne der Wahrnehmung (oberflächlich), diese des Genusses (innigste Einnehmung). - Daher kommt es, daß der Ekel, ein Anreiz, sich des Genossenen durch den kürzesten Weg des Speisecanals zu entledigen (sich zu erbrechen), als eine so starke Vitalempfindung den Menschen beigegeben worden, weil jene innigliche Einnehmung dem Thier gefährlich werden kann.",
8.86,"Das neunte beschäftigt sich mit der Abhängigkeit des Menschen von andern in der Entwickelung seiner Fähigkeiten, mit der Sprache als Mittel zur Bildung der Menschen, mit der Erfindung der Künste und Wissenschaften durch Nachahmung, Vernunft und Sprache, mit den Regierungen als festgestellten Ordnungen unter den Menschen meistens aus ererbten Traditionen: und schließt mit Bemerkungen über die Religion und die älteste Tradition.",
7.592,"§ 70. Gesittet, wohlanständig, manierlich, geschliffen (mit Abstoßung der Rauhigkeit) zu sein, ist doch nur die negative Bedingung des Geschmacks. Die Vorstellung dieser Eigenschaften in der Einbildungskraft kann eine äußerlich intuitive Vorstellungsart eines Gegenstandes oder seiner eigenen Person mit Geschmack sein, aber nur für zwei Sinne, für das Gehör und Gesicht. Musik und bildende Kunst (Malerei, Bildhauer-, Bau- und Gartenkunst) machen Ansprüche auf Geschmack als Empfänglichkeit eines Gefühls der Lust für die bloßen Formen äußerer Anschauung, erstere in Ansehung des Gehörs, die andere des Gesichts. Dagegen enthält die discursive Vorstellungsart durch laute Sprache oder durch Schrift zwei Künste, darin der Geschmack sich zeigen kann: die Beredsamkeit und Dichtkunst.",
9.132,"Ihre Verbesserung in den neueren Zeiten verdankt aber die Philosophie theils dem größeren Studium der Natur, theils der Verbindung der Mathematik mit der Naturwissenschaft. Die Ordnung, welche durch das Studium dieser Wissenschaften im Denken entstand, breitete sich auch über die besonderen Zweige und Theile der eigentlichen Weltweisheit aus. Der erste und größte Naturforscher der neuern Zeit war Baco von Verulam. Er betrat bei seinen Untersuchungen den Weg der Erfahrung und machte auf die Wichtigkeit und Unentbehrlichkeit der Beobachtungen und Versuche zur Entdeckung der Wahrheit aufmerksam. Es ist übrigens schwer zu sagen, von wo die Verbesserung der speculativen Philosophie eigentlich herkommt. Ein nicht geringes Verdienst um dieselbe erwarb sich Descartes, indem er viel dazu beitrug, dem Denken Deutlichkeit zu geben durch sein aufgestelltes Kriterium der Wahrheit, das er in die Klarheit und Evidenz der Erkenntniß setzte.",
9.861,"Das Ganze ist hier die Welt, der Schauplatz, auf dem wir alle Erfahrungen anstellen werden. Umgang mit Menschen und Reisen erweitern den Umfang aller unserer Kenntnisse. Jener Umgang lehrt uns den Menschen kennen, erfordert aber, wenn dieser Endzweck soll erreicht werden, viele Zeit. Sind wir aber schon durch Unterweisung vorbereitet: so haben wir bereits ein Ganzes, einen Inbegriff von Kenntnissen, die uns den Menschen kennen lehren. Nun sind wir im Stande, jeder gemachten Erfahrung ihre Classe und ihre Stelle in derselben anzuweisen. Durch Reisen erweitert man seine Kenntniß der äußern Welt, welches aber von wenigem Nutzen ist, wenn man nicht bereits durch Unterricht eine gewisse Vorübung erhalten hat. Wenn man demnach von diesem oder jenem sagt, er kenne die Welt: so versteht man darunter dies, daß er den Menschen und die Natur kenne.",
7.238,"Alle Fortschritte in der Cultur, wodurch der Mensch seine Schule macht, haben das Ziel, diese erworbenen Kenntnisse und Geschicklichkeiten zum Gebrauch für die Welt anzuwenden; aber der wichtigste Gegenstand in derselben, auf den er jene verwenden kann, ist der Mensch: weil er sein eigener letzter Zweck ist. - Ihn also seiner Species nach als mit Vernunft begabtes Erdwesen zu erkennen, verdient besonders Weltkenntniß genannt zu werden, ob er gleich nur einen Theil der Erdgeschöpfe ausmacht.",
1.97,"Ich finde in der Abhandlung, die Herr Bülfinger der Petersburgischen Akademie überreicht hat, eine Betrachtung, der ich mich jederzeit als einer Regel in der Untersuchung der Wahrheiten bedient habe. Wenn Männer von gutem Verstande, bei denen entweder auf keinem oder auf beiden Theilen die Vermuthung fremder Absichten zu finden ist, ganz wider einander laufende Meinungen behaupten, so ist es der Logik der Wahrscheinlichkeiten gemäß, seine Aufmerksamkeit am meisten auf einen gewissen Mittelsatz zu richten, der beiden Parteien in gewisser Maße Recht läßt.",
5.678,"Aber an dem Reize und der Gemüthsbewegung, welche die Musik hervorbringt, hat die Mathematik sicherlich nicht den mindesten Antheil; sondern sie ist nur die unumgängliche Bedingung ( conditio sine qua non ) derjenigen Proportion der Eindrücke in ihrer Verbindung sowohl als ihrem Wechsel, wodurch es möglich wird sie zusammen zu fassen und zu verhindern, daß diese einander nicht zerstören, sondern zu einer continuirlichen Bewegung und Belebung des Gemüths durch damit consonirende Affecten und hiemit zu einem behaglichen Selbstgenusse zusammenstimmen.",
9.1219,"Da wir indessen bemerken, daß die Menschen mehr und stärker von Thieren als von Pflanzen ernährt werden, und also vornehmlich die Thiere zu ihrer Nahrung erschaffen zu sein scheinen: so wird es wahrscheinlich, daß die Rauhigkeit der Kälte (insofern diese wie die Wärme ihre Pole hat und sich um selbige herumzubewegen scheint, wodurch nach einer gewissen Zeit das Klima verändert wird, da z. B. die beiden Punkte der größten Kälte nicht auf einer Stelle bleiben) den Menschen nicht verhindert, auch diese und die verschiedenartigsten Gegenden zu bewohnen, indem er allenthalben seine Nahrung findet, wie denn die Rennthiere in den allerkältesten Gegenden, in Novajazembla und Spitzbergen, sein und leben können. Der Mensch ist folglich für die ganze Erde gemacht, und eben daraus, daß sein Leib von der Natur so gebildet ist, daß er durch die Gewohnheit eines jeden Klimas, auch bei der größten Verschiedenheit desselben, gewohnt werden kann, entsteht vielleicht zum Theil der verschiedene Nationalcharakter.",
6.223,"Die christliche Religion hat zwar so fern ein ähnliches Schicksal, daß, obwohl die heiligen Begebenheiten derselben selbst unter den Augen eines gelehrten Volks öffentlich vorgefallen sind, dennoch ihre Geschichte sich mehr als ein Menschenalter verspätet hat, ehe sie in das gelehrte Publicum desselben eingetreten ist, mithin die Authenticität derselben der Bestätigung durch Zeitgenossen entbehren muß. Sie hat aber den großen Vorzug vor dem Judenthum, daß sie aus dem Munde des ersten Lehrers als eine nicht statutarische, sondern moralische Religion hervorgegangen, vorgestellt wird und, auf solche Art mit der Vernunft in die engste Verbindung tretend, durch sie von selbst auch ohne historische Gelehrsamkeit auf alle Zeiten und Völker mit der größten Sicherheit verbreitet werden konnte. Aber die ersten Stifter der Gemeinden fanden es doch nöthig, die Geschichte des Judenthums damit zu verflechten, welches nach ihrer damaligen Lage, aber vielleicht auch nur für dieselbe klüglich gehandelt war und so in ihrem heiligen Nachlaß mit an uns gekommen ist. Die Stifter der Kirche aber nahmen diese episodischen Anpreisungsmittel unter die wesentlichen Artikel des Glaubens auf und vermehrten sie entweder mit Tradition, oder Auslegungen, die von Concilien gesetzliche Kraft erhielten, oder durch Gelehrsamkeit beurkundet wurden, von welcher letztern, oder ihrem Antipoden, dem innern Licht, welches sich jeder Laie auch anmaßen kann, noch nicht abzusehen ist, wie viel Veränderungen dadurch dem Glauben noch bevorstehen; welches nicht zu vermeiden ist, so lange wir die Religion nicht in uns, sondern außer uns suchen.",
7.279,"So ist das Feld dunkler Vorstellungen das größte im Menschen. Weil es aber diesen nur in seinem passiven Theile als Spiel der Empfindungen wahrnehmen läßt, so gehört die Theorie derselben doch nur zur physiologischen Anthropologie, nicht zur pragmatischen, worauf es hier eigentlich abgesehen ist.",
7.338,Vom Gehör.,
9.2282,"Der Mensch braucht Wartung und Bildung. Bildung begreift unter sich Zucht und Unterweisung. Diese braucht, soviel man weiß, kein Thier. Denn keins derselben lernt etwas von den Alten, außer die Vögel ihren Gesang. Hierin werden sie von den Alten unterrichtet, und es ist rührend anzusehen, wenn wie in einer Schule die Alte ihren Jungen aus allen Kräften vorsingt, und diese sich bemühen, aus ihren kleinen Kehlen dieselben Töne herauszubringen. Um sich zu überzeugen, daß die Vögel nicht aus Instinct singen, sondern es wirklich lernen, lohnt es der Mühe, die Probe zu machen und etwa die Hälfte von ihren Eiern den Canarienvögeln wegzunehmen und ihnen Sperlingseier unterzulegen, oder auch wohl die ganz jungen Sperlinge mit ihren Jungen zu vertauschen. Bringt man diese nun in eine Stube, wo sie die Sperlinge nicht draußen hören können: so lernen sie den Gesang der Canarienvögel, und man bekommt singende Sperlinge. Es ist auch in der That sehr zu bewundern, daß jede Vogelgattung durch alle Generationen einen gewissen Hauptgesang behält, und die Tradition des Gesanges ist wohl die treueste in der Welt. *)",
9.1706,"Der Mensch sollte unter diesen billig die erste Classe einnehmen, aber seine Vernunft erhebt ihn über die Thiergattungen zu weit.",
8.85,"Im achten Buche verfolgt Hr. H. den Gebrauch der menschlichen Sinne, die Einbildungskraft des Menschen, seinen praktischen Verstand, seine Triebe und Glückseligkeit und erläutert den Einfluß der Tradition, der Meinungen, der Übung und Gewohnheit durch Beispiele verschiedener Nationen.",
7.265,Über die Förmlichkeit der egoistischen Sprache.,
9.91,Das Feld der Philosophie in dieser weltbürgerlichen Bedeutung läßt sich auf folgende Fragen bringen:,
7.765,"Sonst sind die einheimischen ungewohnten Gesichter der Fremden für Völker, die aus ihrem Lande nie herauskommen, gemeiniglich ein Gegenstand des Spottes für diese. So rufen die kleinen Jungen in Japan, indem sie den dorthin handelnden Holländern nachlaufen: ""O welche große Augen, welche große Augen!"" und den Chinesen kommen die rothen Haare mancher Europäer, die ihr Land besuchen, widrig, die blauen Augen derselben aber lächerlich vor. Was die bloßen Hirnschädel betrifft und ihre Figur, welche die Basis",
9.207,"In Ansehung der Wissenschaften giebt es zwei Ausartungen des herrschenden Geschmacks: Pedanterie und Galanterie. Die eine treibt die Wissenschaften bloß für die Schule und schränkt sie dadurch ein in Rücksicht ihres Gebrauches, die andre treibt sie bloß für den Umgang oder die Welt und beschränkt sie dadurch in Absicht auf ihren Inhalt.",
9.204,"Einen Theil der Philologie machen die Humaniora aus, worunter man die Kenntniß der Alten versteht, welche die Vereinigung der Wissenschaft mit Geschmack befördert, die Rauhigkeit abschleift und die Communicabilität und Urbanität, worin Humanität besteht, befördert.",
2.790,Von den verschiedenen Racen der Menschen.,
1.674,Enthält eine Vergleichung zwischen den Einwohnern der Gestirne.,
1.751,"der Planeten eben dieselbe Ursache, welche überhaupt die allgemeine Bewegungsquelle der Natur ist, nämlich die Anziehung, zu erkennen: so wird diese Erklärungsart durch das natürliche Vorrecht seines Grundbegriffes und durch eine ungezwungene Folge aus demselben ihre Rechtmäßigkeit bewähren.",
7.690,Von dem höchsten physischen Gut.,
7.344,Von den Sinnen des Geschmacks und des Riechens.,
7.396,Von dem sinnlichen Dichtungsvermögen nach seinen verschiedenen Arten.,
6.884,Von der Tugend überhaupt.,
1.675,"Ob alle Planeten bewohnt seien? Ursache daran zu zweifeln. Grund der physischen Verhältnisse zwischen den Bewohnern verschiedener Planeten. Betrachtung des Menschen. Ursachen der Unvollkommenheit seiner Natur. Natürliches Verhältniß der körperlichen Eigenschaften der belebten Creaturen nach ihrem verschiedenen Abstande von der Sonne. Folgen dieses Verhältnisses auf ihre geistige Fähigkeiten. Vergleichung der denkenden Naturen auf verschiedenen Himmelskörpern. Bestätigung aus gewissen Umständen ihrer Wohnplätze. Fernerer Beweis aus den Anstalten der göttlichen Vorsehung, die zu ihrem Besten gemacht sind. Kurze Ausschweifung.",
1.275,"Die Bewegung eines Körpers in einer Cirkellinie um einen Mittelpunkt, gegen den er durch seine Schwere gezogen wird (von welcher Art die Bewegungen der Planeten sind), ist der Fall, den wir suchen.",
9.2294,"1) Die Eltern nämlich sorgen gemeiniglich nur dafür, daß ihre Kinder gut in der Welt fortkommen, und 2) die Fürsten betrachten ihre Unterthanen nur wie Instrumente zu ihren Absichten.",
9.1564,3. Muß er die Länge und Breite eines jeden Ortes wissen. Die erstere ist am schwersten zu finden. Man bedient sich dazu der Sonnen- und,
2.33,"2) Das Pflanzenreich, davon alle diejenige Gewächse der Erde, die die Aufmerksamkeit entweder durch ihre Seltsamkeit oder besondern Nutzen vornehmlich auf sich ziehen, erklärt werden.",
9.936,"Die Alten theilten die Erde in der Art in Klimate ein, daß, wo der Tag um eine ganze Stunde länger wurde, ein neues Klima begann. So haben wir bisher bloß die Bewegung der Erde um ihre Axe erwogen und näher kennen gelernt.",
9.984,"I. In den allgemeinen Theil, in dem wir die Erde nach ihren Bestandtheilen und das, was zu ihr gehört, das Wasser, die Luft und das Land untersuchen.",
3.652,"Die Welt hat keinen Anfang und keine Grenzen im Raume, sondern ist sowohl in Ansehung der Zeit als des Raums unendlich.",
1.140,"Die Vertheidiger dieses Mannes scheinen den Einwurf gemerkt zu haben, den man ihnen wegen der Zeit machen könnte. Daher haben sie ihre Beweise so einzurichten gesucht, als wenn der Unterschied der Zeit bei der Kraft, welche die Körper durch den Fall erlangen, durchaus für nichts anzusehen sei.",
2.24,"Siebentes Hauptstück. Geschichte der großen Veränderungen, die die Erde ehedem erlitten hat.",
9.941,Aus dieser Bewegung der Erde nun um die Sonne entstehen folgende Kreise:,
9.1004,Die merkwürdigsten Meerbusen sind:,
9.129,"Als in der Folge die Philosophie von den Griechen zu den Römern überging, hat sie sich nicht erweitert; denn die Römer blieben immer nur Schüler.",
9.1641,"Das Rindvieh aus der Berberei hat eine viel andere Gestalt an Haaren, Hörnern und übriger Leibesbildung als das europäische.",
9.1606,"In Gebirgen sind die Menschen dauerhaft, munter, kühn, Liebhaber der Freiheit und ihres Vaterlandes.",
9.1360,"In Peru giebt es viele Vulkane und mehrere Schichten von Lava, die mit Erde bewachsen sind, worauf wieder neue Verwüstungen folgten.",
1.1078,Das Erdbeben und die Wasserbewegung vom 1. November 1755.,
9.2085,Die Unempfindlichkeit ist bei ihnen die größte Glückseligkeit. Ihre Leichen werden verbrannt.,
9.1717,Der Maulwurf geht in der Erde nur auf Regenwürmer los und ist nicht blind.,
4.1244,"Die ursprüngliche Anziehungskraft, worauf selbst die Möglichkeit der Materie als einer solchen beruht, erstreckt sich im Weltraume von jedem Theile derselben auf jeden andern unmittelbar ins Unendliche.",
4.657,1) Wie ist reine Mathematik möglich? 2) Wie ist reine Naturwissenschaft möglich? 3) Wie ist Metaphysik überhaupt möglich? 4) wie ist Metaphysik als Wissenschaft möglich?,
9.594,In Absicht auf die Verstandesschlüsse durch die Umkehrung gelten folgende Regeln:,
9.437,"2) die Reflexion, d. i. die Überlegung, wie verschiedene Vorstellungen in einem Bewußtsein begriffen sein können; und endlich",
9.185,In Absicht auf die Erweiterung und Demarcation unserer Erkenntniß sind folgende Regeln zu empfehlen: Man muß sich seinen Horizont,
9.302,"Da es, wie wir bemerkt haben, das Geschäft der Logik ist, klare Begriffe deutlich zu machen, so frägt es sich nun: Auf welche Art sie dieselben deutlich mache?",
9.436,"1) die Comparation, d. i. die Vergleichung der Vorstellungen unter einander im Verhältnisse zur Einheit des Bewußtseins;",
7.604,"Woher schreibt sich die poetische Freiheit, die doch dem Redner nicht zusteht, dann und wann wider die Sprachgesetze zu verstoßen? Vermuthlich davon, daß er durch das Gesetz der Form nicht gar zu sehr beengt werde, einen großen Gedanken auszudrücken.",
3.1010,Von der Endabsicht der natürlichen Dialektik der menschlichen Vernunft.,
9.435,"Die logischen Verstandes-Actus, wodurch Begriffe ihrer Form nach erzeugt werden, sind:",
2.145,"Es giebt noch eine gewisse andere Brauchbarkeit der Syllogistik, nämlich vermittelst ihrer in einem gelehrten Wortwechsel dem Unbehutsamen den Rang abzulaufen. Da dieses aber zur Athletik der Gelehrten gehört, einer Kunst, die sonst wohl sehr nützlich sein mag, nur daß sie nicht viel zum Vortheil der Wahrheit beiträgt, so übergehe ich sie hier mit Stillschweigen.",
3.976,Von dem regulativen Gebrauch der Ideen der reinen Vernunft.,
3.239,§ 24. Von der Anwendung der Kategorien auf Gegenstände der Sinne überhaupt.,
