ID,Absatz,Bundeskanzler
3.429,Lehrsatz.,0
9.2117,Sumatra.,0
3.417,Erläuterung.,0
9.2186,Producte des Landes.,0
4.1142,Lehrsatz.,0
4.78,Erläuterung.,0
4.353,Erläuterung.,0
6.618,Des öffentlichen Rechts,6
6.688,Des öffentlichen Rechts,6
6.722,Des öffentlichen Rechts,6
9.2241,Portugal,0
6.1005,Des zweiten Hauptstücks,0
6.940,Des ersten Hauptstücks,0
6.913,Sie enthält:,0
2.153,1763,0
1.577,1754,0
6.1032,Der Pflichten gegen sich selbst,0
8.678,1800,0
8.578,1796,0
2.85,1760,0
8.245,1790,0
5.264,1790,0
2.686,1770,0
8.377,1793,0
6.1,1793,0
9.2237,Frankreich.,0
1.7,"Königsberg, den 22. April 1747. Ew. Hochedelgebornen verpflichtetester Diener Immanuel Kant.",0
8.665,"Erster Brief. An Herrn Friedrich Nicolai, den Schriftsteller.",0
8.672,"Zweiter Brief. An Herrn Friedrich Nicolai, den Verleger.",0
9.2146,Religion.,0
7.6,"König Friedrich Wilhelm II. , ein tapferer, redlicher, menschenliebender und - von gewissen Temperamentseigenschaften abgesehen durchaus vortrefflicher Herr, der auch mich persönlich kannte und von Zeit zu Zeit Äußerungen seiner Gnade an mich gelangen ließ, hatte auf Anregung eines Geistlichen, nachmals zum Minister im geistlichen Departement erhobenen Mannes, dem man billigerweise auch keine andere, als auf seine innere Überzeugung sich gründende gut gemeinte Absichten unterzulegen Ursache hat, -im Jahr 1788 ein Religionsedict, bald nachher ein die Schriftstellerei überhaupt sehr einschränkendes, mithin auch jenes mit schärfendes Censuredict ergehen lassen. Man kann nicht in Abrede ziehen: daß gewisse Vorzeichen, die der Explosion, welche nachher erfolgte, vorhergingen, der Regierung die Nothwendigkeit einer Reform in jenem Fache anräthig machen mußten; welches auf dem stillen Wege des akademischen Unterrichts künftiger öffentlicher Volkslehrer zu erreichen war: denn diese hatten als junge Geistliche ihren Kanzelvortrag auf solchen Ton gestimmt, daß, wer Scherz versteht, sich durch solche Lehrer eben nicht wird bekehren lassen.",6
9.1014,"IV. In Amerika, und zwar",0
1.28,VIII.,0
7.236,"Anthropologie in pragmatischer Hinsicht, <!--START: not in TOC--> abgefaßt von Immanuel Kant. <!--END: not in TOC-->",0
9.2270,"Die Pädagogik hat neuerdings durch die Bemühungen mehrerer verdienter Männer, namentlich eines Pestalozzi und Olivier, eine neue interessante Richtung genommen, zu der wir dem kommenden Geschlechte nicht minder, als zu den Schutzblattern Glück wünschen dürfen ungeachtet der mancherlei Einwendungen, die beide noch erfahren müssen, und die sich freilich bald sehr gelehrt, bald sehr vornehm ausgeben, ohne doch deshalb eben sonderlich solide zu sein. Daß Kant die neuen Ideen damaliger Zeit auch in dieser Hinsicht kannte, über sie nachdachte und manchen Blick weiter hinausthat als seine Zeitgenossen, das versteht sich freilich von selbst und ergiebt sich auch aus diesen, wenn gleich nicht aus eigner Wahl, hingeworfenen Bemerkungen.",0
8.181,"Und so ist der Ausschlag einer durch Philosophie versuchten ältesten Menschengeschichte: Zufriedenheit mit der Vorsehung und dem Gange menschlicher Dinge im Ganzen, der nicht vom Guten anhebend zum Bösen fortgeht, sondern sich vom Schlechtern zum Besseren allmählig entwickelt; zu welchem Fortschritte denn ein jeder an seinem Theile, so viel in seinen Kräften steht, beizutragen durch die Natur selbst berufen ist.",0
2.497,"Der Deutsche hat ein gemischtes Gefühl aus dem eines Engländers und dem eines Franzosen, scheint aber dem ersteren am nächsten zu kommen, und die größere Ähnlichkeit mit dem letzteren ist nur gekünstelt und nachgeahmt. Er hat eine glückliche Mischung in dem Gefühle sowohl des Erhabenen und des Schönen; und wenn er in dem ersteren es nicht einem Engländer, im zweiten aber dem Franzosen nicht gleich thut, so übertrifft er sie beide, in so fern er sie verbindet. Er zeigt mehr Gefälligkeit im Umgange als der erstere, und wenn er gleich nicht so viel angenehme Lebhaftigkeit und Witz in die Gesellschaft bringt, als der Franzose, so äußert er doch darin mehr Bescheidenheit und Verstand. Er ist, so wie in aller Art des Geschmacks, also auch in der Liebe ziemlich methodisch, und indem er das Schöne mit dem Edlen verbindet, so ist er in der Empfindung beider kalt genug, um seinen Kopf mit den Überlegungen des Anstandes, der Pracht und des Aufsehens zu beschäftigen. Daher sind Familie, Titel und Rang bei ihm sowohl im bürgerlichen Verhältnisse als in der Liebe Sachen von großer Bedeutung. Er frägt weit mehr als die vorige darnach, was die Leute von ihm urtheilen möchten, und wo etwas in seinem Charaktere ist, das den Wunsch einer Hauptverbesserung rege machen könnte, so ist es diese Schwachheit, nach welcher er sich nicht erkühnt original zu sein, ob er gleich dazu alle Talente hat, und daß er sich zu viel mit der Meinung anderer einläßt, welches den sittlichen Eigenschaften alle Haltung nimmt, indem es sie wetterwendisch und falsch gekünstelt macht.",0
8.171,Beschluß der Geschichte.,0
6.729,Beschluß.,0
7.222,Beschluß.,0
7.183,Beschluß.,0
5.260,Beschluß.,0
6.1196,Beschluß.,0
1.859,Beschluß.,0
1.676,Beschluß.,0
6.772,Beschluß.,0
1.1242,Beschluß.,0
9.1679,Der Elephant.,0
1.1040,USUS.,0
1.1029,USUS.,0
7.256,Vom Egoism.,0
8.148,VI.,0
9.2078,"Sie sind auch voll von Ceremonien. Exempel, wie sie den Brief ihres Königes an den König von Frankreich nicht in der untersten Etage logiren wollten.",0
8.62,"Ein Fürst, der es seiner nicht unwürdig findet, zu sagen: daß er es für Pflicht halte, in Religionsdingen den Menschen nichts vorzuschreiben, sondern ihnen darin volle Freiheit zu lassen, der also selbst den hochmüthigen Namen der Toleranz von sich ablehnt, ist selbst aufgeklärt und verdient von der dankbaren Welt und Nachwelt als derjenige gepriesen zu werden, der zuerst das menschliche Geschlecht der Unmündigkeit wenigstens von Seiten der Regierung entschlug und jedem frei ließ, sich in allem, was Gewissensangelegenheit ist, seiner eigenen Vernunft zu bedienen. Unter ihm dürfen verehrungswürdige Geistliche unbeschadet ihrer Amtspflicht ihre vom angenommenen Symbol hier oder da abweichenden Urtheile und Einsichten in der Qualität der Gelehrten frei und öffentlich der Welt zur Prüfung darlegen; noch mehr aber jeder andere, der durch keine Amtspflicht eingeschränkt ist. Dieser Geist der Freiheit breitet sich auch außerhalb aus, selbst da, wo er mit äußeren Hindernissen einer sich selbst mißverstehenden Regierung zu ringen hat. Denn es leuchtet dieser doch ein Beispiel vor, daß bei Freiheit für die öffentliche Ruhe und Einigkeit des gemeinen Wesens nicht das Mindeste zu besorgen sei. Die Menschen arbeiten sich von selbst nach und nach aus der Rohigkeit heraus, wenn man nur nicht absichtlich künstelt, um sie darin zu erhalten.",0
6.910,XVIII. Eintheilung der Ethik.,0
1.44,XIII.,0
1.625,"Königsberg den 14. März 1755. allerunterthänigster Knecht, der Verfasser.",0
9.9,"Aber abgesehen nun von dem, was in Ansehung der äußern Form zu Vervollkommnung der Logik durch die nothwendige Trennung reiner und bloß formaler von empirischen und realen oder metaphysischen Sätzen noch geschehen konnte und geschehen mußte, so ist, wenn es die Beurtheilung und Bestimmung des innern Gehaltes dieser Wissenschaft als Wissenschaft gilt, Kant's Urtheil über diesen Punkt nicht zweifelhaft. Er hat sich mehreremale bestimmt und ausdrücklich darüber erklärt: daß die Logik als eine abgesonderte, für sich bestehende und in sich selbst gegründete Wissenschaft anzusehen sei, und daß sie mithin auch seit ihrer Entstehung und ersten Ausbildung vom Aristoteles an bis auf unsre Zeiten eigentlich nichts an wissenschaftlicher Begründung habe gewinnen können. Dieser Behauptung gemäß hat also Kant weder an eine Begründung der logischen Principien der Identität und des Widerspruchs selbst durch ein höheres Princip noch an eine Deduction der logischen Formen der Urtheile gedacht. Er hat das Princip des Widerspruchs als einen Satz anerkannt und behandelt, der seine Evidenz in sich selber habe und keiner Ableitung aus einem höhern Grundsatze bedürfe. Nur den Gebrauch, die Gültigkeit dieses Princips hat er eingeschränkt, indem er es aus dem Gebiete der Metaphysik, worin es der Dogmatismus geltend zu machen suchte, verwies und auf den bloß logischen Vernunftgebrauch, als allein gültig nur für diesen Gebrauch beschränkte.",0
8.510,Erster Definitivartikel zum ewigen Frieden. Die bürgerliche Verfassung in jedem Staate soll republikanisch sein.,6
8.534,Zweiter Zusatz. Geheimer Artikel zum ewigen Frieden.,0
9.7,"Es versteht sich übrigens wohl von selbst, daß der große Reformator der Philosophie und, was die Ökonomie und äußere Form der Logik betrifft, auch dieses Theils der theoretischen Philosophie insbesondre, nach seinem architektonischen Entwurfe, dessen wesentliche Grundlinien in der Kritik der reinen Vernunft verzeichnet sind, die Logik würde bearbeitet haben, wenn es ihm gefallen und wenn sein Geschäft einer wissenschaftlichen Begründung des gesammten Systems der eigentlichen Philosophie, der Philosophie des reellen Wahren und Gewissen, dieses unweit wichtigere und schwerere Geschäft, das nur er zuerst und auch er allein nur in seiner Originalität ausführen konnte, ihm verstattet hätte, an die selbsteigene Bearbeitung einer Logik zu denken. Allein diese Arbeit konnte er recht wohl Andern überlassen, die mit Einsicht und unbefangener Beurtheilung seine architektonischen Ideen zu einer wahrhaft zweckmäßigen und wohlgeordneten Bearbeitung und Behandlung dieser Wissenschaft benutzen konnten. Es war dies von mehreren gründlichen und unbefangenen Denkern unter unsern deutschen Philosophen zu erwarten. Und diese Erwartung hat Kanten und die Freunde seiner Philosophie auch nicht getäuscht. Mehrere neuere Lehrbücher der Logik sind mehr oder weniger, in Betreff der Ökonomie und Disposition des Ganzen, als eine Frucht jener Kantischen Ideen zur Logik anzusehen. Und daß diese Wissenschaft dadurch wirklich gewonnen, daß sie zwar weder reicher noch eigentlich ihrem Gehalte nach solider oder in sich selbst gegründeter, wohl aber gereinigter theils von allen ihr fremdartigen Bestandtheilen, theils von so manchen unnützen Subtilitäten und bloßen dialektischen Spielwerken, daß sie systematischer und doch bei aller scientifischen Strenge der Methode zugleich einfacher geworden: davon muß wohl Jeden, der übrigens nur richtige und klare Begriffe von dem eigenthümlichen Charakter und den gesetzmäßigen Grenzen der Logik hat, auch die flüchtigste Vergleichung der ältern mit den neuern, nach Kantischen Grundsätzen bearbeiteten Lehrbüchern der Logik überzeugen. Denn so sehr sich auch so manche unter den ältern Handbüchern dieser Wissenschaft an wissenschaftlicher Strenge in der Methode, an Klarheit, Bestimmtheit und Präcision in den Erklärungen und an Bündigkeit und Evidenz in den Beweisen auszeichnen mögen: so ist doch fast keines darunter, in welchem nicht die Grenzen der verschiedenen, zur allgemeinen Logik im weitern Umfange gehörigen Gebiete des bloß Propädeutischen, des Dogmatischen und Technischen, des Reinen und Empirischen, so in einander und durch einander liefen, da sich das eine von dem andern nicht bestimmt unterscheiden läßt.",0
9.1800,"Der Meermensch, Meerjungfer",0
9.1821,Der Häringsfang.,0
8.175,Schluß=Anmerkung.,0
6.273,Vorrede.,0
1.626,Vorrede.,0
1.8,Vorrede.,0
6.781,Vorrede.,0
2.370,Vorrede.,0
2.155,Vorrede.,0
9.2092,Assam.,0
4.718,Logische Tafel der Urtheile.,0
3.125,Beschluß der transscendentalen Ästhetik.,0
9.1769,b . Wallrosse.,0
5.991,Allgemeine Anmerkung zur Teleologie.,0
9.1759,A. Das Fischottergeschlecht.,0
9.608,II . Vernunftschlüsse.,0
9.1931,r . Gewürzbäume.,0
9.740,II . Allgemeine Methodenlehre.,0
2.71,1759,0
7.338,Vom Gehör.,0
7.10,"ab extra - Dem würdigen und hochgelahrten, Unserem Professor, auch lieben, getreuen Kant",0
8.494,"Erster Abschnitt, welcher die Präliminarartikel zum ewigen Frieden unter Staaten enthält.",0
8.508,"Zweiter Abschnitt, Welcher die Definitivartikel zum ewigen Frieden unter Staaten enthält.",0
4.1227,Erklärung 6.,0
6.386,I.,0
6.664,I.,0
2.577,1765,0
8.490,1795,0
8.445,1794,0
2.789,1775,0
4.1133,Grundsatz.,0
2.675,1768,0
9.2127,Ceylon,0
9.2113,Java.,0
9.2064,Religion.,0
9.2158,Religion.,0
9.2227,Griechenland.,0
9.2239,Spanien.,0
9.2215,Ägypten.,0
9.2049,China.,0
3.5,Gnädiger Herr!,0
9.1324,2. Die Luft wird ängstlich still.,0
1.1163,PROP. II. THEOREMA. Corpora constant monadibus.,0
9.1881,e . Gold=Hühner,0
9.555,"§. 39. Theoreme, Corollarien, Lehnsätze und Scholien.",0
9.2190,Die Küste Sofala.,0
7.543,1) Selbst denken.,0
6.574,II. Die Beerbung. ( Acquisitio haereditatis. ) § 34.,0
9.1898,c . Der Talgbaum in China.,0
9.1789,c . Der Hai oder Seewolf.,0
9.729,§. 90. Trugschluß - Paralogismus - Sophisma.,0
1.893,Experientia.,0
1.1022,DEMONSTRATIO.,0
1.910,NOTA.,0
4.309,B.,0
9.2086,Pegu,0
9.2090,Arakan.,0
9.2218,Abyssinien.,0
1.943,MONITUM.,0
4.1088,1786,0
