ID,Absatz,Welcher Sprachlichkeit oder Sprachbedingtheit unterliegt das Denken?
4.271,Grundsatz des reinen Verstandes: Alle Erscheinungen sind ihrer Anschauung nach extensive Größen.,6
5.819,Satz: Alle Erzeugung materieller Dinge ist nach bloß mechanischen Gesetzen möglich.,0
5.922,"Endzweck ist derjenige Zweck, der keines andern als Bedingung seiner Möglichkeit bedarf.",0
4.1051,Freiheit muß als Eigenschaft des Willens aller vernünftigen Wesen vorausgesetzt werden.,0
2.130,In der dritten Figur sind keine andere als vermischte Vernunftschlüsse möglich.,6
3.234,"§ 22. Die Kategorie hat keinen andern Gebrauch zum Erkenntnisse der Dinge, als ihre Anwendung auf Gegenstände der Erfahrung.",6
4.1214,Die Möglichkeit der Materie erfordert eine Anziehungskraft als die zweite wesentliche Grundkraft derselben.,0
2.126,In der zweiten Figur sind keine andere als vermischte Vernunftschlüsse möglich.,6
5.436,"Schönheit ist Form der Zweckmäßigkeit eines Gegenstandes, sofern sie ohne Vorstellung eines Zwecks an ihm wahrgenommen wird. *)",0
5.451,"Schön ist, was ohne Begriff als Gegenstand eines nothwendigen Wohlgefallens erkannt wird.",0
4.647,Wie sind synthetische Sätze a priori möglich?,5
4.882,Auflösung der allgemeinen Frage der Prolegomenen. Wie ist Metaphysik als Wissenschaft möglich?,0
6.858,XII. Ästhetische Vorbegriffe der Empfänglichkeit des Gemüths für Pflichtbegriffe überhaupt.,0
2.593,"Träume eines Geistersehers, erläutert durch Träume der Metaphysik.",0
3.692,Der Antinomie der reinen Vernunft Dritter Widerstreit der transscendentalen Ideen.,6
4.1324,Dieser Lehrsatz bestimmt die Modalität der Bewegung in Ansehung der Phoronomie.,0
3.650,Der Antinomie der reinen Vernunft Erster Widerstreit der transscendentalen Ideen.,4
4.555,Betrachtung über die Summe der reinen Seelenlehre zu Folge diesen Paralogismen.,0
2.273,"Fünfte Betrachtung, Worin die Unzulänglichkeit der gewöhnlichen Methode der Physikotheologie gewiesen wird.",0
3.671,Der Antinomie der reinen Vernunft Zweiter Widerstreit der transscendentalen Ideen.,4
6.812,"IV. Welche sind die Zwecke, die zugleich Pflichten sind?",0
8.629,"Was ist Philosophie, als Lehre, die unter allen Wissenschaften das größte Bedürfniß der Menschen ausmacht?",6
7.181,10. in welcher Ordnung allein kann der Fortschritt zum Besseren erwartet werden?,0
6.461,§ 11. Was ist ein Sachenrecht?,0
9.1010,Die berühmtesten Straßen oder Meerengen nun sind:,0
4.1066,Wie ist ein kategorischer Imperativ möglich?,4
8.187,Was heißt: Sich im Denken orientiren?,4
7.178,9. Welchen Ertrag wird der Fortschritt zum Besseren dem Menschengeschlecht abwerfen?,0
6.844,IX. Was ist Tugendpflicht?,0
5.526,"Buchstäblich genommen und logisch betrachtet, können Ideen nicht dargestellt werden. Aber wenn wir unser empirisches Vorstellungsvermögen (mathematisch, oder dynamisch) für die Anschauung der Natur erweitern: so tritt unausbleiblich die Vernunft hinzu, als Vermögen der Independenz der absoluten Totalität, und bringt die, obzwar vergebliche, Bestrebung des Gemüths hervor, die Vorstellung der Sinne dieser angemessen zu machen. Diese Bestrebung und das Gefühl der Unerreichbarkeit der Idee durch die Einbildungskraft ist selbst eine Darstellung der subjectiven Zweckmäßigkeit unseres Gemüths im Gebrauche der Einbildungskraft für dessen übersinnliche Bestimmung und nöthigt uns, subjectiv die Natur selbst in ihrer Totalität, als Darstellung von etwas Übersinnlichem, zu denken, ohne diese Darstellung objectiv zu Stande bringen zu können.",3
7.592,"§ 70. Gesittet, wohlanständig, manierlich, geschliffen (mit Abstoßung der Rauhigkeit) zu sein, ist doch nur die negative Bedingung des Geschmacks. Die Vorstellung dieser Eigenschaften in der Einbildungskraft kann eine äußerlich intuitive Vorstellungsart eines Gegenstandes oder seiner eigenen Person mit Geschmack sein, aber nur für zwei Sinne, für das Gehör und Gesicht. Musik und bildende Kunst (Malerei, Bildhauer-, Bau- und Gartenkunst) machen Ansprüche auf Geschmack als Empfänglichkeit eines Gefühls der Lust für die bloßen Formen äußerer Anschauung, erstere in Ansehung des Gehörs, die andere des Gesichts. Dagegen enthält die discursive Vorstellungsart durch laute Sprache oder durch Schrift zwei Künste, darin der Geschmack sich zeigen kann: die Beredsamkeit und Dichtkunst.",4
7.283,Von der Deutlichkeit und Undeutlichkeit im Bewußtsein seiner Vorstellungen.,5
7.523,"Der Witz ist entweder der vergleichende ( ingenium comparans ), oder der vernünftelnde Witz ( ingenium argutans ). Der Witz paart (assimilirt) heterogene Vorstellungen, die oft nach dem Gesetze der Einbildungskraft (der Association) weit auseinander liegen, und ist ein eigenthümliches Verähnlichungsvermögen, welches dem Verstande (als dem Vermögen der Erkenntniß des Allgemeinen), so fern er die Gegenstände unter Gattungen bringt, angehört. Er bedarf nachher der Urtheilskraft, um das Besondere unter dem Allgemeinen zu bestimmen und das Denkungsvermögen zum erkennen anzuwenden. - Witzig (im Reden oder Schreiben) zu sein, kann durch den Mechanism der Schule und ihren Zwang nicht erlernt werden, sondern gehört, als ein besonderes Talent, zur Liberalität der Sinnesart in der wechselseitigen Gedankenmittheilung ( veniam damus petimusque vicissim ); einer schwer zu erklärenden Eigenschaft des Verstandes überhaupt - gleichsam seiner Gefälligkeit - , die mit der Strenge der Urtheilskraft ( iudicium discretivum ) in der Anwendung des Allgemeinen auf das Besondere (der Gattungsbegriffe auf die der Species) contrastirt, als welche das Assimilationsvermögen sowohl, als auch den Hang dazu einschränkt.",2
7.292,"Vorstellungen, in Ansehung deren sich das Gemüth leidend verhält, durch welche also das Subject afficirt wird (dieses mag sich nun selbst afficiren oder von einem Object afficirt werden), gehören zum sinnlichen; diejenigen aber, welche ein bloßes Thun (das Denken) enthalten, zum intellectuellen Erkenntnißvermögen. Jenes wird auch das untere, dieses aber das obere Erkenntnißvermögen genannt. *) Jenes hat den Charakter der Passivität des inneren Sinnes der Empfindungen, dieses der Spontaneität der Apperception, d. i. des reinen Bewußtseins der Handlung, welche das Denken ausmacht und zur Logik (einem System der Regeln des Verstandes), so wie jener zur Psychologie (einem Inbegriff aller innern Wahrnehmungen unter Naturgesetzen) gehört und innere Erfahrung begründet.",3
5.621,"Schöne Kunst dagegen ist eine Vorstellungsart, die für sich selbst zweckmäßig ist und, obgleich ohne Zweck, dennoch die Cultur der Gemüthskräfte zur geselligen Mittheilung befördert.",0
7.422,"Das ingeniöse Memoriren ist eine Methode gewisse Vorstellungen durch Association mit Nebenvorstellungen, die an sich (für den Verstand) gar keine Verwandtschaft mit einander haben, z. B. Laute einer Sprache mit gänzlich ungleichartigen Bildern, die jenen correspondiren sollen, dem Gedächtniß einzuprägen; wo man, um etwas leichter in Gedächtniß zu fassen, dasselbe noch mit mehr Nebenvorstellungen belästigt; folglich ungereimt, als regelloses Verfahren der Einbildungskraft in der Zusammenpaarung dessen, was nicht unter einem und demselben Begriffe zusammen gehören kann; und zugleich Widerspruch zwischen Mittel und Absicht, da man dem Gedächtniß die Arbeit zu erleichtern sucht, in der That aber sie durch die ihm unnöthig aufgebürdete Association sehr disparater Vorstellungen erschwert *) . Daß Witzlinge selten ein treues Gedächtni haben ( ingeniosis non admodum fida est memoria ), ist eine Bemerkung, die jenes Phänomen erklärt.",2
5.497,"Das Gemüth fühlt sich in der Vorstellung des Erhabenen in der Natur bewegt: da es in dem ästhetischen Urtheile über das Schöne derselben in ruhiger Contemplation ist. Diese Bewegung kann (vornehmlich in ihrem Anfange) mit einer Erschütterung verglichen werden, d. i. mit einem schnellwechselnden Abstoßen und Anziehen eben desselben Objects. Das Überschwengliche für die Einbildungskraft (bis zu welchem sie in der Auffassung der Anschauung getrieben wird) ist gleichsam ein Abgrund, worin sie sich selbst zu verlieren fürchtet; aber doch auch für die Idee der Vernunft vom Übersinnlichen nicht überschwenglich, sondern gesetzmäßig, eine solche Bestrebung der Einbildungskraft hervorzubringen: mithin in eben dem Maße wiederum anziehend, als es für die bloße Sinnlichkeit abstoßend war. Das Urtheil selber bleibt aber hiebei immer nur ästhetisch, weil es, ohne einen bestimmten Begriff vom Objecte zum Grunde zu haben, bloß das subjective Spiel der Gemüthskräfte (Einbildungskraft und Vernunft) selbst durch ihren Contrast als harmonisch vorstellt. Denn so wie Einbildungskraft und Verstand in der Beurtheilung des Schönen durch ihre Einhelligkeit, so bringen Einbildungskraft und Vernunft hier durch ihren Widerstreit subjective Zweckmäßigkeit der Gemüthskräfte hervor: nämlich ein Gefühl, daß wir reine, selbstständige Vernunft haben, oder ein Vermögen der Größenschätzung, dessen Vorzüglichkeit durch nichts anschaulich gemacht werden kann, als durch die Unzulänglichkeit desjenigen Vermögens, welches in Darstellung der Größen (sinnlicher Gegenstände) selbst unbegränzt ist.",5
8.590,"Mit dieser vorgegebenen Fühlbarkeit eines Gegenstandes, der doch bloß in der reinen Vernunft angetroffen werden kann, hat es nun folgende Bewandtniß. - Bisher hatte man nur von drei Stufen des Fürwahrhaltens bis zum Verschwinden desselben in völlige Unwissenheit gehört: dem Wissen, Glauben und Meinen. *) Jetzt wird eine neue angebracht, die gar nichts mit der Logik gemein hat, die kein Fortschritt des Verstandes, sondern Vorempfindung ( praevisio sensitiva ) dessen sein soll, was gar kein Gegenstand der Sinne ist: d. i. Ahnung des Übersinnlichen.",6
5.399,"Nun ist es auf ähnliche Weise mit der Lust im ästhetischen Urtheile bewandt: nur daß sie hier bloß contemplativ, und ohne ein Interesse am Object zu bewirken, im moralischen Urtheil hingegen praktisch ist. Das Bewußtsein der bloß formalen Zweckmäßigkeit im Spiele der Erkenntnißkräfte des Subjects bei einer Vorstellung, wodurch ein Gegenstand gegeben wird, ist die Lust selbst, weil es einen Bestimmungsgrund der Thätigkeit des Subjects in Ansehung der Belebung der Erkenntnißkräfte desselben, also eine innere Causalität (welche zweckmäßig ist) in Ansehung der Erkenntniß überhaupt, aber ohne auf eine bestimmte Erkenntniß eingeschränkt zu sein, mithin eine bloße Form der subjectiven Zweckmäßigkeit einer Vorstellung, in einem ästhetischen Urtheile enthält. Diese Lust ist auch auf keinerlei Weise praktisch, weder wie die aus dem pathologischen Grunde der Annehmlichkeit, noch die aus dem intellectuellen des vorgestellten Guten. Sie hat aber doch Causalität in sich, nämlich den Zustand der Vorstellung selbst und die Beschäftigung der Erkenntnißkräfte ohne weitere Absicht zu erhalten. Wir weilen bei der Betrachtung des Schönen, weil diese Betrachtung sich selbst stärkt und reproducirt: welches derjenigen Verweilung analogisch (aber doch mit ihr nicht einerlei) ist, da ein Reiz in der Vorstellung des Gegenstandes die Aufmerksamkeit wiederholentlich erweckt, wobei das Gemüth passiv ist.",0
7.290,Von der Sinnlichkeit im Gegensatz mit dem Verstande.,6
8.579,Von einem neuerdings erhobenen vornehmen Ton in der Philosophie.,4
5.677,"Unter allen behauptet die Dichtkunst (die fast gänzlich dem Genie ihren Ursprung verdankt und am wenigsten durch Vorschrift, oder durch Beispiele geleitet sein will) den obersten Rang. Sie erweitert das Gemüth dadurch, daß sie die Einbildungskraft in Freiheit setzt und innerhalb den Schranken eines gegebenen Begriffs unter der unbegränzten Mannigfaltigkeit möglicher damit zusammenstimmender Formen diejenige darbietet, welche die Darstellung desselben mit einer Gedankenfülle verknüpft, der kein Sprachausdruck völlig adäquat ist, und sich also ästhetisch zu Ideen erhebt. Sie stärkt das Gemüth, indem sie es sein freies, selbstthätiges und von der Naturbestimmung unabhängiges Vermögen fühlen läßt, die Natur als Erscheinung nach Ansichten zu betrachten und zu beurtheilen, die sie nicht von selbst weder für den Sinn noch den Verstand in der Erfahrung darbietet, und sie also zum Behuf und gleichsam zum Schema des Übersinnlichen zu gebrauchen. Sie spielt mit dem Schein, den sie nach Belieben bewirkt, ohne doch dadurch zu betrügen; denn sie erklärt ihre Beschäftigung selbst für bloßes Spiel, welches gleichwohl vom Verstande und zu dessen Geschäfte zweckmäßig gebraucht werden kann. - Die Beredsamkeit, sofern darunter die Kunst zu überreden, d. i. durch den schönen Schein zu hintergehen (als ars oratoria ), und nicht bloße Wohlredenheit (Eloquenz und Stil) verstanden wird, ist eine Dialektik, die von der Dichtkunst nur so viel entlehnt, als nöthig ist, die Gemüther vor der Beurtheilung für den Redner zu dessen Vortheil zu gewinnen und dieser die Freiheit zu benehmen; kann also weder für die Gerichtsschranken, noch für die Kanzeln angerathen werden. Denn wenn es um bürgerliche Gesetze, um das Recht einzelner Personen, oder um dauerhafte Belehrung und Bestimmung der Gemüther zur richtigen Kenntniß und gewissenhaften Beobachtung ihrer Pflicht zu thun ist: so ist es unter der Würde eines so wichtigen Geschäftes, auch nur eine Spur von Üppigkeit des Witzes und der Einbildungskraft, noch mehr aber von der Kunst zu überreden und zu irgend jemandes Vortheil einzunehmen blicken zu lassen. Denn wenn sie gleich bisweilen zu an sich rechtmäßigen und lobenswürdigen Absichten angewandt werden kann, so wird sie doch dadurch verwerflich, daß auf diese Art die Maximen und Gesinnungen subjectiv verderbt werden, wenn gleich die That objectiv gesetzmäßig ist: indem es nicht genug ist, das, was Recht ist, zu thun, sondern es auch aus dem Grunde allein, weil es Recht ist, auszuüben. Auch hat der bloße deutliche Begriff dieser Arten von menschlicher Angelegenheit, mit einer lebhaften Darstellung in Beispielen verbunden und ohne Verstoß wider die Regeln des Wohllauts der Sprache, oder der Wohlanständigkeit des Ausdrucks für Ideen der Vernunft (die zusammen die Wohlredenheit ausmachen), schon an sich hinreichenden Einfluß auf menschliche Gemüther, als daß es nöthig wäre noch die Maschinen der Überredung hiebei anzulegen; welche, da sie eben sowohl auch zur Beschönigung oder Verdeckung des Lasters und Irrthums gebraucht werden können, den geheimen Verdacht wegen einer künstlichen Überlistung nicht ganz vertilgen können. In der Dichtkunst geht alles ehrlich und aufrichtig zu. Sie erklärt sich, ein bloßes unterhaltendes Spiel mit der Einbildungskraft und zwar der Form nach einstimmig mit Verstandesgesetzen treiben zu wollen; und verlangt nicht den Verstand durch sinnliche Darstellung zu überschleichen und zu verstricken. *) Nach der Dichtkunst würde ich, wenn es um Reiz und Bewegung des Gemüths zu thun ist, diejenige, welche ihr unter den redenden am nächsten kommt und sich damit auch sehr natürlich vereinigen läßt, nämlich die Tonkunst, setzen. Denn ob sie zwar durch lauter Empfindungen ohne Begriffe spricht, mithin nicht wie die Poesie etwas zum Nachdenken übrig bleiben läßt, so bewegt sie doch das Gemüth mannigfaltiger und, obgleich bloß vorübergehend, doch inniglicher; ist aber freilich mehr Genu als Cultur (das Gedankenspiel, was nebenbei dadurch erregt wird, ist bloß die Wirkung einer gleichsam mechanischen Association); und hat, durch Vernunft beurtheilt, weniger Werth, als jede andere der schönen Künste. Daher verlangt sie wie jeder Genuß öftern Wechsel und hält die mehrmalige Wiederholung nicht aus, ohne Überdruß zu erzeugen. Der Reiz derselben, der sich so allgemein mittheilen läßt, scheint darauf zu beruhen: daß jeder Ausdruck der Sprache im Zusammenhange einen Ton hat, der dem Sinne desselben angemessen ist; daß dieser Ton mehr oder weniger einen Affect des Sprechenden bezeichnet und gegenseitig auch im Hörenden hervorbringt, der denn in diesem umgekehrt auch die Idee erregt, die in der Sprache mit solchem Tone ausgedrückt wird; und daß, so wie die Modulation gleichsam eine allgemeine jedem Menschen verständliche Sprache der Empfindungen ist, die Tonkunst diese für sich allein in ihrem ganzen Nachdrucke, nämlich als Sprache der Affecten, ausübt und so nach dem Gesetze der Association die damit natürlicher Weise verbundenen ästhetischen Ideen allgemein mittheilt; daß aber, weil jene ästhetischen Ideen keine Begriffe und bestimmte Gedanken sind, die Form der Zusammensetzung dieser Empfindungen (Harmonie und Melodie) nur statt der Form einer Sprache dazu dient, vermittelst einer proportionirten Stimmung derselben (welche, weil sie bei Tönen auf dem Verhältniß der Zahl der Luftbebungen in derselben Zeit, sofern die Töne zugleich oder auch nach einander verbunden werden, beruht, mathematisch unter gewisse Regeln gebracht werden kann) die ästhetische Idee eines zusammenhängenden Ganzen einer unnennbaren Gedankenfülle einem gewissen Thema gemäß, welches den in dem Stücke herrschenden Affect ausmacht, auszudrücken. An dieser mathematischen Form, obgleich nicht durch bestimmte Begriffe vorgestellt, hängt allein das Wohlgefallen, welches die bloße Reflexion über eine solche Menge einander begleitender oder folgender Empfindungen mit diesem Spiele derselben als für jedermann gültige Bedingung seiner Schönheit verknüpft; und sie ist es allein, nach welcher der Geschmack sich ein Recht über das Urtheil von jedermann zum voraus auszusprechen anmaßen darf.",1
