ID,Absatz,Determinismus
3.735,Auf der Seite also des Dogmatismus in Bestimmung der kosmologischen Vernunftideen oder der Thesis zeigt sich,4
9.731,"Anmerkung. Die Alten beschäftigten sich sehr mit der Kunst, dergleichen Sophismen zu machen. Daher sind viele von der Art aufgekommen; z. B. das Sophisma figurae dictionis , worin der medius terminus in verschiedener Bedeutung genommen wird - fallacia a dicto secundum quid ad dictum simpliciter, sophisma heterozeteseos, elenchi, ignorationis u. dgl. m.",0
9.206,"Der Belletrist oder bel esprit ist ein Humanist nach gleichzeitigen Mustern in lebenden Sprachen. Er ist also kein Gelehrter, denn nur todte Sprachen sind jetzt gelehrte Sprachen, sondern ein bloßer Dilettant der Geschmackskenntnisse nach der Mode, ohne der Alten zu bedürfen. Man könnte ihn den Affen des Humanisten nennen. Der Polyhistor muß als Philolog Linguist und Literator und als Humanist muß er Klassiker und ihr Ausleger sein. Als Philolog ist er cultivirt, als Humanist civilisirt.",0
8.599,"Die wegwerfende Art über das Formale in unserer Erkenntniß (welches doch das hauptsächlichste Geschäft der Philosophie ist) als eine Pedanterei unter dem Namen ""einer Formgebungsmanufactur"" abzusprechen bestätigt diesen Verdacht, nämlich einer geheimen Absicht: unter dem Aushängeschilde der Philosophie in der That alle Philosophie zu verbannen und als Sieger über sie vornehm zu thun ( pedibus subiecta vicissim Obteritur, nos exaequat victoria coelo. Lucret. ). - Wie wenig aber dieser Versuch unter Beleuchtung einer immer wachsamen Kritik gelingen könne, ist aus folgendem Beispiel zu ersehen.",5
9.128,"Fängt man die Epoche des Skepticismus mit dem Pyrrho an, so bekommt man eine ganze Schule von Skeptikern, die sich in ihrer Denkart und Methode des Philosophirens von den Dogmatikern wesentlich unterschieden, indem sie es zur ersten Maxime alles philosophirenden Vernunftgebrauchs machten: auch selbst bei dem größten Scheine der Wahrheit sein Urtheil zurückzuhalten, und das Princip aufstellten: die Philosophie bestehe im Gleichgewichte des Urtheilens und lehre uns den falschen Schein aufzudecken. Von diesen Skeptikern ist uns aber weiter nichts übrig geblieben als die beiden Werke des Sextus Empiricus, worin er alle Zweifel zusammengebracht hat.",5
1.883,"Lex, secundum quam elastra comperta sunt comprimi in spatia viribus proportionalia, optime cum allegata nostra hypothesi conspirat.",0
5.19,"Doch da es in diesem philosophischen und kritischen Zeitalter schwerlich mit jenem Empirism ernst sein kann, und er vermuthlich nur zur Übung der Urtheilskraft, und um durch den Contrast die Nothwendigkeit rationaler Principien a priori in ein helleres Licht zu setzen, aufgestellt wird: so kann man es denen doch Dank wissen, die sich mit dieser sonst eben nicht belehrenden Arbeit bemühen wollen.",0
5.692,Der Kritik der ästhetischen Urtheilskraft,6
1.331,"Nec Deus intersit, nisi dignus vindice nodus Inciderit - - Horat. de arte poet.",6
8.592,"Plato der Akademiker ward also, obzwar ohne seine Schuld (denn er gebrauchte seine intellectuellen Anschauungen nur rückwärts, zum Erklären der Möglichkeit eines synthetischen Erkenntnisses a priori, nicht vorwärts, um es durch jene im göttlichen Verstande lesbare Ideen zu erweitern), der Vater aller Schwärmerei mit der Philosophie. Ich möchte aber nicht gern den (neuerlich ins Deutsche übersetzten) Plato den Briefsteller mit dem ersteren vermengen. Dieser will außer ""den vier zur Erkenntniß gehörigen Dingen, dem Namen des Gegenstandes, der Beschreibung, der Darstellung und der Wissenschaft, noch ein fünftes [ Rad am Wagen ], nämlich noch den Gegenstand selbst und sein wahres Sein."" - ""Dieses unveränderliche Wesen, das sich nur in der Seele und durch die Seele anschauen läßt, in dieser aber wie von einem springenden Funken Feuers sich von selbst ein Licht anzündet, will er [ als exaltirter Philosoph ] ergriffen haben; von welchem man gleichwohl nicht reden könne, weil man sofort seiner Unwissenheit überführt werden würde, am wenigsten zum Volk: weil jeder Versuch dieser Art schon gefährlich sein würde, theils dadurch daß diese hohen Wahrheiten einer plumpen Verachtung ausgesetzt, theils [ was hier das einzige Vernünftige ist ] da die Seele zu leeren Hoffnungen und zum eiteln Wahn der Kenntniß großer Geheimnisse gespannt werden dürfte.""",6
1.958,DEFINITIO.,0
1.939,RATIO INSTITUTI.,0
1.865,INSTITUTI RATIO.,0
1.1038,DILUCIDATIO.,0
1.1026,DILUCIDATIO.,0
9.729,§. 90. Trugschluß - Paralogismus - Sophisma.,0
9.568,I. Verstandesschlüsse.,4
9.2169,Mongolische Tatarn.,0
7.204,1. Von der Hypochondrie.,0
1.1156,PRAENOTANDA.,0
9.2127,Ceylon,0
9.1853,b . Die Nervenwürmer ( Colubrillae ).,0
9.644,§. 64. Regeln für die kategorischen Vernunftschlüsse.,3
4.41,II. Eintheilung der Transscendental=Philosophie.,6
2.314,Siebente Betrachtung. Kosmogonie.,6
5.611,§ 43. Von der Kunst überhaupt.,0
9.1751,a . Ungeschwänzte Affen.,0
9.1879,d . Der Paradiesvogel,0
5.397,§ 12. Das Geschmacksurtheil beruht auf Gründen a priori.,0
6.722,Des öffentlichen Rechts,0
6.688,Des öffentlichen Rechts,0
6.618,Des öffentlichen Rechts,0
9.978,"Walchs ausführliche mathematische Geographie, zweite Aufl. Göttingen 1794.",0
7.13,Allergnädigster etc. etc.,0
1.1035,II. Principium coexsistentiae.,0
2.819,1776-1777,0
1.669,Zugabe zum siebenten Hauptstücke.,0
