ID,Absatz,"Wollen, Absicht, Handlung"
7.310,"Die Leichtigkeit etwas zu thun ( promptitudo ) muß mit der Fertigkeit in solchen Handlungen ( habitus ) nicht verwechselt werden. Die erstere bedeutet einen gewissen Grad des mechanischen Vermögens: ""ich kann, wenn ich will,"" und bezeichnet subjective Möglichkeit; die zweite die subjectiv-praktische Nothwendigkeit, d. i. Gewohnheit, mithin einen gewissen Grad des Willens, der durch den oft wiederholten Gebrauch seines Vermögens erworben wird: ""ich will, weil es die Pflicht gebietet."" Daher kann man die Tugend nicht so erklären: sie sei die Fertigkeit in freien rechtmäßigen Handlungen; denn da wäre sie blos Mechanism der Kraftanwendung; sondern Tugend ist die moralische Stärke in Befolgung seiner Pflicht, die niemals zur Gewohnheit werden, sondern immer ganz neu und ursprünglich aus der Denkungsart hervorgehen soll.",
5.585,"Das Wohlgefallen an einer Handlung um ihrer moralischen Beschaffenheit willen ist dagegen keine Lust des Genusses, sondern der Selbstthätigkeit und deren Gemäßheit mit der Idee seiner Bestimmung. Dieses Gefühl, welches das sittliche heißt, erfordert aber Begriffe und stellt keine freie, sondern gesetzliche Zweckmäßigkeit dar, läßt sich also auch nicht anders als vermittelst der Vernunft und, soll die Lust bei jedermann gleichartig sein, durch sehr bestimmte praktische Vernunftbegriffe allgemein mittheilen.",
6.891,"Fertigkeit ( habitus ) ist eine Leichtigkeit zu handeln und eine subjective Vollkommenheit der Willkür. - Nicht jede solche Leichtigkeit aber ist eine freie Fertigkeit ( habitus libertatis ); denn wenn sie Angewohnheit ( assuetudo ), d. i. durch öfters wiederholte Handlung zur Nothwendigkeit gewordene Gleichförmigkeit, derselben ist, so ist sie keine aus der Freiheit hervorgehende, mithin auch nicht moralische Fertigkeit. Die Tugend kann man also nicht durch die Fertigkeit in freien gesetzmäßigen Handlungen definiren; wohl aber, wenn hinzugesetzt würde, ""sich durch die Vorstellung des Gesetzes im Handeln zu bestimmen"", und da ist diese Fertigkeit eine Beschaffenheit nicht der Willkür, sondern des Willens, der ein mit der Regel, die er annimmt, zugleich allgemein-gesetzgebendes Begehrungsvermögen ist, und eine solche allein kann zur Tugend gezählt werden.",
6.325,"Recht oder unrecht ( rectum aut minus rectum ) überhaupt ist eine That, sofern sie pflichtmäßig oder pflichtwidrig ( factum licitum aut illicitum ) ist; die Pflicht selbst mag ihrem Inhalte oder ihrem Ursprunge nach sein, von welcher Art sie wolle. Eine pflichtwidrige That heißt Übertretung ( reatus ).",
8.342,"I. Das schlechthin Zweckwidrige, was weder als Zweck, noch als Mittel von einer Weisheit gebilligt und begehrt werden kann.",
6.861,"Dieses ist die Empfänglichkeit für Lust oder Unlust blos aus dem Bewußtsein der Übereinstimmung oder des Widerstreits unserer Handlung mit dem Pflichtgesetze. Alle Bestimmung der Willkür aber geht von der Vorstellung der möglichen Handlung durch das Gefühl der Lust oder Unlust, an ihr oder ihrer Wirkung ein Interesse zu nehmen, zur That; wo der ästhetische Zustand (der Afficirung des inneren Sinnes) nun entweder ein pathologisches oder moralisches Gefühl ist. - Das erstere ist dasjenige Gefühl, welches vor der Vorstellung des Gesetzes vorhergeht, das letztere das, was nur auf diese folgen kann.",
5.54,"Vorausgesetzt, daß ein Wille frei sei, das Gesetz zu finden, welches ihn allein nothwendig zu bestimmen tauglich ist.",
3.1192,"Es kann aber überall bloß in praktischer Beziehung das theoretisch unzureichende Fürwahrhalten Glauben genannt werden. Diese praktische Absicht ist nun entweder die der Geschicklichkeit, oder der Sittlichkeit, die erste zu beliebigen und zufälligen, die zweite aber zu schlechthin nothwendigen Zwecken.",
4.1003,"Der Wille wird als ein Vermögen gedacht, der Vorstellung gewisser Gesetze gemäß sich selbst zum Handeln zu bestimmen. Und ein solches Vermögen kann nur in vernünftigen Wesen anzutreffen sein. Nun ist das, was dem Willen zum objectiven Grunde seiner Selbstbestimmung dient, der Zweck, und dieser, wenn er durch bloße Vernunft gegeben wird, muß für alle vernünftige Wesen gleich gelten. Was dagegen bloß den Grund der Möglichkeit der Handlung enthält, deren Wirkung Zweck ist, heißt das Mittel. Der subjective Grund des Begehrens ist die Triebfeder, der objective des Wollens der Bewegungsgrund; daher der Unterschied zwischen subjectiven Zwecken, die auf Triebfedern beruhen, und objectiven, die auf Bewegungsgründe ankommen, welche für jedes vernünftige Wesen gelten. Praktische Principien sind formal, wenn sie von allen subjectiven Zwecken abstrahiren; sie sind aber material, wenn sie diese, mithin gewisse Triebfedern zum Grunde legen. Die Zwecke, die sich ein vernünftiges Wesen als Wirkungen seiner Handlung nach Belieben vorsetzt, (materiale Zwecke) sind insgesammt nur relativ; denn nur bloß ihr Verhältniß auf ein besonders geartetes Begehrungsvermögen des Subjects giebt ihnen den Werth, der daher keine allgemeine für alle vernünftige Wesen und auch nicht für jedes Wollen gültige und nothwendige Principien, d. i. praktische Gesetze, an die Hand geben kann. Daher sind alle diese relative Zwecke nur der Grund von hypothetischen Imperativen.",
7.267,Von dem willkürlichen Bewußtsein seiner Vorstellungen.,
6.410,"Es ist möglich, einen jeden äußern Gegenstand meiner Willkür als das Meine zu haben; d. i.: eine Maxime, nach welcher, wenn sie Gesetz würde, ein Gegenstand der Willkür an sich (objectiv) herrenlos ( res nullius ) werden müßte, ist rechtswidrig.",
8.203,"Zweitens wird die Freiheit zu denken auch in der Bedeutung genommen, daß ihr der Gewissenszwang entgegengesetzt ist; wo ohne alle äußere Gewalt in Sachen der Religion sich Bürger über andere zu Vormündern aufwerfen und statt Argument durch vorgeschriebene, mit ängstlicher Furcht vor der Gefahr einer eigenen Untersuchung begleitete Glaubensformeln alle Prüfung der Vernunft durch frühen Eindruck auf die Gemüther zu verbannen wissen.",
5.147,"Das Bewußtsein einer freien Unterwerfung des Willens unter das Gesetz doch als mit einem unvermeidlichen Zwange, der allen Neigungen, aber nur durch eigene Vernunft angethan wird, verbunden, ist nun die Achtung fürs Gesetz. Das Gesetz, was diese Achtung fordert und auch einflößt, ist, wie man sieht, kein anderes als das moralische (denn kein anderes schließt alle Neigungen von der Unmittelbarkeit ihres Einflusses auf den Willen aus). Die Handlung, die nach diesem Gesetze mit Ausschließung aller Bestimmungsgründe aus Neigung objectiv praktisch ist, heißt Pflicht, welche um dieser Ausschließung willen in ihrem Begriffe praktische Nöthigung, d. i. Bestimmung zu Handlungen, so ungerne, wie sie auch geschehen mögen, enthält. Das Gefühl, das aus dem Bewußtsein dieser Nöthigung entspringt, ist nicht pathologisch, als ein solches, was von einem Gegenstande der Sinne gewirkt würde, sondern allein praktisch, d. i. durch eine vorhergehende (objective) Willensbestimmung und Causalität der Vernunft, möglich. Es enthält also, als Unterwerfung unter ein Gesetz, d. i. als Gebot (welches für das sinnlich afficirte Subject Zwang ankündigt), keine Lust, sondern so fern vielmehr Unlust an der Handlung in sich. Dagegen aber, da dieser Zwang blos durch Gesetzgebung der eigenen Vernunft ausgeübt wird, enthält es auch Erhebung, und die subjective Wirkung aufs Gefühl, so fern davon reine praktische Vernunft die alleinige Ursache ist, kann also blos Selbstbilligung in Ansehung der letzteren heißen, indem man sich dazu ohne alles Interesse blos durchs Gesetz bestimmt erkennt und sich nunmehr eines ganz anderen, dadurch subjectiv hervorgebrachten Interesse, welches rein praktisch und frei ist, bewußt wird, welches an einer pflichtmäßigen Handlung zu nehmen, nicht etwa eine Neigung anräthig ist, sondern die Vernunft durchs praktische Gesetz schlechthin gebietet und auch wirklich hervorbringt, darum aber einen ganz eigenthümlichen Namen, nämlich den der Achtung, führt.",
6.730,"Wenn jemand nicht beweisen kann, daß ein Ding ist, so mag er versuchen zu beweisen, daß es nicht ist. Will es ihm mit keinem von beiden gelingen (ein Fall, der oft eintritt), so kann er noch fragen: ob es ihn interessire, das Eine oder das Andere (durch eine Hypothese) anzunehmen, und dies zwar entweder in theoretischer, oder in praktischer Rücksicht, d. i. entweder um sich bloß ein gewisses Phänomen (wie z. B. für den Astronom das des Rückganges und Stillstandes der Planeten) zu erklären, oder um einen gewissen Zweck zu erreichen, der nun wiederum entweder pragmatisch (bloßer Kunstzweck) oder moralisch, d. i. ein solcher Zweck sein kann, den sich zu setzen die Maxime selbst Pflicht ist. - Es versteht sich von selbst: daß nicht das Annehmen ( suppositio ) der Ausführbarkeit jenes Zwecks, welches ein bloß theoretisches und dazu noch problematisches Urtheil ist, hier zur Pflicht gemacht werde, denn dazu (etwas zu glauben) giebts keine Verbindlichkeit; sondern das Handeln nach der Idee jenes Zwecks, wenn auch nicht die mindeste theoretische Wahrscheinlichkeit da ist, daß er ausgeführt werden könne, dennoch aber seine Unmöglichkeit gleichfalls nicht demonstrirt werden kann, das ist es, wozu uns eine Pflicht obliegt.",
8.395,"Allerdings muß der Wille Motive haben; aber diese sind nicht gewisse vorgesetzte, aufs physische Gefühl bezogene Objecte als Zwecke, sondern nichts als das unbedingte Gesetz selbst, für welches die Empfänglichkeit des Willens, sich unter ihm als unbedingter Nöthigung zu befinden, das moralische Gefühl heißt; welches also nicht Ursache, sondern Wirkung der Willensbestimmung ist, von welchem wir nicht die mindeste Wahrnehmung in uns haben würden, wenn jene Nöthigung in uns nicht vorherginge. Daher das alte Lied: daß dieses Gefühl, mithin eine Lust, die wir uns zum Zwecke machen, die erste Ursache der Willensbestimmung, folglich die Glückseligkeit (wozu jene als Element gehöre) doch den Grund aller objectiven Nothwendigkeit zu handeln, folglich aller Verpflichtung ausmache, unter die vernünftelnden Tändeleien gehört. Kann man nämlich bei Anführung einer Ursache zu einer gewissen Wirkung nicht aufhören zu fragen, so macht man endlich die Wirkung zur Ursache von sich selbst.",
6.320,"Pflicht ist diejenige Handlung, zu welcher jemand verbunden ist. Sie ist also die Materie der Verbindlichkeit, und es kann einerlei Pflicht (der Handlung nach) sein, ob wir zwar auf verschiedene Art dazu verbunden werden können.",
2.288,"1. Ordnung und Anständigkeit, wenn sie gleich nothwendig ist, bezeichnet einen verständigen Urheber.",
5.59,"Handle so, daß die Maxime deines Willens jederzeit zugleich als Princip einer allgemeinen Gesetzgebung gelten könne.",
6.781,Vorrede.,
2.370,Vorrede.,
6.273,Vorrede.,
2.155,Vorrede.,
7.4,Vorrede.,
9.2,Vorrede.,
7.237,Vorrede.,
6.819,"Wenn von der dem Menschen überhaupt (eigentlich der Menschheit) zugehörigen Vollkommenheit gesagt wird: daß, sie sich zum Zweck zu machen, an sich selbst Pflicht sei, so muß sie in demjenigen gesetzt werden, was Wirkung von seiner That sein kann, nicht was blos Geschenk ist, das er der Natur verdanken muß; denn sonst wäre sie nicht Pflicht. Sie kann also nichts anders sein als Cultur seines Vermögens (oder der Naturanlage), in welchem der Verstand als Vermögen der Begriffe, mithin auch deren, die auf Pflicht gehen, das oberste ist, zugleich aber auch seines Willens (sittlicher Denkungsart) aller Pflicht überhaupt ein Gnüge zu thun. 1) Es ist ihm Pflicht: sich aus der Rohigkeit seiner Natur, aus der Thierheit ( quoad actum ), immer mehr zur Menschheit, durch die er allein fähig ist sich Zwecke zu setzen, empor zu arbeiten: seine Unwissenheit durch Belehrung zu ergänzen und seine Irrthümer zu verbessern, und dieses ist ihm nicht blos die technisch-praktische Vernunft zu seinen anderweitigen Absichten (der Kunst) anräthig, sondern die moralisch-praktische gebietet es ihm schlechthin und macht diesen Zweck ihm zur Pflicht, um der Menschheit, die in ihm wohnt, würdig zu sein. 2) Die Cultur seines Willens bis zur reinsten Tugendgesinnung, da nämlich das Gesetz zugleich die Triebfeder seiner pflichtmäßigen Handlungen wird, zu erheben und ihm aus Pflicht zu gehorchen, welches innere moralisch-praktische Vollkommenheit ist, die, weil es ein Gefühl der Wirkung ist, welche der in ihm selbst gesetzgebende Wille auf das Vermögen ausübt darnach zu handeln, das moralische Gefühl, gleichsam ein besonderer Sinn ( sensus moralis ), ist, der zwar freilich oft schwärmerisch, als ob er (gleich dem Genius des Sokrates) vor der Vernunft vorhergehe, oder auch ihr Urtheil gar entbehren könne, mißbraucht wird, doch aber eine sittliche Vollkommenheit ist, jeden besonderen Zweck, der zugleich Pflicht ist, sich zum Gegenstande zu machen.",
9.2457,"Darauf, daß man vieles immer wie Pflicht ansieht. Eine Handlung muß mir werth sein, nicht weil sie mit meiner Neigung stimmt, sondern weil ich dadurch meine Pflicht erfülle.",
6.125,"Hier haben wir nun eine Pflicht von ihrer eignen Art nicht der Menschen gegen Menschen, sondern des menschlichen Geschlechts gegen sich selbst. Jede Gattung vernünftiger Wesen ist nämlich objectiv, in der Idee der Vernunft, zu einem gemeinschaftlichen Zwecke, nämlich der Beförderung des höchsten als eines gemeinschaftlichen Guts, bestimmt. Weil aber das höchste sittliche Gut durch die Bestrebung der einzelnen Person zu ihrer eigenen moralischen Vollkommenheit allein nicht bewirkt wird, sondern eine Vereinigung derselben in ein Ganzes zu eben demselben Zwecke zu einem System wohlgesinnter Menschen erfordert, in welchem und durch dessen Einheit es allein zu Stande kommen kann, die Idee aber von einem solchen Ganzen, als einer allgemeinen Republik nach Tugendgesetzen, eine von allen moralischen Gesetzen (die das betreffen, wovon wir wissen, daß es in unserer Gewalt stehe) ganz unterschiedene Idee ist, nämlich auf ein Ganzes hinzuwirken, wovon wir nicht wissen können, ob es als ein solches auch in unserer Gewalt stehe: so ist die Pflicht der Art und dem Princip nach von allen andern unterschieden. - Man wird schon zum voraus vermuthen, daß diese Pflicht der Voraussetzung einer andern Idee, nämlich der eines höhern moralischen Wesens, bedürfen werde, durch dessen allgemeine Veranstaltung die für sich unzulänglichen Kräfte der Einzelnen zu einer gemeinsamen Wirkung vereinigt werden. Allein wir müssen allererst dem Leitfaden jenes sittlichen Bedürfnisses überhaupt nachgehen und sehen, worauf uns dieses führen werde.",
1.636,"Allein laßt uns sehen, wie diese Gründe, die man in den Händen der Gegner als schädlich befürchtet, vielmehr kräftige Waffen sind, sie zu bestreiten. Die nach ihren allgemeinsten Gesetzen sich bestimmende Materie bringt durch ihr natürliches Betragen, oder, wenn man es so nennen will, durch eine blinde Mechanik anständige Folgen hervor, die der Entwurf einer höchsten Weisheit zu sein scheinen. Luft, Wasser, Wärme erzeugen, wenn man sie sich selbst überlassen betrachtet, Winde und Wolken, Regen, Ströme, welche die Länder befeuchten, und alle die nützliche Folgen, ohne welche die Natur traurig, öde und unfruchtbar bleiben müßte. Sie bringen aber diese Folgen nicht durch ein bloßes Ungefähr, oder durch einen Zufall, der eben so leicht nachtheilig hätte ausfallen können, hervor, sondern man sieht: daß sie durch ihre natürliche Gesetze eingeschränkt sind auf keine andere als diese Weise zu wirken. Was soll man von dieser Übereinstimmung denn gedenken? Wie wäre es wohl möglich, daß Dinge von verschiedenen Naturen in Verbindung mit einander so vortreffliche Übereinstimmungen und Schönheiten zu bewirken trachten sollten, sogar zu Zwecken solcher Dinge, die sich gewissermaßen außer dem Umfange der todten Materie befinden, nämlich zum Nutzen der Menschen und Thiere, wenn sie nicht einen gemeinschaftlichen Ursprung erkennten, nämlich einen unendlichen Verstand, in welchem aller Dinge wesentliche Beschaffenheiten beziehend entworfen worden? Wenn ihre Naturen für sich und unabhängig nothwendig wären, was für ein erstaunliches Ungefähr, oder vielmehr was für eine Unmöglichkeit würde es nicht sein, daß sie mit ihren natürlichen Bestrebungen sich gerade so zusammen passen sollten, als eine überlegte kluge Wahl sie hätte vereinbaren können.",
2.294,"1. Die Ursache selbst der vortheilhaftesten Verfassungen in solchen allgemeinen Gesetzen, die mit einer nothwendigen Einheit außer andern anständigen Folgen auch auf die Hervorbringung dieser Wirkungen in Beziehung stehen.",
6.81,"Natürliche Neigungen sind, an sich selbst betrachtet, gut, d. i. unverwerflich, und es ist nicht allein vergeblich, sondern es wäre auch schädlich und tadelhaft, sie ausrotten zu wollen; man muß sie vielmehr nur bezähmen, damit sie sich untereinander nicht selbst aufreiben, sondern zur Zusammenstimmung in einem Ganzen, Glückseligkeit genannt, gebracht werden können. Die Vernunft aber, die dieses ausrichtet, heißt Klugheit. Nur das Moralisch-Gesetzwidrige ist an sich selbst böse, schlechterdings verwerflich, und muß ausgerottet werden; die Vernunft aber, die das lehrt, noch mehr aber, wenn sie es auch ins Werk richtet, verdient allein den Namen der Weisheit, in Vergleichung mit welcher das Laster zwar auch Thorheit genannt werden kann, aber nur alsdann, wenn die Vernunft gnugsam Stärke in sich fühlt, um es (und alle Anreize dazu) zu verachten, und nicht bloß als ein zu fürchtendes Wesen zu hassen, und sich dagegen zu bewaffnen.",
5.45,"Wenn ein vernünftiges Wesen sich seine Maximen als praktische allgemeine Gesetze denken soll, so kann es sich dieselbe nur als solche Principien denken, die nicht der Materie, sondern blos der Form nach den Bestimmungsgrund des Willens enthalten.",
6.1048,"Diejenige Vollkommenheit nämlich, zu welcher zwar das Streben, aber nicht das Erreichen derselben (in diesem Leben) Pflicht ist, deren Befolgung also nur im continuirlichen Fortschreiten bestehen kann, ist in Hinsicht auf das Object (die Idee, deren Ausführung man sich zum Zweck machen soll) zwar enge und vollkommene, in Rücksicht aber auf das Subject weite und nur unvollkommene Pflicht gegen sich selbst.",
5.149,"Es ist von der größten Wichtigkeit in allen moralischen Beurtheilungen auf das subjective Princip aller Maximen mit der äußersten Genauigkeit acht zu haben, damit alle Moralität der Handlungen in der Nothwendigkeit derselben aus Pflicht und aus Achtung fürs Gesetz, nicht aus Liebe und Zuneigung zu dem, was die Handlungen hervorbringen sollen, gesetzt werde. Für Menschen und alle erschaffene vernünftige Wesen ist die moralische Nothwendigkeit Nöthigung, d. i. Verbindlichkeit, und jede darauf gegründete Handlung als Pflicht, nicht aber als eine uns von selbst schon beliebte, oder beliebt werden könnende Verfahrungsart vorzustellen. Gleich als ob wir es dahin jemals bringen könnten, daß ohne Achtung fürs Gesetz, welche mit Furcht oder wenigstens Besorgniß vor Übertretung verbunden ist, wir wie die über alle Abhängigkeit erhabene Gottheit von selbst, gleichsam durch eine uns zur Natur gewordene, niemals zu verrückende Übereinstimmung des Willens mit dem reinen Sittengesetze (welches also, da wir niemals versucht werden könnten, ihm untreu zu werden, wohl endlich gar aufhören könnte für uns Gebot zu sein), jemals in den Besitz einer Heiligkeit des Willens kommen könnten.",
9.487,"§. 21. Quantität der Urtheile: Allgemeine, Besondre, Einzelne.",
2.45,Neue Begriffe der Bewegung und Ruhe.,
2.53,2) Wirkung und Gegenwirkung ist in dem Stoße der Körper immer gleich.,
9.485,"§. 20. Logische Formen der Urtheile: Quantität, Qualität, Relation und Modalität.",
7.78,Resultat.,
2.194,Dritte Betrachtung. Von dem schlechterdings nothwendigen Dasein.,
7.852,C. Gewalt ohne Freiheit und Gesetz (Barbarei). D. Gewalt mit Freiheit und Gesetz (Republik).,
3.472,2. Einstimmung und Widerstreit. Wenn Realität nur durch den,
2.575,Nachschrift.,
9.608,II . Vernunftschlüsse.,
9.1883,f . Pelikan.,
9.2190,Die Küste Sofala.,
7.419,A. Vom Gedächtniß.,
9.2224,Der dritte Welttheil. Europa.,
9.1922,o . Harzbäume.,
9.1678,E. Fünfklauichte Thiere.,
2.135,In der vierten Figur sind keine andere wie vermischte Vernunftschlüsse möglich.,
9.1731,k . Das Fuchsgeschlecht.,
7.352,Fragen.,
9.311,Der erste Grad der Erkenntniß ist: sich etwas vorstellen;,
9.793,"3) ob sie als ein deutlicher Begriff auch ausführlich, und endlich",
3.476,"4. Materie und Form. Dieses sind zwei Begriffe, welche aller",
6.799,"II. Erörterung des Begriffs von einem Zwecke, der zugleich Pflicht ist.",
