ID,Absatz,Der Wille in der Welt existiert.
2.213,1. Das nothwendige Wesen ist ein Geist.,0
2.643,"Der zweite Theil, welcher historisch ist.",0
5.342,§ 1. Das Geschmacksurtheil ist ästhetisch.,0
8.687,Nachschrift eines Freundes.,0
2.661,"Alle Menschen stehen seiner Aussage nach in gleich inniglicher Verbindung mit der Geisterwelt; nur sie empfinden es nicht, und der Unterschied zwischen ihm und den andern besteht nur darin, daß sein Innerstes aufgethan ist, von welchem Geschenke er jederzeit mit Ehrerbietigkeit redet ( datum mihi est ex divina Domini misericordia ). Man sieht aus dem Zusammenhange, daß diese Gabe darin bestehen soll, sich der dunkelen Vorstellungen bewußt zu werden, welche die Seele durch ihre beständige Verknüpfung mit der Geisterwelt empfängt. Er unterscheidet daher an dem Menschen das äußere und innere Gedächtniß. Jenes hat er als eine Person, die zu der sichtbaren Welt gehört, dieses aber kraft seines Zusammenhanges mit der Geisterwelt. Darauf gründet sich auch der Unterschied des äußeren und inneren Menschen, und sein eigener Vorzug besteht darin, daß er schon in diesem Leben als eine Person sich in der Gesellschaft der Geister sieht und von ihnen auch als eine solche erkannt wird. In diesem innern Gedächtniß wird auch alles aufbehalten, was aus dem äußeren verschwunden war, und es geht nichts von allen Vorstellungen eines Menschen jemals verloren. Nach dem Tode ist die Erinnerung alles desjenigen, was jemals in seine Seele kam und was ihm selbst ehedem verborgen blieb, das vollständige Buch seines Lebens.",0
6.50,III. Der Mensch ist von Natur böse.,0
9.2276,"Disciplin oder Zucht ändert die Thierheit in die Menschheit um. Ein Thier ist schon alles durch seinen Instinct; eine fremde Vernunft hat bereits Alles für dasselbe besorgt. Der Mensch aber braucht eigene Vernunft. Er hat keinen Instinct und muß sich selbst den Plan seines Verhaltens machen. Weil er aber nicht sogleich im Stande ist, dieses zu thun, sondern roh auf die Welt kommt: so müssen es Andere für ihn thun.",0
6.168,"Das ist also die menschlichen Augen unbemerkte, aber beständig fortgehende Bearbeitung des guten Princips, sich im menschlichen Geschlecht als einem gemeinen Wesen nach Tugendgesetzen eine Macht und ein Reich zu errichten, welches den Sieg über das Böse behauptet und unter seiner Herrschaft der Welt einen ewigen Frieden zusichert.",6
8.429,"Es muß in jedem gemeinen Wesen ein Gehorsam unter dem Mechanismus der Staatsverfassung nach Zwangsgesetzen (die aufs Ganze gehen), aber zugleich ein Geist der Freiheit sein, da jeder in dem, was allgemeine Menschenpflicht betrifft, durch Vernunft überzeugt zu sein verlangt, daß dieser Zwang rechtmäßig sei, damit er nicht mit sich selbst in Widerspruch gerathe. Der erstere ohne den letzteren ist die veranlassende Ursache aller geheimen Gesellschaften. Denn es ist ein Naturberuf der Menschheit, sich vornehmlich in dem, was den Menschen überhaupt angeht, einander mitzutheilen; jene Gesellschaften also würden wegfallen, wenn diese Freiheit begünstigt wird. Und wodurch anders können auch der Regierung die Kenntnisse kommen, die ihre eigene wesentliche Absicht befördern, als daß sie den in seinem Ursprung und in seinen Wirkungen so achtungswürdigen Geist der Freiheit sich äußern läßt?",3
7.190,Von der Macht des Gemüths des Menschen über seine krankhafte Gefühle durch den bloßen festen Vorsatz Meister zu sein.,3
8.171,Beschluß der Geschichte.,0
6.836,"a) Physische, d. i. Cultur aller Vermögen überhaupt zu Beförderung der durch die Vernunft vorgelegten Zwecke. Daß dieses Pflicht, mithin an sich selbst Zweck sei, und jener Bearbeitung auch ohne Rücksicht auf den Vortheil, den sie uns gewährt, nicht ein bedingter (pragmatischer), sondern unbedingter (moralischer) Imperativ zum Grunde liege, ist hieraus zu ersehen. Das Vermögen sich überhaupt irgend einen Zweck zu setzen ist das charakteristische der Menschheit (zum Unterschiede von der Thierheit). Mit dem Zwecke der Menschheit in unserer eigenen Person ist also auch der Vernunftwille, mithin die Pflicht verbunden, sich um die Menschheit durch Cultur überhaupt verdient zu machen, sich das Vermögen zu Ausführung allerlei möglichen Zwecke, so fern dieses in dem Menschen selbst anzutreffen ist, zu verschaffen oder es zu fördern, d. i. eine Pflicht zur Cultur der rohen Anlagen seiner Natur, als wodurch das Thier sich allererst zum Menschen erhebt: mithin Pflicht an sich selbst.",2
9.2425,"Viele haben den Abschnitt der Moral, der die Lehre von den Pflichten gegen sich selbst enthält, ganz übersehen oder falsch erklärt, wie Crugott. Die Pflicht gegen sich selbst aber besteht, wie gesagt, darin, daß der Mensch die Würde der Menschheit in seiner eignen Person bewahre. Er tadelt sich, wenn er die Idee der Menschheit vor Augen hat. Er hat ein Original in seiner Idee, mit dem er sich vergleicht. Wenn die Zahl der Jahre anwächst, wenn die Neigung zum Geschlechte sich zu regen beginnt, dann ist der kritische Zeitpunkt, in dem die Würde des Menschen allein im Stande ist, den Jüngling in Schranken zu halten. Frühe muß man aber dem Jünglinge Winke geben, wie er sich vor diesem oder jenem zu bewahren habe. *)",0
8.443,"Die menschliche Natur erscheint nirgend weniger liebenswürdig, als im Verhältnisse ganzer Völker gegen einander. Kein Staat ist gegen den andern wegen seiner Selbstständigkeit oder seines Eigenthums einen Augenblick gesichert. Der Wille einander zu unterjochen oder an dem Seinen zu schmälern ist jederzeit da; und die Rüstung zur Vertheidigung, die den Frieden oft noch drückender und für die innere Wohlfahrt zerstörender macht, als selbst den Krieg, darf nie nachlassen. Nun ist hierwider kein anderes Mittel, als ein auf öffentliche mit Macht begleitete Gesetze, denen sich jeder Staat unterwerfen müßte, gegründetes Völkerrecht (nach der Analogie eines bürgerlichen oder Staatsrechts einzelner Menschen) möglich; - denn ein daurender allgemeiner Friede durch die so genannte Balance der Mächte in Europa ist, wie Swifts haus, welches von einem Baumeister so vollkommen nach allen Gesetzen des Gleichgewichts erbauet war, daß, als sich ein Sperling drauf setzte, es sofort einfiel, ein bloßes Hirngespinst. - Aber solchen Zwangsgesetzen, wird man sagen, werden sich Staaten doch nie unterwerfen; und der Vorschlag zu einem allgemeinen Völkerstaat, unter dessen Gewalt sich alle einzelne Staaten freiwillig bequemen sollen, um seinen Gesetzen zu gehorchen, mag in der Theorie eines Abbß von St. Pierre, oder eines Rousseau noch so artig klingen, so gilt er doch nicht für die Praxis; wie er denn auch von großen Staatsmännern, mehr aber noch von Staatsoberhäuptern als eine pedantisch-kindische aus der Schule hervorgetretene Idee jederzeit ist verlacht worden.",1
8.43,"Das größte Problem für die Menschengattung, zu dessen Auflösung die Natur ihn zwingt, ist die Erreichung einer allgemein das Recht verwaltenden bürgerlichen Gesellschaft. Da nur in der Gesellschaft und zwar derjenigen, die die größte Freiheit, mithin einen durchgängigen Antagonism ihrer Glieder und doch die genauste Bestimmung und Sicherung der Grenzen dieser Freiheit hat, damit sie mit der Freiheit anderer bestehen könne, - da nur in ihr die höchste Absicht der Natur, nämlich die Entwickelung aller ihrer Anlagen, in der Menschheit erreicht werden kann, die Natur auch will, daß sie diesen so wie alle Zwecke ihrer Bestimmung sich selbst verschaffen solle: so muß eine Gesellschaft, in welcher Freiheit unter äußeren Gesetzen im größtmöglichen Grade mit unwiderstehlicher Gewalt verbunden angetroffen wird, d. i. eine vollkommen gerechte bürgerliche Verfassung, die höchste Aufgabe der Natur für die Menschengattung sein, weil die Natur nur vermittelst der Auflösung und Vollziehung derselben ihre übrigen Absichten mit unserer Gattung erreichen kann. In diesen Zustand des Zwanges zu treten, zwingt den sonst für ungebundene Freiheit so sehr eingenommenen Menschen die Noth; und zwar die größte unter allen, nämlich die, welche sich Menschen unter einander selbst zufügen, deren Neigungen es machen, daß sie in wilder Freiheit nicht lange neben einander bestehen können. Allein in einem solchen Gehege, als bürgerliche Vereinigung ist, thun eben dieselben Neigungen hernach die beste Wirkung: so wie Bäume in einem Walde eben dadurch, daß ein jeder dem andern Luft und Sonne zu benehmen sucht, einander nöthigen beides über sich zu suchen und dadurch einen schönen geraden Wuchs bekommen; statt daß die, welche in Freiheit und von einander abgesondert ihre Äste nach Wohlgefallen treiben, krüppelig, schief und krumm wachsen. Alle Cultur und Kunst, welche die Menschheit ziert, die schönste gesellschaftliche Ordnung sind Früchte der Ungeselligkeit, die durch sich selbst genöthigt wird sich zu discipliniren und so durch abgedrungene Kunst die Keime der Natur vollständig zu entwickeln.",2
8.37,"Am Menschen (als dem einzigen vernünftigen Geschöpf auf Erden) sollten sich diejenigen Naturanlagen, die auf den Gebrauch seiner Vernunft abgezielt sind, nur in der Gattung, nicht aber im Individuum vollständig entwickeln. Die Vernunft in einem Geschöpfe ist ein Vermögen, die Regeln und Absichten des Gebrauchs aller seiner Kräfte weit über den Naturinstinct zu erweitern, und kennt keine Grenzen ihrer Entwürfe. Sie wirkt aber selbst nicht instinctmäßig, sondern bedarf Versuche, Übung und Unterricht, um von einer Stufe der Einsicht zur andern allmählig fortzuschreiten. Daher würde ein jeder Mensch unmäßig lange leben müssen, um zu lernen, wie er von allen seinen Naturanlagen einen vollständigen Gebrauch machen solle; oder wenn die Natur seine Lebensfrist nur kurz angesetzt hat (wie es wirklich geschehen ist), so bedarf sie vielleicht einer unabsehlichen Reihe von Zeugungen, deren eine der andern ihre Aufklärung überliefert, um endlich ihre Keime in unserer Gattung zu derjenigen Stufe der Entwicklung zu treiben, welche ihrer Absicht vollständig angemessen ist. Und dieser Zeitpunkt muß wenigstens in der Idee des Menschen das Ziel seiner Bestrebungen sein, weil sonst die Naturanlagen größtentheils als vergeblich und zwecklos angesehen werden müßten; welches alle praktischen Principien aufheben und dadurch die Natur, deren Weisheit in Beurtheilung aller übrigen Anstalten sonst zum Grundsatze dienen muß, am Menschen allein eines kindischen Spiels verdächtig machen würde.",0
6.104,"Der Mensch war ursprünglich zum Eigenthümer aller Güter der Erde eingesetzt (1. Mos. 1,28), doch daß er diese nur als sein Untereigenthum ( dominium utile ) unter seinem Schöpfer und Herrn als Obereigenthümer ( dominus directus ) besitzen sollte. Zugleich wird ein böses Wesen (wie es so böse geworden, um seinem Herrn untreu zu werden, da es doch uranfänglich gut war, ist nicht bekannt) aufgestellt, welches durch seinen Abfall alles Eigenthums, das es im Himmel besessen haben mochte, verlustig geworden und sich nun ein anderes auf Erden erwerben will. Da ihm nun als einem Wesen höherer Art - als einem Geiste - irdische und körperliche Gegenstände keinen Genuß gewähren können, so sucht er eine Herrschaft über die Gemüther dadurch zu erwerben, daß er die Stammältern aller Menschen von ihrem Oberherrn abtrünnig und ihm anhängig macht, da es ihm dann gelingt, sich so zum Obereigenthümer aller Güter der Erde, d. i. zum Fürsten dieser Welt, aufzuwerfen. Nun könnte man hierbei zwar es bedenklich finden: warum sich Gott gegen diesen Verräther nicht seiner Gewalt bediente *) und das Reich, was er zu stiften zur Absicht hatte, lieber in seinem Anfange vernichtete; aber die Beherrschung und Regierung der höchsten Weisheit über vernünftige Wesen verfährt mit ihnen nach dem Princip ihrer Freiheit, und was sie Gutes oder Böses treffen soll, das sollen sie sich selbst zuzuschreiben haben. Hier war also dem guten Princip zum trotz ein Reich des Bösen errichtet, welchem alle von Adam (natürlicherweise) abstammende Menschen unterwürfig wurden und zwar mit ihrer eignen Einwilligung, weil das Blendwerk der Güter dieser Welt ihre Blicke von dem Abgrunde des Verderbens abzog, für das sie aufgespart wurden. Zwar verwahrte sich das gute Princip wegen seines Rechtsanspruchs an der Herrschaft über den Menschen durch die Errichtung der Form einer Regierung, die bloß auf öffentliche alleinige Verehrung seines Namens angeordnet war (in der jüdischen Theokratie); da aber die Gemüther der Unterthanen in derselben für keine andere Triebfedern als die Güter dieser Welt gestimmt blieben, und sie also auch nicht anders als durch Belohnungen und Strafen in diesem Leben regiert sein wollten, dafür aber auch keiner andern Gesetze fähig waren als solcher, welche theils lästige Ceremonien und Gebräuche auferlegten, theils zwar sittliche, aber nur solche, wobei ein äußerer Zwang statt fand, also nur bürgerliche waren, wobei das Innere der moralischen Gesinnung gar nicht in Betrachtung kam: so That diese Anordnung dem Reiche der Finsterniß keinen wesentlichen Abbruch, sondern diente nur dazu, um das unauslöschliche Recht des ersten Eigenthümers immer im Andenken zu erhalten. - Nun erschien in eben demselben Volke zu einer Zeit, da es alle Übel einer hierarchischen Verfassung in vollem Maße fühlte, und das sowohl dadurch, als vielleicht durch die den Sklavensinn erschütternden moralischen Freiheitslehren der griechischen Weltweisen, die auf dasselbe allmählig Einfluß bekommen hatten, großentheils zum Besinnen gebracht, mithin zu einer Revolution reif war, auf einmal eine Person, deren Weisheit noch reiner als die der bisherigen Philosophen, wie vom Himmel herabgekommen war, und die sich auch selbst, was ihre Lehren und Beispiel betraf, zwar als wahren Menschen, aber doch als einen Gesandten solchen Ursprungs ankündigte, der in ursprünglicher Unschuld in dem Vertrage, den das übrige Menschengeschlecht durch seinen Repräsentanten, den ersten Stammvater, mit dem bösen Princip eingegangen, nicht mitbegriffen war,† *) und ""an dem der Fürst dieser Welt also keinen Theil hatte"". Hierdurch war des letztern Herrschaft in Gefahr gesetzt. Denn widerstand dieser Gott wohlgefällige Mensch seinen Versuchungen, jenem Contract auch beizutreten, nahmen andere Menschen auch dieselbe Gesinnung gläubig an, so büßte er eben soviel Unterthanen ein, und sein Reich lief Gefahr, gänzlich zerstört zu werden. Dieser bot ihm also an, ihn zum Lehnsträger seines ganzen Reichs zu machen, wenn er ihm nur als Eigenthümer desselben huldigen wollte. Da dieser Versuch nicht gelang, so entzog er nicht allein diesem Fremdlinge auf seinem Boden alles, was ihm sein Erdenleben angenehm machen konnte (bis zur größten Armuth), sondern erregte gegen ihn alle Verfolgungen, wodurch böse Menschen es verbittern können, Leiden, die nur der Wohlgesinnte recht tief fühlt, Verleumdung der lautern Absicht seiner Lehren (um ihm allen Anhang zu entziehen) und verfolgte ihn bis zum schmählichsten Tode, ohne gleichwohl durch diese Bestürmung seiner Standhaftigkeit und Freimüthigkeit in Lehre und Beispiel für das beste von lauter Unwürdigen im mindesten etwas gegen ihn auszurichten. Und nun der Ausgang dieses Kampfs! Der Ausschlag desselben kann als ein rechtlicher, oder auch als ein physischer betrachtet werden. Wenn man den letztern ansieht (der in die Sinne fällt), so ist das gute Princip der unterliegende Theil; er mußte in diesem Streite nach vielen erlittenen Leiden sein Leben hingeben,† *) weil er in einer fremden Herrschaft (die Gewalt hat) einen Aufstand erregte. Da aber das Reich, in welchem Principien machthabend sind (sie mögen nun gut oder böse sein), nicht ein Reich der Natur, sondern der Freiheit ist, d. i. ein solches, in welchem man über die Sachen nur in sofern disponiren kann, als man über die Gemüther herrscht, in welchem also niemand Sklave (Leibeigner) ist als der - und solange er es sein will: so war eben dieser Tod (die höchste Stufe der Leiden eines Menschen) die Darstellung des guten Princips, nämlich der Menschheit, in ihrer moralischen Vollkommenheit, als Beispiel der Nachfolge für jedermann. Die Vorstellung desselben sollte und konnte auch für seine, ja sie kann für jede Zeit vom größtem Einflusse auf menschliche Gemüther sein, indem es die Freiheit der Kinder des Himmels und die Knechtschaft eines bloßen Erdensohns in dem allerauffallendsten Contraste sehen läßt, das gute Princip ist aber nicht bloß zu einer gewissen Zeit, sondern von dem Ursprunge des menschlichen Geschlechts an unsichtbarerweise vom Himmel in die Menschheit herabgekommen gewesen (wie ein jeder, der auf seine Heiligkeit und zugleich die Unbegreiflichkeit der Verbindung derselben mit der sinnlichen Natur des Menschen in der moralischen Anlage Acht hat, gestehen muß) und hat in ihr rechtlicherweise seinen ersten Wohnsitz. Da es also in einem wirklichen Menschen als einem Beispiele für alle andere erschien, ""so kam er in sein Eigenthum, und die Seinen nahmen ihn nicht auf, denen aber, die ihn aufnahmen, hat er Macht gegeben, Gottes Kinder zu heißen, die an seinen Namen glauben""; d. i. durch das Beispiel desselben (in der moralischen Idee) eröffnet er die Pforte der Freiheit für jedermann, die eben so wie er Allem dem absterben wollen, was sie zum Nachtheil der Sittlichkeit an das Erdenleben gefesselt hält, und sammelt sich unter diesen ""ein Volk, das fleißig wäre in guten Werken, zum Eigenthum"" und unter seine Herrschaft, indessen daß er die, so die moralische Knechtschaft vorziehen, der ihrigen überläßt.",2
8.168,"Und so war der Mensch in eine Gleichheit mit allen vernünftigen Wesen, von welchem Range sie auch sein mögen, getreten ( III , 22): nämlich in Ansehung des Anspruchs selbst Zweck zu sein, von jedem anderen auch als ein solcher geschätzt und von keinem bloß als Mittel zu anderen Zwecken gebraucht zu werden. Hierin und nicht in der Vernunft, wie sie bloß als ein Werkzeug zu Befriedigung der mancherlei Neigungen betrachtet wird, steckt der Grund der so unbeschränkten Gleichheit des Menschen selbst mit höheren Wesen, die ihm an Naturgaben sonst über alle Vergleichung vorgehen möchten, deren keines aber darum ein Recht hat, über ihn nach bloßem Belieben zu schalten und zu walten. Dieser Schritt ist daher zugleich mit Entlassung desselben aus dem Mutterschooße der Natur verbunden: eine Veränderung, die zwar ehrend, aber zugleich sehr gefahrvoll ist, indem sie ihn aus dem harmlosen und sicheren Zustande der Kindespflege, gleichsam aus einem Garten, der ihn ohne seine Mühe versorgte, heraustrieb (V. 23) und ihn in die weite Welt stieß, wo so viel Sorgen, Mühe und unbekannte Übel auf ihn warten. Künftig wird ihm die Mühseligkeit des Lebens öfter den Wunsch nach einem Paradiese, dem Geschöpfe seiner Einbildungskraft, wo er in ruhiger Unthätigkeit und beständigem Frieden sein Dasein verträumen oder vertändeln könne, ablocken. Aber es lagert sich zwischen ihm und jenem eingebildeten Sitz der Wonne die rastlose und zur Entwickelung der in ihn gelegten Fähigkeiten unwiderstehlich treibende Vernunft und erlaubt es nicht, in den Stand der Rohigkeit und Einfalt zurück zu kehren, aus dem sie ihn gezogen hatte (V. 24). Sie treibt ihn an, die Mühe, die er haßt, dennoch geduldig über sich zu nehmen, dem Flitterwerk, das er verachtet, nachzulaufen und den Tod selbst, vor dem ihn grauet, über alle jene Kleinigkeiten, deren Verlust er noch mehr scheuet, zu vergessen.",3
2.823,"Niemals ist wohl eine billigere Forderung an das menschliche Geschlecht gethan und niemals ein so großer und sich selbst ausbreitender Nutze dafür uneigennützig angeboten worden, als es hier von Herren Basedow geschieht, der sich sammt seinen ruhmwürdigen Mitgehülfen hiemit der Wohlfahrt und Verbesserung der Menschen feierlich geweiht hat. Das, woran gute und schlechte Köpfe Jahrhunderte hindurch gebrütet haben, was aber ohne den feurigen und standhaften Eifer eines einzigen einsehenden und rüstigen Mannes noch eben so viel Jahrhunderte in dem Schooße frommer Wünsche würde geblieben sein, nämlich die ächte, der Natur sowohl als allen bürgerlichen Zwecken angemessene Erziehungsanstalt, das steht jetzt mit seinen unerwartet schnellen Wirkungen wirklich da und fordert fremde Beihülfe auf, nur um sich, so wie sie jetzt da ist, zu erweitern, ihren Samen über andere Länder auszustreuen und ihre Gattung zu verewigen. Denn darin hat das, was nur die Entwickelung der in der Menschheit liegenden natürlichen Anlagen ist, einerlei Eigenschaft mit der allgemeinen Mutter Natur: daß sie ihre Samen nicht ausgehen läßt, sondern sich selbst vervielfältigt und ihre Gattung erhält. Jedem gemeinen Wesen, jedem einzelnen Weltbürger ist unendlich daran gelegen, eine Anstalt kennen zu lernen, wodurch eine ganz neue Ordnung menschlicher Dinge anhebt (man kann sich von derselben in diesem Archiv und der Basedow'schen Schrift: Für Kosmopoliten Etwas zu lesen etc. etc. belehren), und die, wenn sie schnell ausgebreitet wird, eine so große und so weit hinaussehende Reform im Privatleben sowohl, als im bürgerlichen Wesen hervorbringen muß, als man sich bei flüchtigem Blick nicht leicht vorstellen möchte. Um deswillen ist es auch der eigentliche Beruf jedes Menschenfreundes, diesen noch zarten Keim, so viel an ihm ist, mit Sorgfalt zu pflegen, zu beschützen, oder ihn wenigstens dem Schutze derer, die mit einem guten Willen das Vermögen verbinden Gutes zu thun, unablässig zu empfehlen; denn wenn er, wie der glückliche Anfang hoffen läßt, einmal zum vollständigen Wachsthume gelangt sein wird, so werden die Früchte desselben sich bald in alle Länder und bis zur spätesten Nachkommenschaft verbreiten. Der 13te Mai ist in dieser Absicht ein wichtiger Tag. Auf denselben ladet der seiner Sache gewisse Mann die gelehrteste und einsehendste Männer benachbarter Städte und Universitäten zum Schauen desjenigen ein, was sie bloßen Erzählungen zu glauben schwerlich würden bewogen werden können. Das Gute hat eine unwiderstehliche Gewalt, wenn es angeschauet wird. Die Stimme verdienstvoller und beglaubigter Deputirter der Menschheit (wovon wir eine gute Anzahl zu diesem Congresse wünschen) müßte die Aufmerksamkeit Europens auf das, was sie so nahe angeht, nothwendig rege machen und es zur thätigen Theilnehmung an einer so gemeinnützigen Anstalt bewegen. Jetzt muß es schon jedem Menschenfreunde zum größten Vergnügen und zu nicht minder reizender Hoffnung der Nachfolge eines so edlen Beispiels gereichen: daß (wie in der letzteren Zeitung gemeldet worden) das Philanthropin durch eine ansehnliche Beihülfe von hoher Hand wegen seiner Fortdauer gesichert worden. Es ist bei solchen Umständen auch nicht zu zweifeln: daß nicht von allerlei Gegenden Pensionisten hinzu eilen sollten, um sich in dieser Anstalt die Plätze, daran es vielleicht bald gebrechen möchte, zu versichern; was aber denen, die eine schnelle Ausbreitung des Guten sehnlich wünschen, am meisten am Herzen liegt, nämlich das Absenden geschickter Candidaten nach Dessau, um sich in der philanthropischen Erziehungsart zu belehren und zu üben, dieses einzige Mittel, in kurzem allerwärts gute Schulen zu haben, das scheint eine ungesäumte Aufmerksamkeit und großmüthigen Beistand vermögender Gönner vorzüglich zu erfordern. In Erwartung: daß dieser Wunsch auch bald in seine Erfüllung gehe, ist es allen Lehrern sowohl in der Privat- als öffentlichen Schulunterweisung sehr zu empfehlen: sich der Basedow'schen Schriften und von ihm herausgegebenen Schulbücher sowohl zu eigener Belehrung, als der letzteren zur Übung ihrer anvertrauten Jugend zu bedienen und dadurch, so viel als vorläufig geschehen kann, ihre Unterweisung schon jetzt philanthropisch zu machen. Kostet in der Kanterschen Buchhandlung 15 gr.",4
7.547,"Die wichtigste Revolution in dem Innern des Menschen ist: ""der Ausgang desselben aus seiner selbstverschuldeten Unmündigkeit."" Statt dessen, daß bis dahin andere für ihn dachten und er blos nachahmte oder am Gängelbande sich leiten ließ, wagt er es jetzt, mit eigenen Füßen auf dem Boden der Erfahrung, wenn gleich noch wackelnd, fortzuschreiten.",6
