ID,Absatz,freier Wille
3.429,Lehrsatz.,
8.534,Zweiter Zusatz. Geheimer Artikel zum ewigen Frieden.,
9.2055,Essen und Trinken.,
7.183,Beschluß.,
7.222,Beschluß.,
6.1196,Beschluß.,
6.772,Beschluß.,
6.729,Beschluß.,
1.1242,Beschluß.,
9.1799,Meerwunder.,
9.1813,f . Der chinesische Goldfisch.,
9.2231,Italien.,
8.93,Über die Vulkane im Monde.,
9.2094,Indostan.,
9.1848,Bienen. - Seidenwürmer.,
6.1065,Von der Liebespflicht insbesondere. § 26.,
5.511,"Wider diese Auflösung des Begriffs des Erhabenen, sofern dieses der Macht beigelegt wird, scheint zu streiten: daß wir Gott im Ungewitter, im Sturm, im Erdbeben u. d. gl. als im Zorn, zugleich aber auch in seiner Erhabenheit sich darstellend vorstellig zu machen pflegen, wobei doch die Einbildung einer Überlegenheit unseres Gemüths über die Wirkungen und, wie es scheint, gar über die Absichten einer solchen Macht Thorheit und Frevel zugleich sein würde. Hier scheint kein Gefühl der Erhabenheit unserer eigenen Natur, sondern vielmehr Unterwerfung, Niedergeschlagenheit und Gefühl der gänzlichen Ohnmacht die Gemüthsstimmung zu sein, die sich für die Erscheinung eines solchen Gegenstandes schickt und auch gewöhnlichermaßen mit der Idee desselben bei dergleichen Naturbegebenheit verbunden zu sein pflegt. In der Religion überhaupt scheint niederwerfen, Anbetung mit niederhängendem Haupte, mit zerknirschten, angstvollen Geberden und Stimmen das einzig schickliche Benehmen in Gegenwart der Gottheit zu sein, welches daher auch die meisten Völker angenommen haben und noch beobachten. Allein diese Gemüthsstimmung ist auch bei weitem nicht mit der Idee der Erhabenheit einer Religion und ihres Gegenstandes an sich und nothwendig verbunden. Der Mensch, der sich wirklich fürchtet, weil er dazu in sich Ursache findet, indem er sich bewußt ist, mit seiner verwerflichen Gesinnung wider eine Macht zu verstoßen, deren Wille unwiderstehlich und zugleich gerecht ist, befindet sich gar nicht in der Gemüthsfassung, um die göttliche Größe zu bewundern, wozu eine Stimmung zur ruhigen Contemplation und ganz freies Urtheil erforderlich ist. Nur alsdann, wenn er sich seiner aufrichtigen gottgefälligen Gesinnung bewußt ist, dienen jene Wirkungen der Macht, in ihm die Idee der Erhabenheit dieses Wesens zu erwecken, sofern er eine dessen Willen gemäße Erhabenheit der Gesinnung bei sich selbst erkennt und dadurch über die Furcht vor solchen Wirkungen der Natur, die er nicht als Ausbrüche seines Zorns ansieht, erhoben wird. Selbst die Demuth als unnachsichtliche Beurtheilung seiner Mängel, die sonst beim Bewußtsein guter Gesinnungen leicht mit der Gebrechlichkeit der menschlichen Natur bemäntelt werden könnten, ist eine erhabene Gemüthsstimmung, sich willkürlich dem Schmerze der Selbstverweise zu unterwerfen, um die Ursache dazu nach und nach zu vertilgen. Auf solche Weise allein unterscheidet sich innerlich Religion von Superstition, welche letztere nicht Ehrfurcht für das Erhabene, sondern Furcht und Angst vor dem übermächtigen Wesen, dessen Willen der erschreckte Mensch sich unterworfen sieht, ohne ihn doch hochzuschätzen, im Gemüthe gründet: woraus denn freilich nichts als Gunstbewerbung und Einschmeichelung statt einer Religion des guten Lebenswandels entspringen kann.",
6.71,"Die Wiederherstellung der ursprünglichen Anlage zum Guten in uns ist also nicht Erwerbung einer verlornen Triebfeder zum Guten; denn diese, die in der Achtung fürs moralische Gesetz besteht, haben wir nie verlieren können, und wäre das letztere möglich, so würden wir sie auch nie wieder erwerben. Sie ist also nur die Herstellung der Reinigkeit desselben, als obersten Grundes aller unserer Maximen, nach welcher dasselbe nicht bloß mit andern Triebfedern verbunden, oder wohl gar diesen (den Neigungen) als Bedingungen untergeordnet, sondern in seiner ganzen Reinigkeit als für sich zureichende Triebfeder der Bestimmung der Willkür in dieselbe aufgenommen werden soll. Das ursprünglich Gute ist die Heiligkeit der Maximen in Befolgung seiner Pflicht, mithin blos aus Pflicht, wodurch der Mensch, der diese Reinigkeit in seine Maxime aufnimmt, obzwar darum noch nicht selbst heilig (denn zwischen der Maxime und der That ist noch ein großer Zwischenraum), dennoch auf dem Wege dazu ist, sich ihr im unendlichen Fortschritt zu nähern. Der zur Fertigkeit gewordene feste Vorsatz in Befolgung seiner Pflicht heißt auch Tugend der Legalität nach als ihrem empirischen Charakter ( virtus phaenomenon ). Sie hat also die beharrliche Maxime gesetzmäßiger Handlungen; die Triebfeder, deren die Willkür hiezu bedarf, mag man nehmen, woher man wolle. Daher wird Tugend in diesem Sinne nach und nach erworben und heißt Einigen eine lange Gewohnheit (in Beobachtung des Gesetzes), durch die der Mensch vom Hange zum Laster durch allmählige Reformen seines Verhaltens und Befestigung seiner Maximen in einen entgegengesetzten Hang übergekommen ist. Dazu ist nun nicht eben eine Herzensänderung nöthig, sondern nur eine Änderung der Sitten. Der Mensch findet sich tugendhaft, wenn er sich in Maximen, seine Pflicht zu beobachten, befestigt fühlt: obgleich nicht aus dem obersten Grunde aller Maximen, nämlich aus Pflicht; sondern der Unmäßige z. B. kehrt zur Mäßigkeit um der Gesundheit, der Lügenhafte zur Wahrheit um der Ehre, der Ungerechte zur bürgerlichen Ehrlichkeit um der Ruhe oder des Erwerbs willen u. s. w. zurück; alle nach dem gepriesenen Princip der Glückseligkeit. Daß aber jemand nicht bloß ein gesetzlich, sondern ein moralisch guter (Gott wohlgefälliger) Mensch, d. i. tugendhaft nach dem intelligiblen Charakter ( virtus Noumenon ), werde, welcher, wenn er etwas als Pflicht erkennt, keiner andern Triebfeder weiter bedarf, als dieser Vorstellung der Pflicht selbst: das kann nicht durch allmählige Reform, so lange die Grundlage der Maximen unlauter bleibt, sondern muß durch eine Revolution in der Gesinnung im Menschen (einen Übergang zur Maxime der Heiligkeit derselben) bewirkt werden; und er kann ein neuer Mensch nur durch eine Art von Wiedergeburt gleich als durch eine neue Schöpfung (Ev. Joh. III , 5; verglichen mit 1. Mose I , 2) und Änderung des Herzens werden.",
5.946,"Setzet einen Menschen in den Augenblicken der Stimmung seines Gemüths zur moralischen Empfindung! Wenn er sich, umgeben von einer schönen Natur, in einem ruhigen, heitern Genusse seines Daseins befindet, so fühlt er in sich ein Bedürfniß, irgend jemand dafür dankbar zu sein. Oder er sehe sich ein andermal in derselben Gemüthsverfassung im Gedränge von Pflichten, denen er nur durch freiwillige Aufopferung Genüge leisten kann und will; so fühlt er in sich ein Bedürfniß, hiemit zugleich etwas Befohlnes ausgerichtet und einem Oberherren gehorcht zu haben. Oder er habe sich etwa unbedachtsamer Weise wider seine Pflicht vergangen, wodurch er doch eben nicht Menschen verantwortlich geworden ist; so werden die strengen Selbstverweise dennoch eine Sprache in ihm führen, als ob sie die Stimme eines Richters wären, dem er darüber Rechenschaft abzulegen hätte. Mit einem Worte: er bedarf einer moralischen Intelligenz, um für den Zweck, wozu er existirt, ein Wesen zu haben, welches diesem gemäß von ihm und der Welt die Ursache sei. Triebfedern hinter diesen Gefühlen herauszukünsteln, ist vergeblich; denn sie hängen unmittelbar mit der reinsten moralischen Gesinnung zusammen, weil Dankbarkeit, Gehorsam und Demüthigung (Unterwerfung unter verdiente Züchtigung) besondere Gemüthsstimmungen zur Pflicht sind, und das zu Erweiterung seiner moralischen Gesinnung geneigte Gemüth hier sich nur einen Gegenstand freiwillig denkt, der nicht in der Welt ist, um wo möglich auch gegen einen solchen seine Pflicht zu beweisen. Es ist also wenigstens möglich und auch der Grund dazu in moralischer Denkungsart gelegen, ein reines moralisches Bedürfniß der Existenz eines Wesens sich vorzustellen, unter welchem entweder unsere Sittlichkeit mehr Stärke oder auch (wenigstens unserer Vorstellung nach) mehr Umfang, nämlich einen neuen Gegenstand für ihre Ausübung, gewinnt; d. i. ein moralisch-gesetzgebendes Wesen außer der Welt ohne alle Rücksicht auf theoretischen Beweis, noch weniger auf selbstsüchtiges Interesse aus reinem moralischen, von allem fremden Einflusse freien (dabei freilich nur subjectiven) Grunde anzunehmen, auf bloße Anpreisung einer für sich allein gesetzgebenden reinen praktischen Vernunft. Und ob gleich eine solche Stimmung des Gemüths selten vorkäme, oder auch nicht lange haftete, sondern flüchtig und ohne dauernde Wirkung, oder auch ohne einiges Nachdenken über den in einem solchen Schattenbilde vorgestellten Gegenstand und ohne Bemühung ihn unter deutliche Begriffe zu bringen vorüberginge: so ist doch der Grund dazu, die moralische Anlage in uns, als subjectives Princip, sich in der Weltbetrachtung mit ihrer Zweckmäßigkeit durch Naturursachen nicht zu begnügen, sondern ihr eine oberste nach moralischen Principien die Natur beherrschende Ursache unterzulegen, unverkennbar. - Wozu noch kommt, daß wir, nach einem allgemeinen höchsten Zwecke zu streben, uns durch das moralische Gesetz gedrungen, uns aber doch und die gesammte Natur ihn zu erreichen unvermögend fühlen; daß wir, nur so fern wir darnach streben, dem Endzwecke einer verständigen Weltursache (wenn es eine solche gäbe) gemäß zu sein urtheilen dürfen; und so ist ein reiner moralischer Grund der praktischen Vernunft vorhanden, diese Ursache (da es ohne Widerspruch geschehen kann) anzunehmen, wo nicht mehr, doch damit wir jene Bestrebung in ihren Wirkungen nicht für ganz eitel anzusehen und dadurch sie ermatten zu lassen Gefahr laufen. Mit diesem allem soll hier nur so viel gesagt werden: daß die Furcht zwar zuerst Götter (Dämonen), aber die Vernunft vermittelst ihrer moralischen Principien zuerst den Begriff von Gott habe hervorbringen können (auch selbst wenn man in der Teleologie der Natur, wie gemeiniglich, sehr unwissend, oder auch wegen der Schwierigkeit, die einander hierin widersprechenden Erscheinungen durch ein genugsam bewährtes Princip auszugleichen, sehr zweifelhaft war); und daß die innere moralische Zweckbestimmung seines Daseins das ergänzte, was der Naturkenntniß abging, indem sie nämlich anwies, zu dem Endzwecke vom Dasein aller Dinge, wozu das Princip nicht anders als ethisch der Vernunft genugthuend ist, die oberste Ursache mit Eigenschaften, womit sie die ganze Natur jener einzigen Absicht (zu der diese bloß Werkzeug ist) zu unterwerfen vermögend ist, (d. i. als eine Gottheit) zu denken.",
5.54,"Vorausgesetzt, daß ein Wille frei sei, das Gesetz zu finden, welches ihn allein nothwendig zu bestimmen tauglich ist.",
2.450,"In Ansehung der Schwäche der menschlichen Natur und der geringen Macht, welche das allgemeine moralische Gefühl über die mehrste Herzen ausüben würde, hat die Vorsehung dergleichen hülfleistende Triebe als Supplemente der Tugend in uns gelegt, die, indem sie einige auch ohne Grundsätze zu schönen Handlungen bewegen, zugleich andern, die durch diese letztere regiert werden, einen größeren Stoß und einen stärkern Antrieb dazu geben können. Mitleiden und Gefälligkeit sind Gründe von schönen Handlungen, die vielleicht durch das Übergewicht eines gröberen Eigennutzes insgesammt würden erstickt werden, allein nicht unmittelbare Gründe der Tugend, die wir gesehen haben, obgleich, da sie durch die Verwandtschaft mit ihr geadelt werden, sie auch ihren Namen erwerben. Ich kann sie daher adoptirte Tugenden nennen, diejenige aber, die auf Grundsätzen beruht, die ächte Tugend. Jene sind schön und reizend, diese allein ist erhaben und ehrwürdig. Man nennt ein Gemüth, in welchem die erstere Empfindungen regieren, ein gutes Herz und den Menschen von solcher Art gutherzig; dagegen man mit Recht dem Tugendhaften aus Grundsätzen ein edles Herz beilegt, ihn selber aber einen rechtschaffenen nennt. Diese adoptirte Tugenden haben gleichwohl mit den wahren Tugenden große Ähnlichkeit, indem sie das Gefühl einer unmittelbaren Lust an gütigen und wohlwollenden Handlungen enthalten. Der Gutherzige wird ohne weitere Absicht aus unmittelbarer Gefälligkeit friedsam und höflich mit euch umgehen und aufrichtiges Beileid bei der Noth eines andern empfinden.",
6.80,"Aber jene wackern Männer verkannten doch ihren Feind, der nicht in den natürlichen, bloß undisciplinirten, sich aber unverhohlen jedermanns Bewußtsein offen darstellenden Neigungen zu suchen, sondern ein gleichsam unsichtbarer, sich hinter Vernunft verbergender Feind und darum desto gefährlicher ist. Sie boten die Weisheit gegen die Thorheit auf, die sich von Neigungen bloß unvorsichtig täuschen läßt, anstatt sie wider die Bosheit (des menschlichen Herzens) aufzurufen, die mit seelenverderbenden Grundsätzen die Gesinnung insgeheim untergräbt *) .",
7.180,"Allmählich wird der Gewaltthätigkeit von Seiten der mächtigen weniger, der Folgsamkeit in Ansehung der Gesetze mehr werden. Es wird etwa mehr Wohlthätigkeit, weniger Zank in Processen, mehr Zuverlässigkeit im Worthalten u.s.w. theils aus Ehrliebe, theils aus wohlverstandenem eigenen Vortheil im gemeinen Wesen entspringen und sich endlich dies auch auf die Völker im äußeren Verhältniß gegen einander bis zur weltbürgerlichen Gesellschaft erstrecken, ohne daß dabei die moralische Grundlage im Menschengeschlechte im mindesten vergrößert werden darf; als wozu auch eine Art von neuer Schöpfung (übernatürlicher Einfluß) erforderlich sein würde. -Denn wir müssen uns von Menschen in ihren Fortschritten zum Besseren auch nicht zu viel versprechen, um nicht in den Spott des Politikers mit Grunde zu verfallen, der die Hoffnung des ersteren gerne für Träumerei eines überspannten Kopfs halten möchte. *)",
4.949,"Wohlthätig sein, wo man kann, ist Pflicht, und überdem giebt es manche so theilnehmend gestimmte Seelen, daß sie auch ohne einen andern Bewegungsgrund der Eitelkeit oder des Eigennutzes ein inneres Vergnügen daran finden, Freude um sich zu verbreiten, und die sich an der Zufriedenheit anderer, so fern sie ihr Werk ist, ergötzen können. Aber ich behaupte, daß in solchem Falle dergleichen Handlung, so pflichtmäßig, so liebenswürdig sie auch ist, dennoch keinen wahren sittlichen Werth habe, sondern mit andern Neigungen zu gleichen Paaren gehe, z. E. der Neigung nach Ehre, die, wenn sie glücklicherweise auf das trifft, was in der That gemeinnützig und pflichtmäßig, mithin ehrenwerth ist, Lob und Aufmunterung, aber nicht Hochschätzung verdient; denn der Maxime fehlt der sittliche Gehalt, nämlich solche Handlungen nicht aus Neigung, sondern aus Pflicht zu thun. Gesetzt also, das Gemüth jenes Menschenfreundes wäre vom eigenen Gram umwölkt, der alle Theilnehmung an anderer Schicksal auslöscht, er hätte immer noch Vermögen, andern nothleidenden wohlzuthun, aber fremde Noth rührte ihn nicht, weil er mit seiner eigenen gnug beschäftigt ist, und nun, da keine Neigung ihn mehr dazu anreizt, risse er sich doch aus dieser tödtlichen Unempfindlichkeit heraus und thäte die Handlung ohne alle Neigung, lediglich aus Pflicht, alsdann hat sie allererst ihren ächten moralischen Werth. Noch mehr: wenn die Natur diesem oder jenem überhaupt wenig Sympathie ins Herz gelegt hätte, wenn er (übrigens ein ehrlicher Mann) von Temperament kalt und gleichgültig gegen die Leiden anderer wäre, vielleicht weil er, selbst gegen seine eigene mit der besondern Gabe der Geduld und aushaltenden Stärke versehen, dergleichen bei jedem andern auch voraussetzt, oder gar fordert; wenn die Natur einen solchen Mann (welcher wahrlich nicht ihr schlechtestes Product sein würde) nicht eigentlich zum Menschenfreunde gebildet hätte, würde er denn nicht noch in sich einen Quell finden, sich selbst einen weit höhern Werth zu geben, als der eines gutartigen Temperaments sein mag? Allerdings! gerade da hebt der Werth des Charakters an, der moralisch und ohne alle Vergleichung der höchste ist, nämlich daß er wohlthue, nicht aus Neigung, sondern aus Pflicht.",
