ID,Absatz,"Bundeskanzler, Wahl, Bundesregierung, Bundestag"
9.1800,"Der Meermensch, Meerjungfer",0
5.692,Der Kritik der ästhetischen Urtheilskraft,0
8.85,"Im achten Buche verfolgt Hr. H. den Gebrauch der menschlichen Sinne, die Einbildungskraft des Menschen, seinen praktischen Verstand, seine Triebe und Glückseligkeit und erläutert den Einfluß der Tradition, der Meinungen, der Übung und Gewohnheit durch Beispiele verschiedener Nationen.",0
3.36,"III. Die Philosophie bedarf einer Wissenschaft, welche die Möglichkeit, die Principien und den Umfang aller Erkenntnisse a priori bestimme.",0
4.1220,Durch bloße Anziehungskraft ohne Zurückstoßung ist keine Materie möglich.,0
6.395,Eintheilung nach dem subjectiven Verhältniß der Verpflichtenden und Verpflichteten,0
9.2078,"Sie sind auch voll von Ceremonien. Exempel, wie sie den Brief ihres Königes an den König von Frankreich nicht in der untersten Etage logiren wollten.",0
5.758,Erste Abtheilung. Analytik der teleologischen Urtheilskraft.,0
3.607,Beschluß der Auflösung des psychologischen Paralogisms.,0
3.596,Widerlegung des Mendelssohnschen Beweises der Beharrlichkeit der Seele.,0
9.978,"Walchs ausführliche mathematische Geographie, zweite Aufl. Göttingen 1794.",0
6.674,Von dem rechtlichen Verhältnisse des Bürgers zum Vaterlande und zum Auslande.,0
6.423,§ 6. Deduction des Begriffs des bloß rechtlichen Besitzes eines äußeren Gegenstandes ( possessio noumenon ).,0
6.1053,"Erstes Hauptstück. Von den Pflichten gegen Andere, blos als Menschen.",0
4.647,Wie sind synthetische Sätze a priori möglich?,0
8.182,Recension von Gottlieb Hufeland's Versuch über den Grundsatz des Naturrechts.,0
8.207,Einige Bemerkungen zu Ludwig Heinrich Jakob's Prüfung der Mendelssohn'schen Morgenstunden.,0
1.622,"Allerdurchlauchtigster, Großmächtigster König, Allergnädigster König und Herr!",0
8.672,"Zweiter Brief. An Herrn Friedrich Nicolai, den Verleger.",0
8.256,A. Beweis der objectiven Realität des Begriffs vom zureichenden Grunde nach Herrn Eberhard.,0
9.1760,a . Die Flußotter,0
9.1791,d . Der Hammerfisch,0
9.1881,e . Gold=Hühner,0
9.1793,e . Der Mantelfisch,0
9.1879,d . Der Paradiesvogel,0
9.1848,Bienen. - Seidenwürmer.,0
9.1836,g . Der Nautilus,0
9.1948,d . Vanille,0
2.45,Neue Begriffe der Bewegung und Ruhe.,0
6.1198,"Protagoras von Abdera fing sein Buch mit den Worten an: ""Ob Götter sind, oder nicht sind, davon weiß ich nichts zu sagen"" *) . Er wurde deshalb von den Atheniensern aus der Stadt und von seinem Landbesitz verjagt und seine Bücher von der öffentlichen Versammlung verbrannt ( quinctiliani Inst. Orat. lib. 3. Cap. 1 ). - Hierin thaten ihm die Richter von Athen als Menschen zwar sehr unrecht; aber als Staatsbeamte und Richter verfuhren sie ganz rechtlich und consequent; denn wie hätte man einen Eid schwören können, wenn es nicht öffentlich und gesetzlich von hoher Obrigkeit wegen ( de par le Senat ) befohlen wäre: daß es Götter gebe **) .",6
6.639,"Der Regent des Staats ( rex, princeps ) ist diejenige (moralische oder physische ) Person, welcher die ausübende Gewalt ( potestas executoria ) zukommt: der Agent des Staats, der die Magisträte einsetzt, dem Volk die Regeln vorschreibt, nach denen ein jeder in demselben dem Gesetze gemäß (durch Subsumtion eines Falles unter demselben) etwas erwerben, oder das Seine erhalten kann. Als moralische Person betrachtet, heißt er das Directorium, die Regierung. Seine Befehle an das Volk und die Magisträte und ihre Obere (Minister), welchen die Staatsverwaltung ( gubernatio ) obliegt, sind Verordnungen, Decrete (nicht Gesetze); denn sie gehen auf Entscheidung in einem besonderen Fall und werden als abänderlich gegeben. Eine Regierung, die zugleich gesetzgebend wäre, würde despotisch zu nennen sein im Gegensatz mit der patriotischen, unter welcher aber nicht eine väterliche ( regimen paternale ), als die am meisten despotische unter allen (Bürger als Kinder zu behandeln), sondern vaterländische ( regimen civitatis et patriae ) verstanden wird, wo der Staat selbst ( civitas ) seine Unterthanen zwar gleichsam als Glieder einer Familie, doch zugleich als Staatsbürger, d. i. nach Gesetzen ihrer eigenen Selbstständigkeit, behandelt, jeder sich selbst besitzt und nicht vom absoluten Willen eines Anderen neben oder über ihm abhängt.",3
8.25,"Versuch einer Anleitung zur Sittenlehre für alle Menschen, ohne Unterschied der Religion, nebst einem Anhange von den Todesstrafen. Erster Theil. Berlin 1783, bei Stahlbaum.",0
6.655,"C. Dem Oberbefehlshaber steht indirect, d. i. als Übernehmer der Pflicht des Volks, das Recht zu, dieses mit Abgaben zu seiner (des Volks) eigenen Erhaltung zu belasten, als da sind: das Armenwesen, die Findelhäuser und das Kirchenwesen, sonst milde oder fromme Stiftungen genannt.",0
2.86,"Gedanken bei dem frühzeitigen Ableben des <!--START: not in TOC--> Hochwohlgebornen Herrn, <!--END: not in TOC--> HERRN Johann Friedrich von Funk, <!--START: not in TOC--> in einem Sendschreiben an die Hochwohlgeborne Frau, FRAU Agnes Elisabeth, verwitt. Frau Rittmeisterin von Funk, geborne von Dorthösen, Erbfrau der Kaywenschen und Kahrenschen Güter in Kurland, des selig Verstorbenen Hochbetrübte Frau Mutter, von M. IMMANUEL KANT, Lehrer der Weltweisheit auf der Akademie zu Königsberg. <!--END: not in TOC-->",0
6.584,"Die moralische Person, welche der Gerechtigkeit vorsteht, ist der Gerichtshof ( forum ) und im Zustande ihrer Amtsführung das Gericht ( iudicium ): alles nur nach Rechtsbedingungen a priori gedacht, ohne, wie eine solche Verfassung wirklich einzurichten und zu organisiren sei (wozu Statute, also empirische Principien, gehören), in Betrachtung zu ziehen.",6
6.534,Des Rechts der häuslichen Gesellschaft dritter Titel: Das Hausherren=Recht.,0
6.645,"Hieraus folgt nun der Satz: der Herrscher im Staat hat gegen den Unterthan lauter Rechte und keine (Zwangs-)Pflichten. - Ferner, wenn das Organ des Herrschers, der Regent, auch den Gesetzen zuwider verführe, z. B. mit Auflagen, Recrutirungen u. dergl. wider das Gesetz der Gleichheit in Vertheilung der Staatslasten, so darf der Unterthan dieser Ungerechtigkeit zwar Beschwerden ( gravamina ), aber keinen Widerstand entgegensetzen.",3
5.66,§ 8. Lehrsatz IV.,0
9.566,"§. 43. Verstandesschlüsse, Vernunftschlüsse und Schlüsse der Urtheilskraft.",0
5.44,§ 4. Lehrsatz III.,0
5.80,"Wenn wir nun unseren formalen obersten Grundsatz der reinen praktischen Vernunft (als einer Autonomie des Willens) mit allen bisherigen materialen Principien der Sittlichkeit vergleichen, so können wir in einer Tafel alle übrige als solche, dadurch wirklich zugleich alle mögliche andere Fälle außer einem einzigen formalen erschöpft sind, vorstellig machen und so durch den Augenschein beweisen, daß es vergeblich sei, sich nach einem andern Princip als dem jetzt vorgetragenen umzusehen. -Alle mögliche Bestimmungsgründe des Willens sind nämlich entweder blos subjectiv und also empirisch, oder auch objectiv und rational; beide aber entweder äußere oder innere.",0
6.659,"D. Das Recht des obersten Befehlshabers im Staat geht auch 1) auf Vertheilung der Ämter, als mit einer Besoldung verbundener Geschäftsführung; 2) der Würden, die als Standeserhöhungen ohne Sold, d. i. Rangertheilung des Oberen (der zum Befehlen) in Ansehung der Niedrigern (die, obzwar als freie und nur durchs öffentliche Gesetz verbindliche, doch jenen zu gehorsamen zum Voraus bestimmt sind), bloß auf Ehre fundirt sind - und 3) außer diesem (respectiv-wohlthätigen) Recht auch aufs Strafrecht.",5
5.20,Einleitung. Von der Idee einer Kritik der praktischen Vernunft.,0
9.578,§. 47. 2. Verstandesschlüsse (in Beziehung auf die Qualität der Urtheile) per judicia opposita.,0
5.34,§ 3. Lehrsatz II.,0
5.30,§ 2. Lehrsatz I.,0
5.95,"Die Exposition des obersten Grundsatzes der praktischen Vernunft ist nun geschehen, d. i. erstlich, was er enthalte, daß er gänzlich a priori und unabhängig von empirischen Principien für sich bestehe, und dann, worin er sich von allen anderen praktischen Grundsätzen unterscheide, gezeigt worden. Mit der Deduction, d. i. der Rechtfertigung seiner objectiven und allgemeinen Gültigkeit und der Einsicht der Möglichkeit eines solchen synthetischen Satzes a priori, darf man nicht so gut fortzukommen hoffen, als es mit den Grundsätzen des reinen theoretischen Verstandes anging. Denn diese bezogen sich auf Gegenstände möglicher Erfahrung, nämlich auf Erscheinungen, und man konnte beweisen, daß nur dadurch, daß diese Erscheinungen nach Maßgabe jener Gesetze unter die Kategorien gebracht werden, diese Erscheinungen als Gegenstände der Erfahrung erkannt werden können, folglich alle mögliche Erfahrung diesen Gesetzen angemessen sein müsse. Einen solchen Gang kann ich aber mit der Deduction des moralischen Gesetzes nicht nehmen. Denn es betrifft nicht das Erkenntniß von der Beschaffenheit der Gegenstände, die der Vernunft irgend wodurch anderwärts gegeben werden mögen, sondern ein Erkenntniß, so fern es der Grund von der Existenz der Gegenstände selbst werden kann und die Vernunft durch dieselbe Causalität in einem vernünftigen Wesen hat, d. i. reine Vernunft, die als ein unmittelbar den Willen bestimmendes Vermögen angesehen werden kann.",0
4.7,Königsberg den 29sten März 1781. Ew. Excellenz unterthänig-gehorsamster Diener Immanuel Kant.,0
8.693,"Magdeburg, Stendal u. Leipzig.",0
3.8,Königsberg den 23sten April 1787. Ew. Excellenz unterthänig-gehorsamster Diener Immanuel Kant.,0
2.101,"Königsberg, Den 6. Jun. 1760. Ew. Gnaden gehorsamster Diener I. Kant.",0
9.838,Vorrede des Herausgebers.,0
9.2267,Vorrede des Herausgebers.,0
7.141,Zweiter Abschnitt. Der Streit der philosophischen Facultät mit der juristischen.,0
7.34,Erster Abschnitt. Der Streit der philosophischen Facultät mit der theologischen.,0
6.526,Des Rechts der häuslichen Gesellschaft zweiter Titel: Das Elternrecht.,0
6.199,"Viertes Stück. Vom Dienst und Afterdienst unter der Herrschaft des guten Princips, oder Von Religion und Pfaffenthum.",0
6.569,I. Die Erwerbungsart durch Ersitzung. § 33.,0
3.1,"Kritik der reinen Vernunft <!--START: not in TOC--> von Immanuel Kant, Professor in Königsberg, der Königl. Akademie der Wissenschaften in Berlin Mitglied. <!--END: not in TOC-->",0
9.2307,"Die Erziehung schließt Versorgung und Bildung in sich. Diese ist 1) negativ, die Disciplin, die blos Fehler abhält; 2) positiv, die Unterweisung und Anführung, und gehört in so fern zur Cultur. Anführung ist die Leitung in der Ausübung desjenigen, was man gelehrt hat. Daher entsteht der Unterschied zwischen Informator, der blos ein Lehrer, und Hofmeister, der ein Führer ist. Jener erzieht blos für die Schule, dieser für das Leben.",0
8.12,Aus dem Gentelman's Magazine February 1776.,0
8.698,"Jena, in der Crökerschen Buchh.: Eleutheriologie oder über Freiheit und Nothwendigkeit, von Johann August Heinrich Ulrich. Zum Gebrauch der Vorlesungen in den Michaelsferien. 1788. 7 1'2 B. 8. (6 gr.)",0
7.3,"<!--START: only in TOC Zueignung END: only in TOC--> Dem Herrn Carl Friedrich Stäudlin, Doctor und Professor in Göttingen, zugeeignet von dem Verfasser.",0
8.60,"Aber sollte nicht eine Gesellschaft von Geistlichen, etwa eine Kirchenversammlung, oder eine ehrwürdige Classis (wie sie sich unter den Holländern selbst nennt), berechtigt sein, sich eidlich unter einander auf ein gewisses unveränderliches Symbol zu verpflichten, um so eine unaufhörliche Obervormundschaft über jedes ihrer Glieder und vermittels ihrer über das Volk zu führen und diese sogar zu verewigen? Ich sage: das ist ganz unmöglich. Ein solcher Contract, der auf immer alle weitere Aufklärung vom Menschengeschlechte abzuhalten geschlossen würde, ist schlechterdings null und nichtig; und sollte er auch durch die oberste Gewalt, durch Reichstage und die feierlichsten Friedensschlüsse bestätigt sein. Ein Zeitalter kann sich nicht verbünden und darauf verschwören, das folgende in einen Zustand zu setzen, darin es ihm unmöglich werden muß, seine (vornehmlich so sehr angelegentliche) Erkenntnisse zu erweitern, von Irrthümern zu reinigen und überhaupt in der Aufklärung weiter zu schreiten. Das wäre ein Verbrechen wider die menschliche Natur, deren ursprüngliche Bestimmung gerade in diesem Fortschreiten besteht; und die Nachkommen sind also vollkommen dazu berechtigt, jene Beschlüsse, als unbefugter und frevelhafter Weise genommen, zu verwerfen. Der Probirstein alles dessen, was über ein Volk als Gesetz beschlossen werden kann, liegt in der Frage: ob ein Volk sich selbst wohl ein solches Gesetz auferlegen könnte. Nun wäre dieses wohl gleichsam in der Erwartung eines bessern auf eine bestimmte kurze Zeit möglich, um eine gewisse Ordnung einzuführen: indem man es zugleich jedem der Bürger, vornehmlich dem Geistlichen frei ließe, in der Qualität eines Gelehrten öffentlich, d. i. durch Schriften, über das Fehlerhafte der dermaligen Einrichtung seine Anmerkungen zu machen, indessen die eingeführte Ordnung noch immer fortdauerte, bis die Einsicht in die Beschaffenheit dieser Sachen öffentlich so weit gekommen und bewährt worden, daß sie durch Vereinigung ihrer Stimmen (wenn gleich nicht aller) einen Vorschlag vor den Thron bringen könnte, um diejenigen Gemeinden in Schutz zu nehmen, die sich etwa nach ihren Begriffen der besseren Einsicht zu einer veränderten Religionseinrichtung geeinigt hätten, ohne doch diejenigen zu hindern, die es beim Alten wollten bewenden lassen. Aber auf eine beharrliche, von niemanden öffentlich zu bezweifelnde Religionsverfassung auch nur binnen der Lebensdauer eines Menschen sich zu einigen und dadurch einen Zeitraum in dem Fortgange der Menschheit zur Verbesserung gleichsam zu vernichten und fruchtlos, dadurch aber wohl gar der Nachkommenschaft nachtheilig zu machen, ist schlechterdings unerlaubt. Ein Mensch kann zwar für seine Person und auch alsdann nur auf einige Zeit in dem, was ihm zu wissen obliegt, die Aufklärung aufschieben; aber auf sie Verzicht zu thun, es sei für seine Person, mehr aber noch für die Nachkommenschaft, heißt die heiligen Rechte der Menschheit verletzen und mit Füßen treten. Was aber nicht einmal ein Volk über sich selbst beschließen darf, das darf noch weniger ein Monarch über das Volk beschließen; denn sein gesetzgebendes Ansehen beruht eben darauf, daß er den gesammten Volkswillen in dem seinigen vereinigt. Wenn er nur darauf sieht, da alle wahre oder vermeinte Verbesserung mit der bürgerlichen Ordnung zusammen bestehe: so kann er seine Unterthanen übrigens nur selbst machen lassen, was sie um ihres Seelenheils willen zu thun nöthig finden; das geht ihn nichts an, wohl aber zu verhüten, daß nicht einer den andern gewaltthätig hindere, an der Bestimmung und Beförderung desselben nach allem seinem Vermögen zu arbeiten. Es thut selbst seiner Majestät Abbruch, wenn er sich hierin mischt, indem er die Schriften, wodurch seine Unterthanen ihre Einsichten ins Reine zu bringen suchen, seiner Regierungsaufsicht würdigt, sowohl wenn er dieses aus eigener höchsten Einsicht thut, wo er sich dem Vorwurfe aussetzt: Caesar non est supra grammaticos, als auch und noch weit mehr, wenn er seine oberste Gewalt so weit erniedrigt, den geistlichen Despotism einiger Tyrannen in seinem Staate gegen seine übrigen Unterthanen zu unterstützen.",3
6.687,"Es war also ein großer Fehltritt der Urtheilskraft eines mächtigen Beherrschers zu unserer Zeit, sich aus der Verlegenheit wegen großer Staatsschulden dadurch helfen zu wollen, daß er es dem Volk übertrug, diese Last nach dessen eigenem Gutbefinden selbst zu übernehmen und zu vertheilen; da es denn natürlicherweise nicht allein die gesetzgebende Gewalt in Ansehung der Besteurung der Unterthanen, sondern auch in Ansehung der Regierung in die Hände bekam: nämlich zu verhindern, daß diese nicht durch Verschwendung oder Krieg neue Schulden machte, mithin die Herrschergewalt des Monarchen gänzlich verschwand (nicht bloß suspendirt wurde) und aufs Volk überging, dessen gesetzgebenden Willen nun das Mein und Dein jedes Unterthans unterworfen wurde. Man kann auch nicht sagen: daß dabei ein stillschweigendes, aber doch vertragsmäßiges Versprechen der Nationalversammlung, sich nicht eben zur Souveränität zu constituiren, sondern nur dieser ihr Geschäfte zu administriren, nach verrichtetem Geschäfte aber die Zügel des Regiments dem Monarchen wiederum in seine Hände zu überliefern, angenommen werden müsse; denn ein solcher Vertrag ist an sich selbst null und nichtig. Das Recht der obersten Gesetzgebung im gemeinen Wesen ist kein veräußerliches, sondern das allerpersönlichste Recht. Wer es hat, kann nur durch den Gesammtwillen des Volks über das Volk, aber nicht über den Gesammtwillen selbst, der der Urgrund aller öffentlichen Verträge ist, disponiren. Ein Vertrag, der das Volk verpflichtete, seine Gewalt wiederum zurückzugeben, würde demselben nicht als gesetzgebender Macht zustehen und doch das Volk verbinden, welches nach dem Satze: Niemand kann zweien Herren dienen, ein Widerspruch ist.",6
