ID,Absatz,Gibt es einen Grund für das Handeln?
9.1913,"Es giebt auch ein Holz, welches so hart ist, daß man Anker und Schwerter daraus macht.",0
7.275,"Von den Vorstellungen, die wir haben, ohne uns ihrer bewußt zu sein.",6
9.61,"Was endlich die Geschichte der Logik betrifft, so wollen wir hierüber nur Folgendes anführen:",0
9.2271,Von meinen beiläufigen Anmerkungen habe ich nichts zu sagen; sie sprechen für sich.,0
9.2370,"Wir müssen nun aber auch einen systematischen Begriff von dem ganzen Zwecke der Erziehung und der Art, wie er zu erreichen ist, geben.",4
9.223,"1) Giebt es ein allgemeines materiales, und 2) Giebt es ein allgemeines formales Kriterium der Wahrheit?",0
8.293,Was soll man hier an Herrn Eberhard bezweifeln: die Einsicht oder die Aufrichtigkeit?,6
7.178,9. Welchen Ertrag wird der Fortschritt zum Besseren dem Menschengeschlecht abwerfen?,0
3.415,"2. Was mit den materialen Bedingungen der Erfahrung (der Empfindung) zusammenhängt, ist wirklich.",0
4.351,"2. Was mit den materialen Bedingungen der Erfahrung (der Empfindung) zusammenhängt, ist wirklich.",0
9.84,"Man frägt doch immer am Ende, wozu dient das Philosophiren und der Endzweck desselben die Philosophie selbst als Wissenschaft nach dem Schulbegriffe betrachtet?",3
9.612,"Das allgemeine Princip, worauf die Gültigkeit alles Schließens durch die Vernunft beruht, läßt sich in folgender Formel bestimmt ausdrücken:",6
6.469,"Was das erste betrifft, so gründet sich dieser Satz auf dem Postulat der praktischen Vernunft (§ 2); das zweite auf folgenden Beweis.",0
8.629,"Was ist Philosophie, als Lehre, die unter allen Wissenschaften das größte Bedürfniß der Menschen ausmacht?",0
5.921,"§ 84. Von dem Endzwecke des Daseins einer Welt, d. i. der Schöpfung selbst.",6
4.1066,Wie ist ein kategorischer Imperativ möglich?,4
9.271,Ein jedes Merkmal läßt sich von zwei Seiten betrachten:,0
4.71,Schlüsse aus diesen Begriffen.,0
6.844,IX. Was ist Tugendpflicht?,6
4.634,Ist überall Metaphysik möglich? § 4.,0
4.647,Wie sind synthetische Sätze a priori möglich?,0
6.812,"IV. Welche sind die Zwecke, die zugleich Pflichten sind?",5
8.187,Was heißt: Sich im Denken orientiren?,4
9.2068,"Waaren, die ausgeführt werden.",0
8.458,Ausgleichung dieses Widerstreits.,0
8.110,"Da der sich eindringende Geschäftträger unerlaubter Weise im Namen eines andern handelt, so hat er keinen Anspruch auf den Vortheil, der aus diesem Geschäfte entspringt; sondern der, in dessen Namen er das Geschäft führt, oder ein anderer Bevollmächtigter, welchem jener es anvertrauet hat, besitzt das Recht, diesen Vortheil als die Frucht seines Eigenthums sich zuzueignen. Weil ferner dieser Geschäftträger dem Rechte des Besitzers durch unbefugte Einmischung in fremde Geschäfte Abbruch thut, so muß er nothwendig allen Schaden vergüten. Dieses liegt ohne Zweifel in den Elementarbegriffen des Naturrechts.",3
8.119,Nun ist das Recht zum Verlage ein persönliches bejahendes Recht.,0
6.814,"Denn eigene Glückseligkeit ist ein Zweck, den zwar alle Menschen (vermöge des Antriebes ihrer Natur) haben, nie aber kann dieser Zweck als Pflicht angesehen werden, ohne sich selbst zu widersprechen. Was ein jeder unvermeidlich schon von selbst will, das gehört nicht unter den Begriff von Pflicht; denn diese ist eine Nöthigung zu einem ungern genommenen Zweck. Es widerspricht sich also zu sagen: man sei verpflichtet seine eigene Glückseligkeit mit allen Kräften zu befördern.",3
8.129,"Dieser Verbindlichkeit des Verlegers, die man vermuthlich zugestehen wird, muß aber auch ein darauf gegründetes Recht entsprechen, nämlich das Recht zu allem dem, ohne welches jene Verbindlichkeit nicht erfüllt werden könnte. Dieses ist: daß er das Verlagsrecht ausschließlich ausübe, weil anderer Concurrenz zu seinem Geschäfte die Führung desselben für ihn praktisch unmöglich machen würde.",4
6.353,§ D. Das Recht ist mit der Befugniß zu zwingen verbunden.,5
6.660,"Was ein bürgerliches Amt anlangt, so kommt hier die Frage vor: hat der Souverän das Recht, einem, dem er ein Amt gegeben, es nach seinem Gutbefinden (ohne ein Verbrechen von Seiten des letzteren) wieder zu nehmen? Ich sage: nein! Denn was der vereinigte Wille des Volks über seine bürgerliche Beamte nie beschließen wird, das kann auch das Staatsoberhaupt über ihn nicht beschließen. Nun will das Volk (das die Kosten tragen soll, welche die Ansetzung eines Beamten ihm machen wird) ohne allen Zweifel, daß dieser seinem ihm auferlegten Geschäfte völlig gewachsen sei; welches aber nicht anders, als durch eine hinlängliche Zeit hindurch fortgesetzte Vorbereitung und Erlernung desselben, über der er diejenige versäumt, die er zur Erlernung eines anderen ihn nährenden Geschäfts hätte verwenden können, geschehen kann; mithin würde in der Regel das Amt mit Leuten versehen werden, die keine dazu erforderliche Geschicklichkeit und durch Übung erlangte Reife Urtheilskraft erworben hätten; welches der Absicht des Staats zuwider ist, als zu welcher auch erforderlich ist, daß jeder vom niedrigeren Amte zu höheren (die sonst lauter untauglichen in die Hände fallen würden) steigen, mithin auch auf lebenswierige Versorgung müsse rechnen können.",3
7.674,"C. Von der Neigung zum Vermögen, Einfluß überhaupt auf andere Menschen zu haben.",6
8.653,"Nun ist die erste Frage: ob der Mensch in Fällen, wo er einer Beantwortung mit ja oder nein nicht ausweichen kann, die Befugniß (das Recht) habe unwahrhaft zu sein. Die zweite Frage ist: ob er nicht gar verbunden sei in einer gewissen Aussage, wozu ihn ein ungerechter Zwang nöthigt, unwahrhaft zu sein, um eine ihn bedrohende Missethat an sich oder einem anderen zu verhüten.",3
6.445,"Folgesatz: Wenn es rechtlich möglich sein muß, einen äußeren Gegenstand als das Seine zu haben: so muß es auch dem Subject erlaubt sein, jeden Anderen, mit dem es zum Streit des Mein und Dein über ein solches Object kommt, zu nöthigen, mit ihm zusammen in eine bürgerliche Verfassung zu treten.",4
4.1016,"Es ist nun kein Wunder, wenn wir auf alle bisherige Bemühungen, die jemals unternommen worden, um das Princip der Sittlichkeit ausfindig zu machen, zurücksehen, warum sie insgesammt haben fehlschlagen müssen. Man sah den Menschen durch seine Pflicht an Gesetze gebunden, man ließ es sich aber nicht einfallen, daß er nur seiner eigenen und dennoch allgemeinen Gesetzgebung unterworfen sei, und daß er nur verbunden sei, seinem eigenen, dem Naturzwecke nach aber allgemein gesetzgebenden Willen gemäß zu handeln. Denn wenn man sich ihn nur als einem Gesetz (welches es auch sei) unterworfen dachte: so mußte dieses irgend ein Interesse als Reiz oder Zwang bei sich führen, weil es nicht als Gesetz aus seinem Willen entsprang, sondern dieser gesetzmäßig von etwas anderm genöthigt wurde, auf gewisse Weise zu handeln. Durch diese ganz nothwendige Folgerung aber war alle Arbeit, einen obersten Grund der Pflicht zu finden, unwiederbringlich verloren. Denn man bekam niemals Pflicht, sondern Nothwendigkeit der Handlung aus einem gewissen Interesse heraus. Dieses mochte nun ein eigenes oder fremdes Interesse sein. Aber alsdann mußte der Imperativ jederzeit bedingt ausfallen und konnte zum moralischen Gebote gar nicht taugen. Ich will also diesen Grundsatz das Princip der Autonomie des Willens im Gegensatz mit jedem andern, das ich deshalb zur Heteronomie zähle, nennen.",2
2.198,2. Es existirt ein schlechterdings nothwendiges Wesen.,0
9.245,"Wie Wahrheit möglich sei, das ist leicht einzusehen, da hier der Verstand nach seinen wesentlichen Gesetzen handelt.",5
6.241,"Der Mensch nun, welcher Handlungen, die für sich selbst nichts Gott Wohlgefälliges (Moralisches) enthalten, doch als Mittel braucht, das göttliche unmittelbare Wohlgefallen an ihm und hiemit die Erfüllung seiner Wünsche zu erwerben, steht in dem Wahn des Besitzes einer Kunst, durch ganz natürliche Mittel eine übernatürliche Wirkung zuwege zu bringen; dergleichen Versuche man das Zaubern zu nennen pflegt, welches Wort wir aber (da es den Nebenbegriff einer Gemeinschaft mit dem bösen Princip bei sich führt, dagegen jene Versuche doch auch als übrigens in guter moralischer Absicht aus Mißverstande unternommen gedacht werden können) gegen das sonst bekannte Wort des Fetischmachens austauschen wollen. Eine übernatürliche Wirkung aber eines Menschen würde diejenige sein, die nur dadurch in seinen Gedanken möglich ist, daß er vermeintlich auf Gott wirkt und sich desselben als Mittels bedient, um eine Wirkung in der Welt hervorzubringen, dazu seine Kräfte, ja nicht einmal seine Einsicht, ob sie auch Gott wohlgefällig sein möchte, für sich nicht zulangen; welches schon in seinem Begriffe eine Ungereimtheit enthält.",2
2.213,1. Das nothwendige Wesen ist ein Geist.,0
8.483,"Das Christenthum hat außer der größten Achtung, welche die Heiligkeit seiner Gesetze unwiderstehlich einflößt, noch etwas Liebenswürdiges in sich. (Ich meine hier nicht die Liebenswürdigkeit der Person, die es uns mit großen Aufopferungen erworben hat, sondern der Sache selbst: nämlich der sittlichen Verfassung, die Er stiftete; denn jene läßt sich nur aus dieser folgern.) Die Achtung ist ohne Zweifel das Erste, weil ohne sie auch keine wahre Liebe Statt findet; ob man gleich ohne Liebe doch große Achtung gegen Jemand hegen kann. Aber wenn es nicht bloß auf Pflichtvorstellung, sondern auch auf Pflichtbefolgung ankommt, wenn man nach dem subjectiven Grunde der Handlungen fragt, aus welchem, wenn man ihn voraussetzen darf, am ersten zu erwarten ist, was der Mensch thun werde, nicht bloß nach dem objectiven, was er thun soll: so ist doch die Liebe, als freie Aufnahme des Willens eines Andern unter seine Maximen, ein unentbehrliches Ergänzungsstück der Unvollkommenheit der menschlichen Natur (zu dem, was die Vernunft durchs Gesetz vorschreibt, genöthigt werden zu müssen): denn was Einer nicht gern thut, das thut er so kärglich, auch wohl mit sophistischen Ausflüchten vom Gebot der Pflicht, daß auf diese als Triebfeder ohne den Beitritt jener nicht sehr viel zu rechnen sein möchte.",6
7.242,"Allen Versuchen aber, zu einer solchen Wissenschaft mit Gründlichkeit zu gelangen, stehen erhebliche, der menschlichen Natur selber anhängende Schwierigkeiten entgegen.",0
6.1117,"Ein jeder Mensch hat rechtmäßigen Anspruch auf Achtung von seinen Nebenmenschen, und wechselseitig ist er dazu auch gegen jeden Anderen verbunden.",5
8.443,"Die menschliche Natur erscheint nirgend weniger liebenswürdig, als im Verhältnisse ganzer Völker gegen einander. Kein Staat ist gegen den andern wegen seiner Selbstständigkeit oder seines Eigenthums einen Augenblick gesichert. Der Wille einander zu unterjochen oder an dem Seinen zu schmälern ist jederzeit da; und die Rüstung zur Vertheidigung, die den Frieden oft noch drückender und für die innere Wohlfahrt zerstörender macht, als selbst den Krieg, darf nie nachlassen. Nun ist hierwider kein anderes Mittel, als ein auf öffentliche mit Macht begleitete Gesetze, denen sich jeder Staat unterwerfen müßte, gegründetes Völkerrecht (nach der Analogie eines bürgerlichen oder Staatsrechts einzelner Menschen) möglich; - denn ein daurender allgemeiner Friede durch die so genannte Balance der Mächte in Europa ist, wie Swifts haus, welches von einem Baumeister so vollkommen nach allen Gesetzen des Gleichgewichts erbauet war, daß, als sich ein Sperling drauf setzte, es sofort einfiel, ein bloßes Hirngespinst. - Aber solchen Zwangsgesetzen, wird man sagen, werden sich Staaten doch nie unterwerfen; und der Vorschlag zu einem allgemeinen Völkerstaat, unter dessen Gewalt sich alle einzelne Staaten freiwillig bequemen sollen, um seinen Gesetzen zu gehorchen, mag in der Theorie eines Abbß von St. Pierre, oder eines Rousseau noch so artig klingen, so gilt er doch nicht für die Praxis; wie er denn auch von großen Staatsmännern, mehr aber noch von Staatsoberhäuptern als eine pedantisch-kindische aus der Schule hervorgetretene Idee jederzeit ist verlacht worden.",3
3.714,"Es existirt überall kein schlechthin nothwendiges Wesen weder in der Welt, noch außer der Welt als ihre Ursache.",0
3.1092,"Es giebt eine gewisse Unlauterkeit in der menschlichen Natur, die am Ende doch wie alles, was von der Natur kommt, eine Anlage zu guten Zwecken enthalten muß, nämlich eine Neigung, seine wahre Gesinnungen zu verhehlen und gewisse angenommene, die man für gut und rühmlich hält, zur Schau zu tragen. Ganz gewiß haben die Menschen durch diesen Hang, sowohl sich zu verhehlen, als auch einen ihnen vortheilhaften Schein anzunehmen, sich nicht bloß civilisirt, sondern nach und nach in gewisser Maße moralisirt, weil keiner durch die Schminke der Anständigkeit, Ehrbarkeit und Sittsamkeit durchdringen konnte, also an vermeintlich ächten Beispielen des Guten, die er um sich sah, eine Schule der Besserung für sich selbst fand. Allein diese Anlage, sich besser zu stellen, als man ist, und Gesinnungen zu äußern, die man nicht hat, dient nur gleichsam provisorisch dazu, um den Menschen aus der Rohigkeit zu bringen und ihn zuerst wenigstens die Manier des Guten, das er kennt, annehmen zu lassen; denn nachher, wenn die ächten Grundsätze einmal entwickelt und in die Denkungsart übergegangen sind, so muß jene Falschheit nach und nach kräftig bekämpft werden, weil sie sonst das Herz verdirbt und gute Gesinnungen unter dem Wucherkraute des schönen Scheins nicht aufkommen läßt.",3
6.922,§ 2. Es giebt doch Pflichten des Menschen gegen sich selbst.,2
6.461,§ 11. Was ist ein Sachenrecht?,0
2.219,2. Es ist ein Gott.,0
8.503,"5. ""Kein Staat soll sich in die Verfassung und Regierung eines andern Staats gewaltthätig einmischen.""",0
8.647,Über ein vermeintes Recht aus Menschenliebe zu lügen.,4
8.646,Über ein vermeintes Recht aus Menschenliebe zu lügen.,4
5.353,§ 4. Das Wohlgefallen am Guten ist mit Interesse verbunden.,5
7.145,2. Wie kann man es wissen?,0
2.200,3. Das nothwendige Wesen ist einig.,0
5.54,"Vorausgesetzt, daß ein Wille frei sei, das Gesetz zu finden, welches ihn allein nothwendig zu bestimmen tauglich ist.",0
6.133,"Der Wunsch aller Wohlgesinnten ist also: ""daß das Reich Gottes komme, daß sein Wille auf Erden geschehe""; aber was haben sie nun zu veranstalten, damit dieses mit ihnen geschehe?",2
5.834,"§ 73. Keines der obigen Systeme leistet das, was es vorgiebt.",0
2.203,4. Das nothwendige Wesen ist einfach.,0
7.690,Von dem höchsten physischen Gut.,0
4.1232,Die aller Materie wesentliche Anziehung ist eine unmittelbare Wirkung derselben auf andere durch den leeren Raum.,0
6.381,Das angeborne Recht ist nur ein einziges.,0
6.884,Von der Tugend überhaupt.,0
7.193,"Sie heißt ihm ""die Kunst das menschliche Leben zu verlängern.""",0
6.34,"1. Die Anlage für die Thierheit des Menschen, als eines lebenden;",3
4.1053,"Von dem Interesse, welches den Ideen der Sittlichkeit anhängt.",4
3.694,"Es ist keine Freiheit, sondern alles in der Welt geschieht lediglich nach Gesetzen der Natur.",2
7.190,Von der Macht des Gemüths des Menschen über seine krankhafte Gefühle durch den bloßen festen Vorsatz Meister zu sein.,6
7.694,Von dem höchsten moralisch=physischen Gut.,6
2.178,"3. Kann ich wohl sagen, daß im Dasein mehr als in der bloßen Möglichkeit sei?",0
8.651,"Das πρωτον ψευδοσ proton pseudos liegt hier in dem Satze: ""Die Wahrheit zu sagen ist eine Pflicht, aber nur gegen denjenigen, welcher ein Recht auf die Wahrheit hat.""",2
9.221,"Es frägt sich nämlich hier: Ob und in wie fern es ein sicheres, allgemeines und in der Anwendung brauchbares Kriterium der Wahrheit gebe? Denn das soll die Frage: Was ist Wahrheit? bedeuten.",0
6.1077,"Es fällt nicht von selbst in die Augen: daß ein solches Gesetz überhaupt in der Vernunft liege; vielmehr scheint die Maxime: ""Ein jeder für sich, Gott (das Schicksal) für uns alle,"" die natürlichste zu sein.",6
6.249,Es ist hier nicht die Frage: wie das Gewissen geleitet werden solle (denn das will keinen Leiter: es ist genug eines zu haben); sondern wie dieses selbst zum Leitfaden in den bedenklichsten moralischen Entschließungen dienen könne.,4
7.740,"Es kommt hiebei nicht auf das an, was die Natur aus dem Menschen, sondern was dieser aus sich selbst macht; denn das erstere gehört zum Temperament (wobei das Subject großentheils passiv ist), und nur das letztere giebt zu erkennen, daß er einen Charakter habe. Alle andere gute und nutzbare Eigenschaften desselben haben einen Preis, sich gegen andere, die eben so viel Nutzen schaffen, austauschen zu lassen; das Talent einen Marktpreis, denn der Landes- oder Gutsherr kann einen solchen Menschen auf allerlei Art brauchen; - das Temperament einen Affectionspreis; man kann sich mit ihm gut unterhalten, er ist ein angenehmer Gesellschafter; - aber - der Charakter hat einen inneren Werth *) und ist über allen Preis erhaben.",4
9.2419,"Um in den Kindern einen moralischen Charakter zu begründen, müssen wir folgendes merken:",5
1.445,3. Daß diese Kraft in ihm in einer endlichen Zeit erzeugt werde.,6
9.290,Unter den nothwendigen Merkmalen giebt es aber noch einen Unterschied.,0
2.184,2. Die innere Möglichkeit aller Dinge setzt irgend ein Dasein voraus.,0
9.456,"Dem Gesetze der Stetigkeit zufolge kann es indessen weder eine niedrigste, noch eine nächste Art geben.",0
2.207,6. Das nothwendige Wesen enthält die höchste Realität.,0
6.50,III. Der Mensch ist von Natur böse.,0
9.92,1) Was kann ich wissen? 2) Was soll ich thun? 3) Was darf ich hoffen? 4) Was ist der Mensch?,5
7.143,1. Was will man hier wissen?,0
4.72,"a) Die Zeit ist nicht etwas, was für sich selbst bestände, oder den",0
8.556,"Zur Auflösung des ersten, nämlich des Staats-Klugheitsproblems, wird viel Kenntniß der Natur erfordert, um ihren Mechanism zu dem gedachten Zweck zu benutzen, und doch ist alle diese ungewiß in Ansehung ihres Resultats, den ewigen Frieden betreffend; man mag nun die eine oder die andere der drei Abtheilungen des öffentlichen Rechts nehmen. Ob das Volk im Gehorsam und zugleich im Flor besser durch Strenge, oder Lockspeise der Eitelkeit, ob durch Obergewalt eines Einzigen, oder durch Vereinigung mehrerer Häupter, vielleicht auch bloß durch einen Dienstadel, oder durch Volksgewalt im Innern und zwar auf lange Zeit gehalten werden könne, ist ungewiß. Man hat von allen Regierungsarten (die einzige ächt-republikanische, die aber nur einem moralischen Politiker in den Sinn kommen kann, ausgenommen) Beispiele des Gegentheils in der Geschichte. - Noch ungewisser ist ein auf Statute nach Ministerialplanen vorgeblich errichtetes Völkerrecht, welches in der That nur ein Wort ohne Sache ist und auf Verträgen beruht, die in demselben Act ihrer Beschließung zugleich den geheimen Vorbehalt ihrer Übertretung enthalten. - Dagegen dringt sich die Auflösung des zweiten, nämlich des Staatsweisheitsproblems, so zu sagen von selbst auf, ist jedermann einleuchtend und macht alle Künstelei zu Schanden, führt dabei gerade zum Zweck; doch mit der Erinnerung der Klugheit, ihn nicht übereilterweise mit Gewalt herbei zu ziehen, sondern sich ihm nach Beschaffenheit der günstigen Umstände unablässig zu nähern.",6
8.470,"In der That fühlen nicht ohne Ursache die Menschen die Last ihrer Existenz, ob sie gleich selbst die Ursache derselben sind. Der Grund davon scheint mir hierin zu liegen. - Natürlicherweise eilt in den Fortschritten des menschlichen Geschlechts die Cultur der Talente, der Geschicklichkeit und des Geschmacks (mit ihrer Folge, der Üppigkeit) der Entwicklung der Moralität vor; und dieser Zustand ist gerade der lästigste und gefährlichste für Sittlichkeit sowohl als physisches Wohl: weil die Bedürfnisse viel stärker anwachsen, als die Mittel sie zu befriedigen. Aber die sittliche Anlage der Menschheit, die (wie Horazens poena pede claudo ) ihr immer nachhinkt, wird sie, die in ihrem eilfertigen Lauf sich selbst verfängt und oft stolpert, (wie man unter einem weisen Weltregierer wohl hoffen darf) dereinst überholen; und so sollte man selbst nach den Erfahrungsbeweisen des Vorzugs der Sittlichkeit in unserm Zeitalter in Vergleichung mit allen vorigen wohl die Hoffnung nähren können, daß der jüngste Tag eher mit einer Eliasfahrt, als mit einer der Rotte Korah ähnlichen Höllenfahrt eintreten und das Ende aller Dinge auf Erden herbeiführen dürfte. Allein dieser heroische Glaube an die Tugend scheint doch subjectiv keinen so allgemeinkräftigen Einfluß auf die Gemüther zur Bekehrung zu haben, als der an einen mit Schrecken begleiteten Auftritt, der vor den letzten Dingen als vorhergehend gedacht wird.",5
7.324,Von dem erlaubten moralischen Schein.,0
