ID,Absatz,"Grund für das Handeln, Willensbegrenzung"
5.363,Aus dem ersten Momente gefolgerte Erklärung des Schönen.,
5.450,Aus dem vierten Moment gefolgerte Erklärung vom Schönen.,
2.672,Drittes Hauptstück. Praktischer Schluß aus der ganzen Abhandlung.,
9.1840,Sechstes Hauptstück. Einige merkwürdige Insekten und darunter:,
2.610,"Zweites Hauptstück. Ein Fragment der geheimen Philosophie, die Gemeinschaft mit der Geisterwelt zu eröffnen.",
9.594,In Absicht auf die Verstandesschlüsse durch die Umkehrung gelten folgende Regeln:,
2.14,Drittes Hauptstück. Geschichte der Quellen und Brunnen.,
4.246,Zweites Hauptstück. System aller Grundsätze des reinen Verstandes.,
3.296,Zweites Hauptstück. System aller Grundsätze des reinen Verstandes.,
2.212,Vierte Betrachtung. Beweisgrund zu einer Demonstration des Daseins Gottes.,
3.472,2. Einstimmung und Widerstreit. Wenn Realität nur durch den,
6.858,XII. Ästhetische Vorbegriffe der Empfänglichkeit des Gemüths für Pflichtbegriffe überhaupt.,
4.1324,Dieser Lehrsatz bestimmt die Modalität der Bewegung in Ansehung der Phoronomie.,
9.604,In Absicht auf die Contraposition gilt die allgemeine Regel:,
4.555,Betrachtung über die Summe der reinen Seelenlehre zu Folge diesen Paralogismen.,
4.211,Summarische Vorstellung der Richtigkeit und einzigen Möglichkeit dieser Deduction der reinen Verstandesbegriffe.,
6.398,"Von der Eintheilung der Moral, als eines Systems der Pflichten überhaupt.",
9.598,"Anmerkung 1. In allgemein bejahenden Urtheilen wird das Subject als ein contentum des Prädicats betrachtet, da es unter der Sphäre desselben enthalten",
1.363,"Ich glaube, ein Anhänger des Cartesius würde folgendes gegen diesen Beweis einwenden:",
3.735,Auf der Seite also des Dogmatismus in Bestimmung der kosmologischen Vernunftideen oder der Thesis zeigt sich,
9.1800,"Der Meermensch, Meerjungfer",
9.1659,3. Das surinamische Hirschchen,
2.45,Neue Begriffe der Bewegung und Ruhe.,
7.521,Von den Talenten im Erkenntnißvermögen.,
7.57,Zweiter Abschnitt. Begriff und Eintheilung der untern Facultät.,
1.386,I . Erläuterung zum 25ten §.,
9.2180,Das Vorgebirge der guten Hoffnung.,
9.1836,g . Der Nautilus,
9.1760,a . Die Flußotter,
8.55,"Aufklärung ist der Ausgang des Menschen aus seiner selbst verschuldeten Unmündigkeit. Unmündigkeit ist das Unvermögen, sich seines Verstandes ohne Leitung eines anderen zu bedienen. Selbstverschuldet ist diese Unmündigkeit, wenn die Ursache derselben nicht am Mangel des Verstandes, sondern der Entschließung und des Muthes liegt, sich seiner ohne Leitung eines andern zu bedienen. sapere aude! habe Muth dich deines eigenen Verstandes zu bedienen! Ist also der Wahlspruch der Aufklärung.",
7.218,5. Von der Hebung und Verhütung krankhafter Zufälle durch den Vorsatz im Athemziehen.,
8.119,Nun ist das Recht zum Verlage ein persönliches bejahendes Recht.,
7.678,"Ehrsucht ist die Schwäche der Menschen, wegen der man auf sie durch ihre Meinung, Herrschsucht durch ihre Furcht und Habsucht durch ihr eigenes Interesse Einfluß haben kann. - Allerwärts ein Sklavensinn, durch den, wenn sich ein Anderer desselben bemächtigt, er das Vermögen hat, ihn durch seine eigenen Neigungen zu seinen Absichten zu gebrauchen. Das Bewußtsein aber dieses Vermögens an sich und des Besitzes der Mittel seine Neigungen zu befriedigen erregt die Leidenschaft mehr noch, als der Gebrauch derselben.",
7.614,"Die durch die Vernunft des Subjects schwer oder gar nicht bezwingliche Neigung ist Leidenschaft. Dagegen ist das Gefühl einer Lust oder Unlust im gegenwärtigen Zustande, welches im Subject die Überlegung (die Vernunftvorstellung, ob man sich ihm überlassen oder weigern solle) nicht aufkommen läßt, der Affect.",
9.2395,"Alle Übertretung eines Gebotes bei einem Kinde ist eine Ermangelung des Gehorsams, und diese zieht Strafe nach sich. Auch bei einer unachtsamen Übertretung des Gebotes ist Strafe nicht unnöthig. Diese Strafe ist entweder physisch oder moralisch.",
4.1053,"Von dem Interesse, welches den Ideen der Sittlichkeit anhängt.",
6.702,"Was die thätige Verletzung betrifft, die ein Recht zum Kriege giebt, so gehört dazu die selbstgenommene Genugthuung für die Beleidigung des einen Volks durch das Volk des anderen Staats, die Wiedervergeltung ( retorsio ), ohne eine Erstattung (durch friedliche Wege) bei dem anderen Staate zu suchen, womit der Förmlichkeit nach der Ausbruch des Krieges ohne vorhergehende Aufkündigung des Friedens (Kriegsankündigung) eine Ähnlichkeit hat: weil, wenn man einmal ein Recht im Kriegszustande finden will, etwas Analogisches mit einem Vertrag angenommen werden muß, nämlich Annahme der Erklärung des anderen Theils, daß beide ihr Recht auf diese Art suchen wollen.",
4.1047,Der Begriff der Freiheit ist der Schlüssel zur Erklärung der Autonomie des Willens.,
7.613,"§ 73. Begierde ( appetitio ) ist die Selbstbestimmung der Kraft eines Subjects durch die Vorstellung von etwas Künftigem als einer Wirkung derselben. Die habituelle sinnliche Begierde heißt Neigung. Das Begehren ohne Kraftanwendung zu Hervorbringung des Objects ist der Wunsch. Dieser kann auf Gegenstände gerichtet sein, zu deren Herbeischaffung das Subject sich selbst unvermögend fühlt, und ist dann ein leerer (müßiger) Wunsch. Der leere Wunsch, die Zeit zwischen dem Begehren und Erwerben des Begehrten vernichten zu können, ist Sehnsucht. Die in Ansehung des Objects unbestimmte Begierde ( appetitio vaga ), welche das Subject nur antreibt, aus seinem gegenwärtigen Zustande herauszugehen, ohne zu wissen, in welchen es denn eintreten will, kann der launische Wunsch genannt werden (den nichts befriedigt).",
4.1035,Die Autonomie des Willens als oberstes Princip der Sittlichkeit.,
8.596,"Nun findet jeder Mensch in seiner Vernunft die Idee der Pflicht und zittert beim Anhören ihrer ehernen Stimme, wenn sich in ihm Neigungen regen, die ihn zum Ungehorsam gegen sie versuchen. Er ist überzeugt: daß, wenn auch die letztern insgesammt vereinigt sich gegen jene verschwören, die Majestät des Gesetzes, welches ihm seine eigene Vernunft vorschreibt, sie doch alle unbedenklich überwiegen müsse, und sein Wille also auch dazu vermögend sei. Alles dieses kann und muß dem Menschen, wenn gleich nicht wissenschaftlich, doch deutlich vorgestellt werden, damit er sowohl der Autorität seiner ihm gebietenden Vernunft, als auch ihrer Gebote selbst gewiß sei; und ist so fern Theorie. - Nun stelle ich den Menschen auf, wie er sich selbst fragt: Was ist das in mir, welches macht, daß ich die innigsten Anlockungen meiner Triebe und alle Wünsche, die aus meiner Natur hervorgehen, einem Gesetze aufopfern kann, welches mir keinen Vortheil zum Ersatz verspricht und keinen Verlust bei Übertretung desselben androht; ja das ich nur um desto inniglicher verehre, je strenger es gebietet und je weniger es dafür anbietet? Diese Frage regt durch das Erstaunen über die Größe und Erhabenheit der inneren Anlage in der Menschheit und zugleich die Undurchdringlichkeit des Geheimnisses, welches sie verhüllt (denn die Antwort: es ist die Freiheit, wäre tautologisch, weil diese eben das Geheimniß selbst ausmacht), die ganze Seele auf. Man kann nicht satt werden sein Augenmerk darauf zu richten und in sich selbst eine Macht zu bewundern, die keiner Macht der Natur weicht; und diese Bewunderung ist eben das aus Ideen erzeugte Gefühl, welches, wenn über die Lehren der Moral von Schulen und Kanzeln noch die Darstellung dieses Geheimnisses eine besondere, oft wiederholte Beschäftigung der Lehrer ausmachte, tief in die Seele eindringen und nicht ermangeln würde die Menschen moralisch besser zu machen.",
6.141,"Die Menschen, ihres Unvermögens in Erkenntniß übersinnlicher Dinge sich bewußt, ob sie zwar jenem Glauben (als welcher im Allgemeinen für sie überzeugend sein muß) alle Ehre widerfahren lassen, sind doch nicht leicht zu überzeugen: daß die standhafte Beflissenheit zu einem moralisch-guten Lebenswandel alles sei, was Gott von Menschen fordert, um ihm wohlgefällige Unterthanen in seinem Reiche zu sein. Sie können sich ihre Verpflichtung nicht wohl anders, als zu irgend einem Dienst denken, den sie Gott zu leisten haben; wo es nicht sowohl auf den innern moralischen Werth der Handlungen, als vielmehr darauf ankommt, daß sie Gott geleistet werden, um, so moralisch indifferent sie auch an sich selbst sein möchten, doch wenigstens durch passiven Gehorsam Gott zu gefallen. Daß sie, wenn sie ihre Pflichten gegen Menschen (sich selbst und andere) erfüllen, eben dadurch auch göttliche Gebote ausrichten, mithin in allem ihrem Thun und Lassen, sofern es Beziehung auf Sittlichkeit hat, beständig im Dienste Gottes sind, und daß es auch schlechterdings unmöglich sei, Gott auf andere Weise näher zu dienen (weil sie doch auf keine andern, als blos auf Weltwesen, nicht aber auf Gott wirken und Einfluß haben können), will ihnen nicht in den Kopf. Weil ein jeder große Herr der Welt ein besonderes Bedürfniß hat, von seinen Unterthanen geehrt und durch Unterwürfigkeitsbezeigungen gepriesen zu werden, ohne welches er nicht so viel Folgsamkeit gegen seine Befehle, als er wohl nöthig hat, um sie beherrschen zu können, von ihnen erwarten kann; überdem auch der Mensch, so vernunftvoll er auch sein mag, an Ehrenbezeugungen doch immer ein unmittelbares Wohlgefallen findet: so behandelt man die Pflicht, so fern sie zugleich göttliches Gebot ist, als Betreibung einer Angelegenheit Gottes, nicht des Menschen, und so entspringt der Begriff einer gottesdienstlichen statt des Begriffs einer reinen moralischen Religion.",
9.2418,"Was soll es zur Rechtschaffenheit und Besserung, wenn man am Tage fastet und in der Nacht noch einmal soviel dafür genießt, oder seinem Körper eine Büßung auflegt, die zur Veränderung der Seele nichts beitragen kann?",
8.488,"Das ist die moralische Liebenswürdigkeit, welche das Christenthum bei sich führt, die durch manchen äußerlich ihm beigefügten Zwang bei dem öftern Wechsel der Meinungen immer noch durchgeschimmert und es gegen die Abneigung erhalten hat, die es sonst hätte treffen müssen, und welche (was merkwürdig ist) zur Zeit der größten Aufklärung, die je unter Menschen war, sich immer in einem nur desto hellern Lichte zeigt.",
4.1069,"Der praktische Gebrauch der gemeinen Menschenvernunft bestätigt die Richtigkeit dieser Deduction. Es ist niemand, selbst der ärgste Bösewicht, wenn er nur sonst Vernunft zu brauchen gewohnt ist, der nicht, wenn man ihm Beispiele der Redlichkeit in Absichten, der Standhaftigkeit in Befolgung guter Maximen, der Theilnehmung und des allgemeinen Wohlwollens (und noch dazu mit großen Aufopferungen von Vortheilen und Gemächlichkeit verbunden) vorlegt, nicht wünsche, daß er auch so gesinnt sein möchte. Er kann es aber nur wegen seiner Neigungen und Antriebe nicht wohl in sich zu Stande bringen, wobei er dennoch zugleich wünscht, von solchen ihm selbst lästigen Neigungen frei zu sein. Er beweiset hiedurch also, daß er mit einem Willen, der von Antrieben der Sinnlichkeit frei ist, sich in Gedanken in eine ganz andere Ordnung der Dinge versetze, als die seiner Begierden im Felde der Sinnlichkeit, weil er von jenem Wunsche keine Vergnügung der Begierden, mithin keinen für irgend eine seiner wirklichen oder sonst erdenklichen Neigungen befriedigenden Zustand (denn dadurch würde selbst die Idee, welche ihm den Wunsch ablockt, ihre Vorzüglichkeit einbüßen), sondern nur einen größeren inneren Werth seiner Person erwarten kann. Diese bessere Person glaubt er aber zu sein, wenn er sich in den Standpunkt eines Gliedes der Verstandeswelt versetzt, dazu die Idee der Freiheit, d. i. Unabhängigkeit von bestimmenden Ursachen der Sinnenwelt, ihn unwillkürlich nöthigt, und in welchem er sich eines guten Willens bewußt ist, der für seinen bösen Willen als Gliedes der Sinnenwelt nach seinem eigenen Geständnisse das Gesetz ausmacht, dessen Ansehen er kennt, indem er es übertritt. Das moralische Sollen ist also eigenes nothwendiges Wollen als Gliedes einer intelligibelen Welt und wird nur so fern von ihm als Sollen gedacht, als er sich zugleich wie ein Glied der Sinnenwelt betrachtet.",
7.564,"Wie steht es aber mit der Zufriedenheit ( acquiescentia ) während dem Leben? - Sie ist dem Menschen unerreichbar: weder in moralischer (mit sich selbst im Wohlverhalten zufrieden zu sein) noch in pragmatischer Hinsicht (mit seinem Wohlbefinden, was er sich durch Geschicklichkeit und Klugheit zu verschaffen denkt). Die Natur hat den Schmerz zum Stachel der Thätigkeit in ihn gelegt, dem er nicht entgehen kann, um immer zum Bessern fortzuschreiten, und auch im letzten Augenblicke des Lebens ist die Zufriedenheit mit dem letzten Abschnitte desselben nur comparativ (theils indem wir uns mit dem Loose Anderer, theils auch mit uns selbst vergleichen) so zu nennen; nie aber ist sie rein und vollständig. - Im Leben (absolut) zufrieden zu sein, wäre thatlose Ruhe und Stillstand der Triebfedern, oder Abstumpfung der Empfindungen und der damit verknüpften Thätigkeit. Eine solche aber kann eben so wenig mit dem intellectuellen Leben des Menschen zusammen bestehen, als der Stillstand des Herzens in einem thierischen Körper, auf den, wenn nicht (durch den Schmerz) ein neuer Anreiz ergeht, unvermeidlich der Tod folgt.",
7.686,Von der Neigung des Wahnes als Leidenschaft.,
6.353,§ D. Das Recht ist mit der Befugniß zu zwingen verbunden.,
5.51,"Vorausgesetzt, daß die bloße gesetzgebende Form der Maximen allein der zureichende Bestimmungsgrund eines Willens sei: die Beschaffenheit desjenigen Willens zu finden, der dadurch allein bestimmbar ist.",
5.345,"§ 2. Das Wohlgefallen, welches das Geschmacksurtheil bestimmt, ist ohne alles Interesse.",
2.200,3. Das nothwendige Wesen ist einig.,
6.317,Verbindlichkeit ist die Nothwendigkeit einer freien Handlung unter einem kategorischen Imperativ der Vernunft.,
4.972,"Die Vorstellung eines objectiven Princips, sofern es für einen Willen nöthigend ist, heißt ein Gebot (der Vernunft), und die Formel des Gebots heißt Imperativ.",
5.54,"Vorausgesetzt, daß ein Wille frei sei, das Gesetz zu finden, welches ihn allein nothwendig zu bestimmen tauglich ist.",
5.442,"§ 20. Die Bedingung der Nothwendigkeit, die ein Geschmacksurtheil vorgiebt, ist die Idee eines Gemeinsinnes.",
5.353,§ 4. Das Wohlgefallen am Guten ist mit Interesse verbunden.,
6.1042,"Die Pflicht des Menschen gegen sich selbst in Ansehung seiner physischen Vollkommenheit ist aber nur weite und unvollkommene Pflicht: weil sie zwar ein Gesetz für die Maxime der Handlungen enthält, in Ansehung der Handlungen selbst aber ihrer Art und ihrem Grade nach nichts bestimmt, sondern der freien Willkür einen Spielraum verstattet.",
6.835,"1. Eigene Vollkommenheit als Zweck, der zugleich Pflicht ist.",
6.348,"Das Recht ist also der Inbegriff der Bedingungen, unter denen die Willkür des einen mit der Willkür des andern nach einem allgemeinen Gesetze der Freiheit zusammen vereinigt werden kann.",
6.1001,"Mehr oder weniger kann man diese Pflicht in Beziehung auf die Würde der Menschheit in uns, mithin auch gegen uns selbst in folgenden Beispielen erkennbar machen.",
6.88,"Das Ideal der Gott wohlgefälligen Menschheit (mithin einer moralischen Vollkommenheit, so wie sie an einem von Bedürfnissen und Neigungen abhängigen Weltwesen möglich ist) können wir uns nun nicht anders denken, als unter der Idee eines Menschen, der nicht allein alle Menschenpflicht selbst auszuüben, zugleich auch durch Lehre und Beispiel das Gute in größtmöglichem Umfange um sich auszubreiten, sondern auch, obgleich durch die größten Anlockungen versucht, dennoch alle Leiden bis zum schmählichsten Tode um des Weltbesten willen und selbst für seine Feinde zu übernehmen bereitwillig wäre. - Denn der Mensch kann sich keinen Begriff von dem Grade und der Stärke einer Kraft, dergleichen die einer moralischen Gesinnung ist, machen, als wenn er sie mit Hindernissen ringend und unter den größtmöglichen Anfechtungen dennoch überwindend sich vorstellt.",
6.1077,"Es fällt nicht von selbst in die Augen: daß ein solches Gesetz überhaupt in der Vernunft liege; vielmehr scheint die Maxime: ""Ein jeder für sich, Gott (das Schicksal) für uns alle,"" die natürlichste zu sein.",
6.391,Eintheilung nach dem objectiven Verhältniß des Gesetzes zur Pflicht.,
4.1071,"Alle Menschen denken sich dem Willen nach als frei. Daher kommen alle Urtheile über Handlungen als solche, die hätten geschehen sollen, ob sie gleich nicht geschehen sind. Gleichwohl ist diese Freiheit kein Erfahrungsbegriff und kann es auch nicht sein, weil er immer bleibt, obgleich die Erfahrung das Gegentheil von denjenigen Forderungen zeigt, die unter Voraussetzung derselben als nothwendig vorgestellt werden. Auf der anderen Seite ist es eben so nothwendig, daß alles, was geschieht, nach Naturgesetzen unausbleiblich bestimmt sei, und diese Naturnothwendigkeit ist auch kein Erfahrungsbegriff, eben darum weil er den Begriff der Nothwendigkeit, mithin einer Erkenntniß a priori bei sich führt. Aber dieser Begriff von einer Natur wird durch Erfahrung bestätigt und muß selbst unvermeidlich vorausgesetzt werden, wenn Erfahrung, d. i. nach allgemeinen Gesetzen zusammenhängende Erkenntniß der Gegenstände der Sinne, möglich sein soll. Daher ist Freiheit nur eine Idee der Vernunft, deren objective Realität an sich zweifelhaft ist, Natur aber ein Verstandesbegriff, der seine Realität an Beispielen der Erfahrung beweiset und nothwendig beweisen muß.",
9.799,II . Beförderung der Vollkommenheit des Erkenntnisses durch logische Eintheilung der Begriffe.,
7.97,"III. Einwürfe und Beantwortung derselben, die Grundsätze der Schriftauslegung betreffend.",
9.751,"I . Beförderung der logischen Vollkommenheit des Erkenntnisses durch Definition, Exposition und Beschreibung der Begriffe.",
2.273,"Fünfte Betrachtung, Worin die Unzulänglichkeit der gewöhnlichen Methode der Physikotheologie gewiesen wird.",
3.349,Das Princip derselben ist: Erfahrung ist nur durch die Vorstellung einer nothwendigen Verknüpfung der Wahrnehmungen möglich.,
9.438,"3) Die Abstraction oder die Absonderung alles Übrigen, worin die gegebenen Vorstellungen sich unterscheiden.",
2.349,1. Eintheilung aller möglichen Beweisgründe vom Dasein Gottes.,
9.2274,"Der Mensch ist das einzige Geschöpf, das erzogen werden muß. Unter der Erziehung nämlich verstehen wir die Wartung (Verpflegung, Unterhaltung), Disciplin (Zucht) und Unterweisung nebst der Bildung. Dem zufolge ist der Mensch Säugling, - Zögling - und Lehrling.",
9.167,"4) die ästhetische Gewißheit. Diese beruht auf dem, was dem Zeugnisse der Sinne zufolge nothwendig ist, d. i. was durch Empfindung und Erfahrung bestätigt wird.",
6.90,b) Objective Realität dieser Idee.,
4.339,Dritte Analogie. Grundsatz der Gemeinschaft.,
7.478,A. Allgemeine Eintheilung.,
9.412,Die Erkenntniß durch Begriffe heißt das Denken ( cognitio discursiva ).,
4.310,Zweite Analogie. Grundsatz der Erzeugung.,
6.471,§ 14. Der rechtliche Act dieser Erwerbung ist Bemächtigung ( occupatio ).,
5.31,"Alle praktische Principien, die ein Object (Materie) des Begehrungsvermögens als Bestimmungsgrund des Willens voraussetzen, sind insgesammt empirisch und können keine praktische Gesetze abgeben.",
9.624,"In den Vordersätzen oder Prämissen besteht die Materie, und in der Conclusion, sofern sie die Consequenz enthält, die Form der Vernunftschlüsse.",
3.530,"Das formale und logische Verfahren derselben in Vernunftschlüssen giebt uns hierüber schon hinreichende Anleitung, auf welchem Grunde das transscendentale Principium derselben in der synthetischen Erkenntniß durch reine Vernunft beruhen werde.",
4.449,"Das formale und logische Verfahren derselben in Vernunftschlüssen giebt uns hierüber schon hinreichende Anleitung, auf welchem Grunde das transscendentale Principium derselben in der synthetischen Erkenntniß durch reine Vernunft beruhen werde.",
4.351,"2. Was mit den materialen Bedingungen der Erfahrung (der Empfindung) zusammenhängt, ist wirklich.",
3.415,"2. Was mit den materialen Bedingungen der Erfahrung (der Empfindung) zusammenhängt, ist wirklich.",
2.207,6. Das nothwendige Wesen enthält die höchste Realität.,
9.640,"Das Princip, worauf die Möglichkeit und Gültigkeit aller kategorischen Vernunftschlüsse beruht, ist dieses:",
6.95,c) Schwierigkeiten gegen die Realität dieser Idee und Auflösung derselben.,
9.87,"Zur Philosophie nach dem Schulbegriffe gehören zwei Stücke: Erstlich ein zureichender Vorrath von Vernunfterkenntnissen, für's Andre: ein systematischer Zusammenhang dieser Erkenntnisse oder eine Verbindung derselben in der Idee eines Ganzen.",
3.503,Die Tafel dieser Eintheilung des Begriffs von Nichts (denn die dieser gleichlaufende Eintheilung des Etwas folgt von selber) würde daher so angelegt werden müssen:,
2.344,"Fruchtbarkeit eines einzigen Grundes an viel Folgen, Zusammenstimmung und Schicklichkeit der Naturen, nach allgemeinen Gesetzen ohne öftern Widerstreit in einem regelmäßigen Plane zusammen zu passen, müssen zuvörderst in den Möglichkeiten der Dinge angetroffen werden, und nur alsdann kann Weisheit thätig sein sie zu wählen. Welche Schranken, die dem Unabhängigen aus einem fremden Grunde gesetzt sein würden, wenn selbst diese Möglichkeiten nicht in ihm gegründet wären? Und was für ein unverständliches Ungefähr, daß sich in diesem Felde der Möglichkeit ohne Voraussetzung irgend eines Existirenden Einheit und fruchtbare Zusammenpassung findet, dadurch das Wesen von den höchsten Graden der Macht und Weisheit, wenn jene äußere Verhältnisse mit seinem innern Vermögen verglichen werden, sich im Stande sieht große Vollkommenheit zuwege zu bringen? Gewiß, eine solche Vorstellung überliefert nimmermehr den Ursprung des Guten ohne allen Abbruch in die Hand eines einzigen Wesens. Als Hugen die Pendeluhr erfand, so konnte er, wenn er daran dachte, sich diese Gleichförmigkeit, welche ihre Vollkommenheit ausmacht, nimmer gänzlich beimessen; die Natur der Cykloide, die es möglich macht, daß kleine und große Bogen durch freien Fall in derselben in gleicher Zeit beschrieben werden, konnte diese Ausführung lediglich in seine Gewalt setzen. Daß aus dem einfachen Grunde der Schwere so ein großer Umfang von schönen Folgen auch nur möglich ist, würde, wenn es nicht von dem, der durch wirkliche Ausübung allen diesen Zusammenhang hervor gebracht hat, selbst abhinge, seinen Antheil an der reizenden Einheit und dem großen Umfange so vieler, auf einem einzigen Grunde beruhender Ordnung offenbar schmälern und theilen.",
