ID,Absatz,Künstliche Intelligenz
9.2188,Das Land Natal,0
2.20,Geschichte der Winde.,0
8.171,Beschluß der Geschichte.,0
6.722,Des öffentlichen Rechts,0
6.688,Des öffentlichen Rechts,0
6.618,Des öffentlichen Rechts,0
1.667,Siebentes Hauptstück.,0
9.2111,Borneo,0
1.665,Sechstes Hauptstück.,0
9.2190,Die Küste Sofala.,0
9.978,"Walchs ausführliche mathematische Geographie, zweite Aufl. Göttingen 1794.",0
4.647,Wie sind synthetische Sätze a priori möglich?,6
6.913,Sie enthält:,0
8.175,Schluß=Anmerkung.,0
9.2051,Sitten und Charakter der Nation.,0
7.828,E. Der Charakter der Gattung.,0
3.524,B. Vom logischen Gebrauche der Vernunft.,6
9.2104,3. Kaschmir,0
9.1997,2. Petroleum,0
9.1995,1. Naphtha,0
9.1999,3. Bergtheer,0
9.1992,6. Arsenik,0
9.2102,2. Bengala,0
9.2001,4. Der Bernstein,0
5.108,Der Analytik der praktischen Vernunft,6
5.160,Kritische Beleuchtung der Analytik der reinen praktischen Vernunft.,6
4.507,Kritik des ersten Paralogism der reinen Psychologie.,0
5.627,§ 46. Schöne Kunst ist Kunst des Genies.,5
5.24,Erstes Buch. Die Analytik der reinen praktischen Vernunft.,6
5.179,Zweites Buch. Dialektik der reinen praktischen Vernunft.,6
3.125,Beschluß der transscendentalen Ästhetik.,0
6.1051,Der ethischen Elementarlehre,0
6.917,Der ethischen Elementarlehre,0
5.128,Von der Typik der reinen praktischen Urtheilskraft.,6
8.629,"Was ist Philosophie, als Lehre, die unter allen Wissenschaften das größte Bedürfniß der Menschen ausmacht?",0
4.1260,Allgemeiner Zusatz zur Dynamik.,0
9.40,Die Logik wird eingetheilt,6
9.91,Das Feld der Philosophie in dieser weltbürgerlichen Bedeutung läßt sich auf folgende Fragen bringen:,0
9.65,"Unter den neuern Weltweisen giebt es zwei, welche die allgemeine Logik in Gang gebracht haben: Leibniz und Wolff.",0
2.213,1. Das nothwendige Wesen ist ein Geist.,0
9.61,"Was endlich die Geschichte der Logik betrifft, so wollen wir hierüber nur Folgendes anführen:",6
9.2158,Religion.,0
9.2146,Religion.,0
9.2064,Religion.,0
4.722,Reine Physiologische Tafel allgemeiner Grundsätze der Naturwissenschaft.,0
9.2323,Von der physischen Erziehung.,0
6.1166,Der ethischen Methodenlehre,0
9.896,Mathematische Vorbegriffe.,0
4.1311,Allgemeine Anmerkung zur Mechanik.,0
1.893,Experientia.,0
9.1799,Meerwunder.,0
4.1262,Allgemeine Anmerkung zur Dynamik.,0
8.631,Von den übersinnlichen Gegenständen unserer Erkenntniß.,4
9.2247,Rußland.,0
9.1982,1. Quecksilber.,0
7.756,Von der Leitung der Natur zur Physiognomik.,0
3.714,"Es existirt überall kein schlechthin nothwendiges Wesen weder in der Welt, noch außer der Welt als ihre Ursache.",0
7.753,Von der Physiognomik.,0
8.618,Von der physischen Wirkung der Philosophie.,0
6.1094,C. Theilnehmende Empfindung ist überhaupt Pflicht.,0
2.110,2. Vernünftig ist ein Merkmal der menschlichen Seele;,4
8.159,Muthmaßlicher Anfang der Menschengeschichte.,0
6.840,"2. Fremde Glückseligkeit als Zweck, der zugleich Pflicht ist.",0
6.835,"1. Eigene Vollkommenheit als Zweck, der zugleich Pflicht ist.",0
7.305,Rechtfertigung der Sinnlichkeit wider die Dritte Anklage.,0
6.883,3) Tugend muß (gleich der Klugheit) der Erfahrung abgelernt werden.,4
1.493,Diese Anmerkung belohnt unsere Mühe mit wichtigen Folgerungen.,0
4.165,Vorläufige Erinnerung.,0
8.119,Nun ist das Recht zum Verlage ein persönliches bejahendes Recht.,0
9.2028,"Opal ist von einer halbdurchsichtigen Milchfarbe, die aber gegen das Licht allerlei Farben spielt.",0
9.1004,Die merkwürdigsten Meerbusen sind:,0
9.1717,Der Maulwurf geht in der Erde nur auf Regenwürmer los und ist nicht blind.,0
9.1602,Die Weiber in dem heißesten Erdstriche zeugen von neun oder zehn Jahren an schon Kinder und hören bereits vor dem 25sten auf.,0
9.941,Aus dieser Bewegung der Erde nun um die Sonne entstehen folgende Kreise:,0
9.1641,"Das Rindvieh aus der Berberei hat eine viel andere Gestalt an Haaren, Hörnern und übriger Leibesbildung als das europäische.",0
9.1010,Die berühmtesten Straßen oder Meerengen nun sind:,0
6.882,2) Tugend ist die Beobachtung der Mittelstraße zwischen entgegengesetzten Lastern.,0
5.621,"Schöne Kunst dagegen ist eine Vorstellungsart, die für sich selbst zweckmäßig ist und, obgleich ohne Zweck, dennoch die Cultur der Gemüthskräfte zur geselligen Mittheilung befördert.",0
7.198,"Die Wärme, der Schlaf, die sorgfältige Pflege des nicht kranken sind solche Verwöhnungen der Gemächlichkeit.",0
7.398,A. Von dem sinnlichen Dichtungsvermögen der Bildung.,0
7.590,Der Geschmack enthält eine Tendenz zur äußeren Beförderung der Moralität.,0
2.42,1758,0
4.443,B. Vom logischen Gebrauche der Vernunft.,4
9.1924,p . Medicinalische Bäume.,0
5.661,"Zur schönen Kunst würden also Einbildungskraft, Verstand, Geist und Geschmack erforderlich sein *) .",5
5.658,§ 50. Von der Verbindung des Geschmacks mit Genie in Producten der schönen Kunst.,6
5.623,"§ 45. Schöne Kunst ist eine Kunst, sofern sie zugleich Natur zu sein scheint.",0
2.490,"Ich berühre nur flüchtig die Künste und die Wissenschaften, deren Wahl den Geschmack der Nationen bestätigen kann, welchen wir ihnen beigemessen haben. Das italiänische Genie hat sich vornehmlich in der Tonkunst, der Malerei, Bildhauerkunst und der Architektur hervorgethan. Alle diese schöne Künste finden einen gleich feinen Geschmack in Frankreich für sich, obgleich die Schönheit derselben hier weniger rührend ist. Der Geschmack in Ansehung der dichterischen oder rednerischen Vollkommenheit fällt in Frankreich mehr in das Schöne, in England mehr in das Erhabene. Die feine Scherze, das Lustspiel, die lachende Satire, das verliebte Tändeln und die leicht und natürlich fließende Schreibart sind dort original. In England dagegen Gedanken von tiefsinnigem Inhalt, das Trauerspiel, das epische Gedicht und überhaupt schweres Gold von Witze, welches unter französischem Hammer zu dünnen Blättchen von großer Oberfläche kann gedehnt werden. In Deutschland schimmert der Witz noch sehr durch die Folie. Ehedem war er schreiend, durch Beispiele aber und den Verstand der Nation ist er zwar reizender und edler geworden, aber jenes mit weniger Naivetät, dieses mit einem minder kühnen Schwunge, als in den erwähnten Völkerschaften. Der Geschmack der holländischen Nation an einer peinlichen Ordnung und einer Zierlichkeit, die in Bekümmerniß und Verlegenheit setzt, läßt auch wenig Gefühl in Ansehung der ungekünstelten und freien Bewegungen des Genies vermuthen, dessen Schönheit durch die ängstliche Verhütung der Fehler nur würde entstellt werden. Nichts kann allen Künsten und Wissenschaften mehr entgegen sein als ein abenteuerlicher Geschmack, weil dieser die Natur verdreht, welche das Urbild alles Schönen und Edlen ist. Daher hat die spanische Nation auch wenig Gefühl für die schönen Künste und Wissenschaften an sich gezeigt.",6
5.671,"Die Malerkunst, als die zweite Art bildender Künste, welche den Sinnenschein künstlich mit Ideen verbunden darstellt, würde ich in die der schönen Schilderung der Natur und in die der schönen Zusammenstellung ihrer Producte eintheilen. Die erste wäre die eigentliche Malerei, die zweite die Lustgärtnerei. Denn die erste giebt nur den Schein der körperlichen Ausdehnung; die zweite zwar diese nach der Wahrheit, aber nur den Schein von Benutzung und Gebrauch zu anderen Zwecken, als bloß für das Spiel der Einbildung in Beschauung ihrer Formen *) . Die letztere ist nichts anders, als die Schmückung des Bodens mit derselben Mannigfaltigkeit (Gräsern, Blumen, Sträuchen Und Bäumen, selbst Gewässern, Hügeln und Thälern), womit ihn die Natur dem Anschauen darstellt, nur anders und angemessen gewissen Ideen zusammengestellt. Die schöne Zusammenstellung aber körperlicher Dinge ist auch nur für das Auge gegeben, wie die Malerei; der Sinn des Gefühls kann keine anschauliche Vorstellung von einer solchen Form verschaffen. Zu der Malerei im weiten Sinne würde ich noch die Verzierung der Zimmer durch Tapeten, Aufsätze und alles schöne Amöblement, welches bloß zur Ansicht dient, zählen; imgleichen die Kunst der Kleidung nach Geschmack (Ringe, Dosen u. s. w.). Denn ein Parterre von allerlei Blumen, ein Zimmer mit allerlei Zierathen (selbst den Putz der Damen darunter begriffen) machen an einem Prachtfeste eine Art von Gemälde aus, welches, so wie die eigentlich sogenannten (die nicht etwa Geschichte, oder Naturkenntniß zu lehren die Absicht haben) bloß zum Ansehen da ist, um die Einbildungskraft im freien Spiele mit Ideen zu unterhalten und ohne bestimmten Zweck die ästhetische Urtheilskraft zu beschäftigen. Das Machwerk an allem diesem Schmucke mag immer mechanisch sehr unterschieden sein und ganz verschiedene Künstler erfordern; das Geschmacksurtheil ist doch über das, was in dieser Kunst schön ist, sofern auf einerlei Art bestimmt: nämlich nur die Formen (ohne Rücksicht auf einen Zweck) so, wie sie sich dem Auge darbieten, einzeln oder in ihrer Zusammensetzung nach der Wirkung, die sie auf die Einbildungskraft thun, zu beurtheilen. - Wie aber bildende Kunst zur Geberdung in einer Sprache (der Analogie nach) gezählt werden könne, wird dadurch gerechtfertigt, daß der Geist des Künstlers durch diese Gestalten von dem, was und wie er gedacht hat, einen körperlichen Ausdruck giebt und die Sache selbst gleichsam mimisch sprechen macht: ein sehr gewöhnliches Spiel unserer Phantasie, welche leblosen Dingen ihrer Form gemäß einen Geist unterlegt, der aus ihnen spricht.",6
7.537,"§ 58. Ob der Welt durch große Genies im Ganzen sonderlich gedient sei, weil sie doch oft neue Wege einschlagen und neue Aussichten eröffnen, oder ob mechanische Köpfe, wenn sie gleich nicht Epoche machten, mit ihrem alltägigen, langsam am Stecken und Stabe der Erfahrung fortschreitenden Verstande nicht das Meiste zum Wachsthum der Künste und Wissenschaften beigetragen haben (indem sie, wenn gleich keiner von ihnen Bewunderung erregte, doch auch keine Unordnung stifteten), mag hier unerörtert bleiben. - Aber ein Schlag von ihnen, Geniemänner (besser Genieaffen) genannt, hat sich unter jenem Aushängeschilde mit eingedrängt, welcher die Sprache außerordentlich von der Natur begünstigter Köpfe führt, das mühsame Lernen und Forschen für stümperhaft erklärt und den Geist aller Wissenschaft mit dem Griffe gehascht zu haben, ihn aber in kleinen Gaben concentrirt und kraftvoll zu reichen vorgiebt. Dieser Schlag ist, wie der der Quacksalber und Marktschreier den Fortschritten in wissenschaftlicher und sittlicher Bildung sehr nachtheilig, wenn er über Religion, Staatsverhältnisse und Moral gleich dem Eingeweihten oder Machthaber vom Weisheitssitze herab im entscheidenden Tone abspricht und so die Armseligkeit des Geistes zu verdecken weiß. Was ist hiewider anders zu thun, als zu lachen und seinen Gang mit Fleiß, Ordnung und Klarheit geduldig fortzusetzen, ohne auf jene Gaukler Rücksicht zu nehmen?",6
7.521,Von den Talenten im Erkenntnißvermögen.,5
5.641,"Die schöne Kunst zeigt darin eben ihre Vorzüglichkeit, daß sie Dinge, die in der Natur häßlich oder mißfällig sein würden, schön beschreibt. Die Furien, Krankheiten, Verwüstungen des Krieges u. d. gl. können als Schädlichkeiten sehr schön beschrieben, ja sogar im Gemälde vorgestellt werden; nur eine Art Häßlichkeit kann nicht der Natur gemäß vorgestellt werden, ohne alles ästhetische Wohlgefallen, mithin die Kunstschönheit zu Grunde zu richten: nämlich diejenige, welche Ekel erweckt. Denn weil in dieser sonderbaren, auf lauter Einbildung beruhenden Empfindung der Gegenstand gleichsam, als ob er sich zum Genusse aufdränge, wider den wir doch mit Gewalt streben, vorgestellt wird: so wird die künstliche Vorstellung des Gegenstandes von der Natur dieses Gegenstandes selbst in unserer Empfindung nicht mehr unterschieden, und jene kann alsdann unmöglich für schön gehalten werden. Auch hat die Bildhauerkunst, weil an ihren Producten die Kunst mit der Natur beinahe verwechselt wird, die unmittelbare Vorstellung häßlicher Gegenstände von ihren Bildungen ausgeschlossen und dafür z. B. den Tod (in einem schönen Genius), den Kriegsmuth (am Mars) durch eine Allegorie oder Attribute, die sich gefällig ausnehmen, mithin nur indirect vermittelst einer Auslegung der Vernunft und nicht für bloß ästhetische Urtheilskraft vorzustellen erlaubt.",4
7.196,Grundsatz der Diätetik.,0
3.713,Antithesis.,0
3.651,Antithesis.,0
3.693,Antithesis.,0
3.672,Antithesis.,0
9.2127,Ceylon,0
9.2149,Asiatische Tatarei.,0
9.2086,Pegu,0
6.789,Einleitung zur Tugendlehre.,0
9.2177,Asiatische Türkei.,0
9.2152,Sibirien.,0
2.153,1763,0
9.1776,Amphibien.,0
2.686,1770,0
9.2133,Persien.,0
8.645,1797,0
6.270,1797,0
8.377,1793,0
7.298,Apologie für die Sinnlichkeit.,0
3.417,Erläuterung.,0
4.78,Erläuterung.,0
4.353,Erläuterung.,0
7.265,Über die Förmlichkeit der egoistischen Sprache.,0
3.427,Widerlegung des Idealismus.,0
9.669,§. 71. Regel der zweiten Figur.,0
7.500,C. Von den Gemüthskrankheiten.,0
7.39,Eintheilung der Facultäten überhaupt.,0
6.860,a. Das moralische Gefühl.,0
7.357,Vom inneren Sinn.,0
9.18,I. Begriff der Logik.,6
9.1716,d . Das Maulwurfsgeschlecht.,0
9.1403,Geschichte der Flüsse.,0
9.675,§. 73. Regel der vierten Figur.,0
9.672,§. 72. Regel der dritten Figur.,0
8.9,Nachricht an Ärzte.,0
8.10,Nachricht an Ärzte.,0
9.1859,Siebentes Hauptstück. Von andern kriechenden Thieren.,0
9.2020,1. Von den Edelgesteinen.,0
9.1675,D. Vierklauichte Thiere.,0
9.800,§. 110. Begriff der logischen Eintheilung.,6
9.615,§. 58. Wesentliche Bestandstücke des Vernunftschlusses.,5
6.910,XVIII. Eintheilung der Ethik.,0
2.16,Viertes Hauptstück. Geschichte der Flüsse und Bäche.,0
