ID,Absatz,"KI, Machinenlernen, Tiefe neuronale Netze, Worteinbettung"
8.67,I. Ideen zur Philosophie der Geschichte der Menschheit von Joh. Gottfr. Herder. Quem te Deus esse iussit et humana qua parte locatus es in re disce. Erster Theil. S. 318. 4. Riga und Leipzig bei Hartknoch 1784.,0
2.133,"Dieses schließt nur, weil ich durch eine Umkehrung per accidens aus dem Untersatz also schließen kann: folglich sind einige vernünftige Wesen Menschen, und alsdann werden die Begriffe nach der Regel aller Vernunftschlüsse verglichen, aber nur vermittelst eines eingeschobnen unmittelbaren Schlusses, und man hat ein ratiocinium hybridum :",0
9.428,"Alle empirisch oder a posteriori gegebenen Begriffe heißen Erfahrungsbegriffe, a priori gegebene, Notionen.",0
3.735,Auf der Seite also des Dogmatismus in Bestimmung der kosmologischen Vernunftideen oder der Thesis zeigt sich,0
9.1246,Bei der natürlichen Anlage des festen Landes sind drei Stücke vornehmlich zu merken:,0
4.368,Der Transscendentalen Doctrin der Urtheilskraft (Analytik der Grundsätze),0
9.1010,Die berühmtesten Straßen oder Meerengen nun sind:,0
9.765,§. 104. Analytische Definitionen durch Zergliederung a priori oder a posteriori gegebene Begriffe.,0
9.2103,"hat überhaupt sehr große Künstler. Ihre Leinewand übertrifft alle denkbare Feinheit. In Verfertigung gemalter Gläser, Seidenzeuge, eines guten Mörtels zum Mauern, allerlei guter Medicamente und Chineser Arbeiten sind sie berühmt.",0
8.306,Zweiter Abschnitt. Die Auflösung der Aufgabe: Wie sind synthetische Urtheile a priori möglich? nach Herrn Eberhard.,6
9.1524,"Man findet aber auch andere Seethiere versteinert oder in Stein abgeformt allenthalben auch mitten in dem Gesteine, daraus die Gebirge bestehen. Es giebt darin häufige Schlangenzungen oder versteinerte Zähne vom Haifisch, das gewundene Horn des Narwals, Knochen von Walfischen, Theile von versteinerten Seeinsecten, dahin die Judensteine, Asteroiden, Petunkeln usw. gezählt werden müssen.",0
9.470,§. 15. Bedingungen der Entstehung höherer und niederer Begriffe: Logische Abstraction und logische Determination.,0
9.494,"§. 22. Qualität der Urtheile: Bejahende, Verneinende, Unendliche.",0
9.523,"§. 30. Modalität der Urtheile: Problematische, assertorische, apodiktische.",0
9.485,"§. 20. Logische Formen der Urtheile: Quantität, Qualität, Relation und Modalität.",0
4.1046,Dritter Abschnitt. Übergang von der Metaphysik der Sitten zur Kritik der reinen praktischen Vernunft.,0
3.273,Der Transscendentalen Doctrin der Urtheilskraft (oder Analytik der Grundsätze),0
3.295,Der Transscendentalen Doctrin der Urtheilskraft (oder Analytik der Grundsätze),0
4.245,Der Transscendentalen Doctrin der Urtheilskraft (oder Analytik der Grundsätze),0
4.224,Der Transscendentalen Doctrin der Urtheilskraft (oder Analytik der Grundsätze),0
7.715,"Psychologisch aber erwogen, d. i. als Temperament der Seele (Gefühls- und Begehrungsvermögens), werden jene von der Blutbeschaffenheit entlehnte Ausdrücke nur als nach der Analogie des Spiels der Gefühle und Begierden mit körperlichen bewegenden Ursachen (worunter das Blut die vornehmste ist) vorgestellt.",0
7.397,"§ 31. Es giebt drei verschiedene Arten des sinnlichen Dichtungsvermögens. Diese sind das bildende der Anschauung im Raum ( imaginatio plastica ), das beigesellende der Anschauung in der Zeit ( imaginatio associans ) und das der Verwandtschaft aus der gemeinschaftlichen Abstammung der Vorstellungen von einander ( affinitas ).",0
3.610,"Allgemeine Anmerkung, den Übergang von der rationalen Psychologie zur Kosmologie betreffend.",0
9.203,"Die bloße Polyhistorie ist eine cyklopische Gelehrsamkeit, der ein Auge fehlt, das Auge der Philosophie, und ein Cyklop von Mathematiker, Historiker, Naturbeschreiber, Philolog und Sprachkundiger ist ein Gelehrter, der groß in allen diesen Stücken ist, aber alle Philosophie darüber für entbehrlich hält.",6
3.478,Anmerkung zur Amphibolie der Reflexionsbegriffe.,0
4.399,Anmerkung zur Amphibolie der Reflexionsbegriffe.,0
3.94,Metaphysische Erörterung des Begriffs der Zeit.,0
9.202,"Historisch unwissend sind gemeiniglich Vernunftlehrer. Das historische Wissen ohne bestimmte Grenzen ist Polyhistorie; diese bläht auf. Polymathie geht auf das Vernunfterkenntniß. Beides, das ohne bestimmte Grenzen ausgedehnte historische so wohl als rationale Wissen kann Pansophie heißen. Zum historischen Wissen gehört die Wissenschaft von den Werkzeugen der Gelehrsamkeit - die Philologie, die eine kritische Kenntniß der Bücher und Sprachen (Literatur und Linguistik) in sich faßt.",0
2.627,"Drittes Hauptstück. Antikabbala. Ein Fragment der gemeinen Philosophie, die Gemeinschaft mit der Geisterwelt aufzuheben.",0
9.153,"Auf den hier angegebenen Unterschied zwischen intuitiven und discursiven Erkenntnissen, oder zwischen Anschauungen und Begriffen gründet sich die Verschiedenheit der ästhetischen und der logischen Vollkommenheit des Erkenntnisses.",6
9.308,"Das analytische Verfahren, Deutlichkeit zu erzeugen, womit sich die Logik allein beschäftigen kann, ist das erste und hauptsächlichste Erforderni bei der Deutlichmachung unseres Erkenntnisses. Denn je deutlicher unser Erkenntniß von einer Sache ist: um so stärker und wirksamer kann es auch sein. Nur muß die Analysis nicht so weit gehen, daß darüber der Gegenstand selbst am Ende verschwindet.",0
9.54,"Man kann indessen den allgemeinen Menschenverstand zum Object der Logik annehmen, und in so fern wird sie von den besonderen Regeln der speculativen Vernunft abstrahiren und sich also von der Logik des speculativen Verstandes unterscheiden.",0
4.203,"Die objective Einheit alles (empirischen) Bewußtseins in einem Bewußtsein (der ursprünglichen Apperception) ist also die nothwendige Bedingung sogar aller möglichen Wahrnehmung, und die Affinität aller Erscheinungen (nahe oder entfernte) ist eine nothwendige Folge einer Synthesis in der Einbildungskraft, die a priori auf Regeln gegründet ist.",3
3.136,"2) Als reine Logik hat sie keine empirische Principien, mithin schöpft sie nichts (wie man sich bisweilen überredet hat) aus der Psychologie, die also auf den Kanon des Verstandes gar keinen Einfluß hat. Sie ist eine demonstrirte Doctrin, und alles muß in ihr völlig a priori gewiß sein.",3
4.100,"2) Als reine Logik hat sie keine empirische Principien, mithin schöpft sie nichts (wie man sich bisweilen überredet hat) aus der Psychologie, die also auf den Kanon des Verstandes gar keinen Einfluß hat. Sie ist eine demonstrirte Doctrin, und alles muß in ihr völlig a priori gewiß sein.",3
9.141,"Die Verschiedenheit der Form des Erkenntnisses beruht auf einer Bedingung, die alles Erkennen begleitet, auf dem Bewußtsein. Bin ich mir der Vorstellung bewußt: so ist sie klar; bin ich mir derselben nicht bewußt, dunkel.",3
5.990,"Es bleibt hiebei immer sehr merkwürdig: daß unter den drei reinen Vernunftideen, Gott, Freiheit und Unsterblichkeit, die der Freiheit der einzige Begriff des Übersinnlichen ist, welcher seine objective Realität (vermittelst der Causalität, die in ihm gedacht wird) an der Natur durch ihre in derselben mögliche Wirkung beweiset und eben dadurch die Verknüpfung der beiden andern mit der Natur, aller drei aber unter einander zu einer Religion möglich macht; und daß wir also in uns ein Princip haben, welches die Idee des Übersinnlichen in uns, dadurch aber auch die desselben außer uns zu einer, obgleich nur in praktischer Absicht möglichen, Erkenntniß zu bestimmen vermögend ist, woran die bloß speculative Philosophie (die auch von der Freiheit einen bloß negativen Begriff geben konnte) verzweifeln mußte: mithin der Freiheitsbegriff (als Grundbegriff aller unbedingt-praktischen Gesetze) die Vernunft über diejenigen Gränzen erweitern kann, innerhalb deren jeder Naturbegriff (theoretischer) ohne Hoffnung eingeschränkt bleiben müßte.",0
9.827,"Die analytische Methode ist der synthetischen entgegengesetzt. Jene fängt von dem Bedingten und Begründeten an und geht zu den Principien fort ( a principiatis ad principia ), diese hingegen geht von den Principien zu den Folgen oder vom Einfachen zum Zusammengesetzten. Die erstere könnte man auch die regressive, so wie die letztere die progressive nennen.",0
9.759,§. 102. Synthetische Definitionen durch Exposition oder Construction.,0
7.445,"§ 39. Man kann die Zeichen in willkürliche (Kunst-), in natürliche und in Wunderzeichen eintheilen.",0
9.751,"I . Beförderung der logischen Vollkommenheit des Erkenntnisses durch Definition, Exposition und Beschreibung der Begriffe.",0
9.45,"Man pflegt die Logik ferner einzutheilen 2) in die natürliche oder populare und in die künstliche oder wissenschaftliche Logik ( logica naturalis, log. scholastica s. artificialis ).",3
9.435,"Die logischen Verstandes-Actus, wodurch Begriffe ihrer Form nach erzeugt werden, sind:",0
9.2030,"Der rothgelbe Rubin heißt Hyazinth, einige aber sind braungelb, honigfarb, halb oder ganz durchsichtig.",0
4.268,1. Axiomen der Anschauung 2. Anticipationen der Wahrnehmung 3. Analogien der Erfahrung 4. Postulate des empirischen Denkens überhaupt,6
9.658,§. 66. Vermischte Vernunftschlüsse durch Umkehrung der Sätze - Figuren.,0
9.1989,"ist weißlicht blau und eine Art Bleierz, aber härter. Setzt sich an die goslarschen Schmelzofen beim Schmelzen des Bleierzes, wo es häufig abgekratzt wird.",0
9.2015,Alaun hält außer der vitriolischen Säure eine Mergelerde; in Solfatara wird Vitriol und Alaun gekocht und zwar in bleiernen Kesseln durch die bloße Hitze des Bodens.,0
1.926,Observationum barometricarum cum hypothesi consensus.,0
2.656,"Somnia, terrores magicos, miracula, sagas, Nocturnos lemures, portentaque Thessala -. HORATIUS.",0
9.2042,"die Siegelerden ( terrae sigillatae ) von Lemnus, Malta und Liegnitz zu merken. Sie sind alle etwas fett, kleben stark an der Zunge, werden bei Fleckfiebern und Durchfall gebraucht. Umbra ist eine braune Kreide aus Umbra oder Spoleto in Italien. Adlersteine, heißen auch sonst Klappersteine, haben in der Mitte einen Stein, der klappert. Es giebt riechende Steine oder Violensteine, ingleichen Stinksteine. In der neuern Zeit ist ein Stein von der besondern Eigenschaft entdeckt worden, daß er die Asche, wie der Magnet das Eisen an sich zieht.",0
3.875,( Prototypon transscendentale ).,0
9.412,Die Erkenntniß durch Begriffe heißt das Denken ( cognitio discursiva ).,6
4.647,Wie sind synthetische Sätze a priori möglich?,5
8.216,Über den Gebrauch teleologischer Principien in der Philosophie.,0
7.756,Von der Leitung der Natur zur Physiognomik.,0
1.905,Idem ex transparentia vitrorum fit probabile.,0
7.753,Von der Physiognomik.,0
6.313,( Philosophia practica universalis. ),0
8.618,Von der physischen Wirkung der Philosophie.,0
8.629,"Was ist Philosophie, als Lehre, die unter allen Wissenschaften das größte Bedürfniß der Menschen ausmacht?",0
3.739,Auf der Seite des Empirismus in Bestimmung der kosmologischen Ideen oder der Antithesis findet sich,0
3.592,"In dem Verfahren der rationalen Psychologie herrscht ein Paralogism, der durch folgenden Vernunftschluß dargestellt wird.",0
7.232,"2) Mit Didotschen Lettern von schmalen Füßen, nicht mit Breitkopfschen, die ihrem Namen Buchstaben (gleichsam bücherner Stäbe zum Feststehen) besser entsprechen würden.",0
6.924,§ 3. Aufschluß dieser scheinbaren Antinomie.,0
6.749,Ferner ist mir als Heterodoxie im natürlichen Privatrechte auch der Satz: Kauf bricht Miethe (Rechtslehre § 31. S. 129) zur Rüge aufgestellt worden.,0
9.566,"§. 43. Verstandesschlüsse, Vernunftschlüsse und Schlüsse der Urtheilskraft.",6
9.1695,2. Das Markgrafsfaulthier ist eine Art davon. Der verkleidete Faulthieraffe hat einen Hundskopf und ist zweizehicht.,0
5.982,"Erkennbare Dinge sind nun von dreifacher Art: Sachen der Meinung ( opinabile ), Thatsachen ( scibile ) und Glaubenssachen ( mere credibile ).",0
9.705,§. 81. Bestimmende und reflectirende Urtheilskraft.,0
8.143,V. Betrachtung über das Gesetz der nothwendig halbschlächtigen Zeugung.,0
9.776,§. 106. Nominal= und Real=Definitionen.,0
9.1675,D. Vierklauichte Thiere.,0
6.21,"Daß die Welt im Argen liege, ist eine Klage, die so alt ist, als die Geschichte, selbst als die noch ältere Dichtkunst, ja gleich alt mit der ältesten unter allen Dichtungen, der Priesterreligion. Alle lassen gleichwohl die Welt vom Guten anfangen: vom goldenen Zeitalter, vom Leben im Paradiese, oder von einem noch glücklichern in Gemeinschaft mit himmlischen Wesen. Aber dieses Glück lassen sie bald wie einen Traum verschwinden und nun den Verfall ins Böse (das Moralische, mit welchem das Physische immer zu gleichen Paaren ging) zum Ärgern mit accelerirtem Falle eilen *) : so daß wir jetzt (dieses Jetzt aber ist so alt, als die Geschichte) in der letzten Zeit leben, der jüngste Tag und der Welt Untergang vor der Thür ist, und in einigen Gegenden von Hindostan der Weltrichter und Zerstörer Ruttren (sonst auch Siba oder Siwen genannt) schon als der jetzt machthabende Gott verehrt wird, nachdem der Welterhalter Wischnu, seines Amts, das er vom Weltschöpfer Brahma übernahm, müde, es schon seit Jahrhunderten niedergelegt hat.",0
7.622,"Die Naturgabe einer Apathie bei hinreichender Seelenstärke ist, wie gesagt, das glückliche Phlegma (im moralischen Sinne). Wer damit begabt ist, der ist zwar darum eben noch nicht ein Weiser, hat aber doch die Begünstigung von der Natur, daß es ihm leichter wird als Anderen, es zu werden.",0
9.656,§. 65. Reine und vermischte kategorische Vernunftschlüsse.,0
9.67,"Die allgemeine Logik von Wolff ist die beste, welche man hat. Einige haben sie mit der Aristotelischen verbunden, wie z. B. Reusch.",0
1.160,"Die Cartesianer entgehen diesem Einwurfe, indem sie die Zeit mit herbeiziehen. Denn obgleich jede Feder in den Körper m auf der schiefen Fläche ac weniger Kraft hineinbringt (weil ein Theil durch den Widerstand der Fläche verzehrt wird), so wirken dafür diese Federn in den Körper m viel länger als in den Körper l , der ihrem Drucke eine viel kürzere Zeit ausgesetzt ist.",0
9.1939,"Die Calabassenbäume in Afrika und Indien tragen eine Frucht, die, von einander geschnitten, gute Kochtöpfe und nach Wegnehmung des Halses gute Geschirre abgiebt.",0
2.830,"Der öffentliche Ruf und vornehmlich die vereinigte Stimmen gewissenhafter und einsehender Kenner aus verschiedenen Ländern werden die Leser dieser Zeitung schon das Dessauische Educationsinstitut (Philanthropin) als dasjenige einzige kennen gelehrt haben, was diese Merkmale der Vortrefflichkeit an sich trägt, wovon es eine nicht der geringsten ist: daß es seiner Einrichtung gemäß alle ihm im Anfange etwa noch anhängende Fehler natürlicher Weise von selbst abwerfen muß. Die dawider sich hie oder da regende Anfälle und bisweilen Schmähschriften (deren eine, nämlich die Mangelsdorfische, neuerlich von Herrn Basedow mit der eigenthümlichen Würde der Rechtschaffenheit beantwortet worden) sind so gewöhnliche Griffe der Tadelsucht und des sich auf seinem Miste vertheidigenden alten Herkommens, daß eine ruhige Gleichgültigkeit dieser Art Leute, die auf alles, was sich als gut und edel ankündigt, jederzeit hämische Blicke werfen, vielmehr einigen Verdacht wegen der Mittelmäßigkeit dieses sich erhebenden Guten erregen müßte.",0
5.730,"Dem Realism der ästhetischen Zweckmäßigkeit der Natur, da man nämlich annehmen möchte, daß der Hervorbringung des Schönen eine Idee desselben in der hervorbringenden Ursache, nämlich ein Zweck zu Gunsten unserer Einbildungskraft, zum Grunde gelegen habe, reden die schönen Bildungen im Reiche der organisirten Natur gar sehr das Wort. Die Blumen, Blüthen, ja die Gestalten ganzer Gewächse, die für ihren eigenen Gebrauch unnöthige, aber für unsern Geschmack gleichsam ausgewählte Zierlichkeit der thierischen Bildungen von allerlei Gattungen; vornehmlich die unsern Augen so wohlgefällige und reizende Mannigfaltigkeit und harmonische Zusammensetzung der Farben (am Fasan, an Schalthieren, Insecten, bis zu den gemeinsten Blumen), die, indem sie bloß die Oberfläche und auch an dieser nicht einmal die Figur der Geschöpfe, welche doch noch zu den innern Zwecken derselben erforderlich sein könnte, betreffen, gänzlich auf äußere Beschauung abgezweckt zu sein scheinen: geben der Erklärungsart durch Annehmung wirklicher Zwecke der Natur für unsere ästhetische Urtheilskraft ein großes Gewicht.",0
9.1654,"a . Die wiederkäuenden mit festem, ästlichen Geweihe.",0
9.1830,"d . Balanen oder Palanen, Meerdatteln.",0
9.2069,"Dahin gehören vornehmlich Theebou, Singlothee, Quecksilber, Chinawurzel, Rhabarber, Rohr und verarbeitete Seide, Kupfer in kleinen Stangen, Kampher, Fächer, Schildereien, lackirte Waaren, Porzellan, Sago, Borax, Lazursteine, Tutenag. Indische Vogelnester sind Nester von Vögeln, die den Meerschwalben gleichen, und welche aus dem Schaume des Meeres, der mit einem in ihrem Schnabel generirten Safte vermengt wird, jene Nester bilden. Sie sind weiß und durchsichtig, werden in Suppen gebraucht und haben einen aromatischen Geschmack. (Die neuesten Berichte der Engländer seit Macartneys Gesellschaftsreise haben uns China in vielen Stücken von einer andern Seite kennen gelehrt, als bis dahin die Missionsnachrichten. Aber auch in jenen Nachrichten herrscht noch unfehlbar große Übertreibung, doch ohne Schuld der Engländer).",0
9.1136,"Anmerkung. Diese Meerstrudel oder Wirbel bestehen in kreis- oder spiralförmigen, trichterförmigen Bewegungen des Meeres an besondern Stellen desselben, und die Ursache derselben beruht eben so oft auf den unter dem Wasser befindlichen Klippen als auf der Ebbe und Fluth, auf Vertiefung des Meerbodens etc., ohne daß man deshalb die Erzählungen von tiefen Schlünden, wie sie z. B. der Taucher Cola Pesce unter der Charybdis wollte gefunden haben (S. KIRCHERI Mundus subterr. T. I . p. 97.), für etwas mehr als bloße Fabel halten darf. Auf alle drei hier genannten Strudel haben Ebbe und Fluth die augenscheinlichste Einwirkung, nur daß das jedesmalige Locale hier eine Abänderung bewirkt. Vergl. Gehler a. ö. a. O. Art: Strudel.",0
9.1316,"Anmerkung. Höhlen sind Vertiefungen, meistens in Kalkgebirgen, mit mehr oder minder ausgedehnten Gewölben und Gängen. Die Entstehung solcher Höhlen beruht bald auf Ausspülungen durch Wasser, bald auf unterirdischen Feuerausbrüchen. Die Zahl derselben auf der Erde ist überaus groß, wenn auch nicht alle gleich merkwürdig sind. Zu den merkwürdigsten gehören außer der Baumannshöhle im Harz die Tropfsteinhöhle bei Slains in Nordschottland, die Fingalshöhle auf der Insel Staffa, die Höhle auf Antiparos (s. Rink, neue Sammlung der Reisen nach dem Orient. Th. I. S. 83 u. f.), die Höhle auf Candia oder das Labyrinth (s. das eben angeführte Buch a.a.O. S. 24 u. f.) und die ihrer schädlichen und warmen Dämpfe wegen berühmte Hundsgrotte in Italien unfern Neapel. Von den im Paragraph erwähnten Auswüchsen in den Wänden solcher Höhlen eingeritzter Inschriften giebt das Labyrinth unter andern Belege (s. die angeführten Reisen, S. 25). Die obengedachte Höhle im karpathischen Gebirge ist die sogenannte Sczeliczahöhle. Der Bergschwaden wird auch mit einem französischen Namen Mofette genannt.",0
9.1527,"Zuerst ist die Betrachtung der Schichten nothwendig, daraus die obere Rinde der Erde besteht. Man findet verschiedene Strata oder Schichten von allerlei Materien, als Lehm, feinen Sand, Kalkerde, groben Sand, Muscheln usw., gleichsam blätterweise über einander. Dergleichen Schichten sind entweder horizontal oder inclinirt und sind, so weit sie sich erstrecken, von einerlei Dicke.",0
9.912,"Eine Klafter oder eine Toise ist dasselbe, was bei den Schiffern ein Faden und in der Sprache der Bergleute ein Lachter heißt. Er beträgt 6 Fuß oder 5 Dresdner Ellen.",0
