ID,Absatz,Linguistik
8.645,1797,0
2.785,1771,0
4.1,1781,0
6.913,Sie enthält:,0
2.577,1765,0
2.153,1763,0
8.65,1785,0
4.920,1785,0
3.76,Metaphysische Erörterung dieses Begriffs.,6
5.108,Der Analytik der praktischen Vernunft,0
4.368,Der Transscendentalen Doctrin der Urtheilskraft (Analytik der Grundsätze),5
4.513,Kritik des zweiten Paralogisms der transscendentalen Psychologie.,5
4.542,Kritik des vierten Paralogisms der transscendentalen Psychologie.,5
4.532,Kritik des dritten Paralogisms der transscendentalen Psychologie.,5
4.245,Der Transscendentalen Doctrin der Urtheilskraft (oder Analytik der Grundsätze),5
4.224,Der Transscendentalen Doctrin der Urtheilskraft (oder Analytik der Grundsätze),5
3.295,Der Transscendentalen Doctrin der Urtheilskraft (oder Analytik der Grundsätze),5
3.273,Der Transscendentalen Doctrin der Urtheilskraft (oder Analytik der Grundsätze),5
3.592,"In dem Verfahren der rationalen Psychologie herrscht ein Paralogism, der durch folgenden Vernunftschluß dargestellt wird.",0
9.204,"Einen Theil der Philologie machen die Humaniora aus, worunter man die Kenntniß der Alten versteht, welche die Vereinigung der Wissenschaft mit Geschmack befördert, die Rauhigkeit abschleift und die Communicabilität und Urbanität, worin Humanität besteht, befördert.",1
3.1212,"Bis dahin ist aber der Begriff von Philosophie nur ein Schulbegriff, nämlich von einem System der Erkenntniß, die nur als Wissenschaft gesucht wird, ohne etwas mehr als die systematische Einheit dieses Wissens, mithin die logische Vollkommenheit der Erkenntniß zum Zwecke zu haben. Es giebt aber noch einen Weltbegriff ( conceptus cosmicus ), der dieser Benennung jederzeit zum Grunde gelegen hat, vornehmlich wenn man ihn gleichsam personificirte und in dem Ideal des Philosophen sich als ein Urbild vorstellte. In dieser Absicht ist Philosophie die Wissenschaft von der Beziehung aller Erkenntniß auf die wesentlichen Zwecke der menschlichen Vernunft ( teleologia rationis humanae ), und der Philosoph ist nicht ein Vernunftkünstler, sondern der Gesetzgeber der menschlichen Vernunft. In solcher Bedeutung wäre es sehr ruhmredig, sich selbst einen Philosophen zu nennen und sich anzumaßen, dem Urbilde, das nur in der Idee liegt, gleichgekommen zu sein.",5
9.61,"Was endlich die Geschichte der Logik betrifft, so wollen wir hierüber nur Folgendes anführen:",0
9.91,Das Feld der Philosophie in dieser weltbürgerlichen Bedeutung läßt sich auf folgende Fragen bringen:,6
3.607,Beschluß der Auflösung des psychologischen Paralogisms.,6
9.55,Was den Vortrag der Logik betrifft: so kann derselbe entweder scholastisch oder popular sein.,0
6.150,VI. Der Kirchenglaube hat zu seinem höchsten Ausleger den reinen Religionsglauben.,0
7.298,Apologie für die Sinnlichkeit.,0
6.1166,Der ethischen Methodenlehre,0
4.1337,Allgemeine Anmerkung zur Phänomenologie.,0
3.708,Thesis.,0
3.688,Thesis.,0
3.667,Thesis.,0
3.645,Thesis.,0
9.2149,Asiatische Tatarei.,0
9.1992,6. Arsenik,0
6.313,( Philosophia practica universalis. ),0
5.758,Erste Abtheilung. Analytik der teleologischen Urtheilskraft.,6
1.1022,DEMONSTRATIO.,0
7.753,Von der Physiognomik.,0
9.2064,Religion.,0
9.2158,Religion.,0
9.2146,Religion.,0
7.756,Von der Leitung der Natur zur Physiognomik.,0
8.631,Von den übersinnlichen Gegenständen unserer Erkenntniß.,0
7.593,Anthropologische Bemerkungen über den Geschmack.,0
8.618,Von der physischen Wirkung der Philosophie.,0
7.759,Eintheilung der Physiognomik.,0
5.692,Der Kritik der ästhetischen Urtheilskraft,5
8.697,Kraus' Recension von Ulrich's Eleutheriologie.,0
9.555,"§. 39. Theoreme, Corollarien, Lehnsätze und Scholien.",6
9.2164,Mahomedanische freie Tatarei.,0
3.679,Anmerkung zur zweiten Antinomie.,0
3.682,Anmerkung zur zweiten Antinomie.,0
3.718,Anmerkung zur vierten Antinomie.,0
9.2169,Mongolische Tatarn.,0
6.562,Der Büchernachdruck ist von rechtswegen verboten.,0
9.2025,"Der Amethyst ist durchsichtig und violblau, welche Farbe ins Röthliche fällt.",0
9.1888,Vom Überwintern der Vögel.,0
9.1849,II. Schädliche Insekten.,0
9.2030,"Der rothgelbe Rubin heißt Hyazinth, einige aber sind braungelb, honigfarb, halb oder ganz durchsichtig.",0
9.1882,sind wegen ihrer goldfarbenen Federn und andern schönen Schattirungen für die zierlichsten Vögel in der Welt zu halten und werden von den Chinesern sehr hoch geschätzt.,0
6.971,"Sie ist den Lastern: Lüge, Geiz und falscher Demuth (Kriecherei) entgegen gesetzt.",0
3.672,Antithesis.,0
3.651,Antithesis.,0
3.713,Antithesis.,0
3.693,Antithesis.,0
9.1832,e . Bernicles.,0
9.1868,e . Das Chamäleon.,0
9.1484,§. 70. Ursache der Moussons.,0
9.1842,a . Cochenille.,0
1.375,"Die Marquisin von Chastelet hat dieses Argument des Herrn Jurins bestritten, aber auf eine Art, deren Schwäche zu bemerken sie scharfsinnig genug gewesen wäre, wenn die Neigung gegen eine Meinung, auf welche einmal die Wahl gefallen, nicht einer schlimmen Sache den schönsten Anstrich geben könnte.",0
9.1482,§. 69. Von den Moussons oder den periodischen Winden.,0
9.1948,d . Vanille,0
5.588,§ 40. Vom Geschmacke als einer Art von sensus communis.,0
7.196,Grundsatz der Diätetik.,0
6.287,Einleitung in die Metaphysik der Sitten.,0
6.385,Eintheilung der Metaphysik der Sitten überhaupt.,0
6.789,Einleitung zur Tugendlehre.,0
9.2127,Ceylon,0
7.682,b. Herrschsucht.,0
1.44,XIII.,0
9.2192,Eiland Madagaskar.,0
7.628,Von der Furchtsamkeit und der Tapferkeit.,0
9.1776,Amphibien.,0
3.325,1. Axiomen der Anschauung.,0
9.981,Abhandlung der physischen Geographie.,0
3.125,Beschluß der transscendentalen Ästhetik.,6
4.83,Allgemeine Anmerkungen zur Transscendentalen Ästhetik.,6
3.975,Anhang zur transscendentalen Dialektik.,4
5.544,Deduction der reinen ästhetischen Urtheile.,6
9.1789,c . Der Hai oder Seewolf.,0
4.1090,Vorrede.,0
1.626,Vorrede.,0
1.8,Vorrede.,0
9.2,Vorrede.,0
4.8,Vorrede.,0
4.922,Vorrede.,0
6.574,II. Die Beerbung. ( Acquisitio haereditatis. ) § 34.,0
5.3,Vorrede.,0
6.722,Des öffentlichen Rechts,0
6.618,Des öffentlichen Rechts,0
6.688,Des öffentlichen Rechts,0
1.1156,PRAENOTANDA.,0
7.13,Allergnädigster etc. etc.,0
1.1035,II. Principium coexsistentiae.,0
1.939,RATIO INSTITUTI.,0
1.669,Zugabe zum siebenten Hauptstücke.,0
9.978,"Walchs ausführliche mathematische Geographie, zweite Aufl. Göttingen 1794.",0
2.739,COROLLARIUM.,0
